"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Prex2",0.0963046615256953,0.117309121542663,0.0840178400678722,0.10502230008484,0.0963046615256953,0.0963046615256953,0.0630133800509041,0.138313581559631,0.0630133800509041,0.189040140152712,0.235855273222304,0.192609323051391,0.217182965967037,0.10502230008484,0.0542957414917592,0.021004460016968,0.117309121542663,0.126026760101808,0.10502230008484,0.132788685899209,0.159318041576599,0.209567377231252,0.153793145916177,0.147031220118776,0.138313581559631,0.0630133800509041,0.0753002015087273,0.129595943000487,0.0420089200339361,0.117309121542663,0.0875870229665505,0.171604863034423,0.0420089200339361,0.222331421627504,0.276627163119263,0.0630133800509041,0.0753002015087273,0.217182965967037,0.168035680135744,0.108591482983518,0.126026760101808,0.0963046615256953,0.159318041576599,0.171604863034423,0.0963046615256953,0.138313581559631,0.0753002015087273,0.159318041576599,0.255622703102295,0.138313581559631,0.24690506454315,0.0840178400678722,0.0840178400678722,0.0840178400678722,0.159318041576599,0.136357868797887,0.0420089200339361,0.0963046615256953,0.117309121542663,0.0332912814747912,0.159318041576599,0.171604863034423,0.175174045933101,0.10502230008484,0.0963046615256953,0.117309121542663,0.157362328814855,0.189040140152712,0.126026760101808,0.201326961610536,0.0963046615256953,0.145075507357032,0.0963046615256953,0,0.201326961610536,0.021004460016968,0.201326961610536,0.10502230008484,0.021004460016968,0.213613783068359,0.0963046615256953,0.0542957414917592,0.10502230008484,0.0559924834133767,0.185957579768366,0.198628364396747,0.15530666561175,0.108304246962491,0.151625945747488,0.15530666561175,0.108304246962491,0.15530666561175,0.108304246962491,0.108304246962491,0.133645816219252,0.0866433975699932,0,0.12996509635499,0.164296730375868,0.120975031590872
"Eya1",0.388411389001503,0.255622703102295,0.41298503191715,0.397505467560604,0.339640543170167,0.3344920875097,0.433308496302237,0.402653923221071,0.469236486170653,0.276627163119263,0.430796749035396,0.346402468967567,0.409792289018428,0.222331421627504,0.393936284661926,0.45694966471283,0.349971651866245,0.376501007543636,0.171604863034423,0.41298503191715,0.273057980220584,0.267909524560118,0.309918444594054,0.318636083153199,0.381649463204103,0.425271853374973,0.189040140152712,0.355496547526668,0.222331421627504,0.439514387594541,0.327353721712344,0.406223106119749,0.35192736462799,0.35868929042539,0.406223106119749,0.372931824644958,0.379693750442358,0.406223106119749,0.222331421627504,0.298868653273208,0.451801209052364,0.301200806034909,0.21004460016968,0.325398008950599,0.234618243085327,0.26434034166144,0.24690506454315,0.325398008950599,0.255622703102295,0.318636083153199,0.454993951951086,0.285344801678408,0.322205266051877,0.360645003187135,0.451801209052364,0.479567594866732,0.355496547526668,0.288913984577086,0.262384628899695,0.355496547526668,0.423658383238039,0.327353721712344,0.26434034166144,0.234618243085327,0.433989491934118,0.376501007543636,0.330922904611022,0.379693750442358,0.192609323051391,0.258815446001017,0.402653923221071,0.414940744678894,0.21004460016968,0.435945204695862,0.36936264174628,0.390367101763248,0.339640543170167,0.439514387594541,0.346778908967524,0.314589677316092,0.330922904611022,0.301200806034909,0.406223106119749,0.3106133312235,0.409927513421873,0.485175813692244,0.353935030008497,0.418917578185992,0.506697464636324,0.402566073693349,0.422598298050254,0.319603395987618,0.373579050615446,0.447551663557059,0.192930815746936,0.332274180615998,0.29794254659512,0.371915159536733,0.521912480248627,0.341264245380116
"Kcnb2",0.153793145916177,0.021004460016968,0.021004460016968,0.161743578172767,0.129595943000487,0.0963046615256953,0.310850919099107,0.0420089200339361,0.0542957414917592,0.0799714342307654,0.0420089200339361,0.134267175722525,0.117309121542663,0,0.021004460016968,0.217739000472134,0.0907797658652724,0.0630133800509041,0.0542957414917592,0.108591482983518,0.11178422588224,0.108591482983518,0.376877158875948,0.100975894247733,0.0630133800509041,0.0753002015087273,0.021004460016968,0.157362328814855,0.0936679531320702,0.114672413149038,0.132788685899209,0.021004460016968,0.153025939613622,0.153793145916177,0.0542957414917592,0.0332912814747912,0,0.164124254612255,0.180947328478499,0.132788685899209,0.0487708458313364,0.021004460016968,0.108591482983518,0.0753002015087273,0.021004460016968,0.206534545153768,0.0487708458313364,0.0542957414917592,0.021004460016968,0.0630133800509041,0.162033561536893,0.0630133800509041,0.187084427390968,0.0630133800509041,0.0963046615256953,0.0332912814747912,0.187460867390924,0.0922582556885886,0.021004460016968,0.021004460016968,0,0.0922582556885886,0.124071047340064,0.142438798963407,0.220375708865759,0.021004460016968,0.166079967374,0.0420089200339361,0.0665825629495824,0.10502230008484,0.153793145916177,0.0630133800509041,0.103066587323096,0.0420089200339361,0.168968154640797,0.211658070306614,0.220375708865759,0.0907797658652724,0.0542957414917592,0.139550611696609,0.0665825629495824,0.0420089200339361,0.221854198689075,0.0719557841560639,0.125792240335473,0.185957579768366,0.0559924834133767,0.162279901590319,0.0216608493924983,0.108304246962491,0.162279901590319,0.095141326178857,0.115277482941061,0.118958202805322,0.191736402846304,0.164296730375868,0.127948267569441,0.146316600847632,0.174950686218699,0.0608096921579785
"Gm16070",0.150600403017455,0.159318041576599,0.0420089200339361,0.108591482983518,0.0630133800509041,0.0875870229665505,0.0840178400678722,0.14188276445831,0.0840178400678722,0.126026760101808,0.150600403017455,0.117309121542663,0.0963046615256953,0.10502230008484,0.0542957414917592,0.117309121542663,0.10502230008484,0.10502230008484,0.0630133800509041,0.021004460016968,0.0420089200339361,0.126026760101808,0.147031220118776,0.0542957414917592,0.138313581559631,0.0753002015087273,0.0630133800509041,0.0420089200339361,0.147031220118776,0.021004460016968,0.0753002015087273,0.10502230008484,0.0630133800509041,0.126026760101808,0.147031220118776,0.0963046615256953,0.138313581559631,0.0963046615256953,0.120878304441342,0.171604863034423,0.021004460016968,0.0420089200339361,0.0420089200339361,0.0630133800509041,0.0630133800509041,0.10502230008484,0.225900604526182,0.0753002015087273,0.0840178400678722,0.126026760101808,0.0840178400678722,0.0630133800509041,0.192609323051391,0.159318041576599,0.0840178400678722,0.0840178400678722,0.0963046615256953,0.138313581559631,0.0963046615256953,0.0840178400678722,0.10502230008484,0.0963046615256953,0.0963046615256953,0.0420089200339361,0.162887224475278,0.0753002015087273,0.0753002015087273,0.0753002015087273,0.0630133800509041,0.0332912814747912,0.192609323051391,0.0840178400678722,0.10502230008484,0.0875870229665505,0.159318041576599,0.10502230008484,0.0840178400678722,0.0963046615256953,0.021004460016968,0.0630133800509041,0.117309121542663,0.159318041576599,0.126026760101808,0.0866433975699932,0.120975031590872,0.0216608493924983,0.120975031590872,0.077653332805875,0.12996509635499,0.077653332805875,0.0993141821983733,0.0559924834133767,0.077653332805875,0.0993141821983733,0.16797745024013,0.108304246962491,0.0559924834133767,0.0433216987849966,0.133645816219252,0.12996509635499
"Kcnq5",0.631363431542013,0.73114389213192,0.821198048173789,0.652409488038132,0.869081033691595,1.05335608538243,0.801772860918609,0.831118519494766,0.801054178293842,0.827207093971277,0.71256496871112,0.971193175137834,0.664696309495955,0.876602766687544,0.713090715327335,0.726472659409882,0.636794943367969,0.859644712507683,0.88994311429094,0.828685583794593,0.671800477918166,0.683610076437561,0.799440708156908,0.860988222017382,1.04625191696022,0.703136046631213,0.893022450618305,0.806343310702175,0.591351820748973,0.786064460508611,0.812964559751709,0.776345555064578,0.680894556477268,0.708183719353207,0.734336635030642,0.602025172069862,0.554867796375459,0.670221205156378,0.867260301243468,0.877321449312312,0.811381377503656,0.849212820873132,0.824014351072555,0.80853478671601,0.926945958082033,0.830641296556337,0.706093026277845,0.622310949462063,0.750192639387143,0.899314552581282,0.58139715205285,0.943279185376963,0.928559428218966,0.621543743159509,0.726096219409926,0.821923657997192,0.851645756573305,0.755099635361271,0.751467356517007,0.755717535047566,0.820821608173833,0.945141042398871,0.855692162410412,0.938379116601471,0.848701400559558,1.05555325783052,0.606831385105518,0.858407682370706,0.739620071004726,0.775626872439811,0.936423403839727,0.907897210826809,0.694659867758407,0.904918259808373,0.662315633056467,0.918228319522888,0.719710733612482,0.867117921825845,0.973519631465286,0.529816930521385,0.644034092103798,0.705468199392914,0.706570249216274,0.784643052917659,1.12531837341082,0.703836402445895,0.903352250421445,0.637189963189687,0.501139114434932,0.925358407194774,0.735623805482851,0.789460261662261,0.683804178088991,0.862830931595501,0.825633849921685,0.95060367437224,0.715979784875902,0.860771693093239,0.726245536968778,0.802270244739059
"Dst",0.439137947594584,0.560016252035926,0.406223106119749,0.514814589103268,0.391980571900182,0.414940744678894,0.521576514900668,0.377738037680614,0.201326961610536,0.372931824644958,0.316680370391454,0.453380481814152,0.505720510544167,0.355120107526712,0.433989491934118,0.535819049120236,0.448232026153685,0.391980571900182,0.349971651866245,0.545773717816358,0.180322501593567,0.418509927577572,0.381649463204103,0.339640543170167,0.322205266051877,0.297631623136231,0.364214186085813,0.411371561780216,0.435945204695862,0.397129027560648,0.469236486170653,0.449845496290619,0.472805669069332,0.363360523147429,0.435945204695862,0.626975254985465,0.558060539274181,0.521576514900668,0.425271853374973,0.393936284661926,0.41298503191715,0.35192736462799,0.370976111883214,0.318636083153199,0.491854416324555,0.330922904611022,0.35868929042539,0.367406928984535,0.330922904611022,0.502527767645445,0.551675053476737,0.433989491934118,0.563585434934604,0.539011792018958,0.41974695771455,0.38878782900146,0.285344801678408,0.370976111883214,0.276627163119263,0.309918444594054,0.400698210459326,0.451424769052407,0.536679639257257,0.433989491934118,0.383262933341037,0.440751417731518,0.442707130493263,0.372931824644958,0.472429229069375,0.569110330595027,0.346402468967567,0.322205266051877,0.393936284661926,0.409792289018428,0.513960926164883,0.465325060647164,0.461755877748486,0.41298503191715,0.530670593459769,0.57316366363077,0.348358181729312,0.528203460384451,0.346402468967567,0.353546826258542,0.388266664029375,0.512534211734554,0.375595879400995,0.557872739305099,0.525204996362934,0.42790764295011,0.505560975755985,0.548882674540981,0.425890814164561,0.369898330751184,0.443870943692797,0.449568492342608,0.406246793557611,0.380905224300851,0.41523685832173,0.44057842757849
"Gulp1",0.258815446001017,0.231049060186648,0.297631623136231,0.150600403017455,0.126026760101808,0.243335881644472,0.168035680135744,0.208088887407936,0.138313581559631,0.336071360271489,0.304393548933631,0.189040140152712,0.204896144509214,0.288913984577086,0.192609323051391,0.126026760101808,0.171604863034423,0.159318041576599,0.195802065950113,0.180322501593567,0.147031220118776,0.364214186085813,0.262384628899695,0.283389088916663,0.168035680135744,0.126026760101808,0.138313581559631,0.276627163119263,0.267909524560118,0.189040140152712,0.213613783068359,0.213613783068359,0.126026760101808,0.262384628899695,0.168035680135744,0.234618243085327,0.243335881644472,0.288913984577086,0.267909524560118,0.304393548933631,0.138313581559631,0.222331421627504,0.147031220118776,0.192609323051391,0.204896144509214,0.250474247441828,0.267909524560118,0.168035680135744,0.243335881644472,0.171604863034423,0.21004460016968,0.117309121542663,0.201326961610536,0.255622703102295,0.204896144509214,0.126026760101808,0.171604863034423,0.222331421627504,0.10502230008484,0.0630133800509041,0.328967191849277,0.0840178400678722,0.285344801678408,0.276627163119263,0.204896144509214,0.201326961610536,0.159318041576599,0.222331421627504,0.222331421627504,0.217182965967037,0.168035680135744,0.216806525967081,0.0963046615256953,0.138313581559631,0.26434034166144,0.0840178400678722,0.138313581559631,0.213613783068359,0.168035680135744,0.255622703102295,0.129595943000487,0.250097807441872,0.147031220118776,0.0433216987849966,0.211299149025127,0.378888395515302,0.27260097733836,0.133645816219252,0.211299149025127,0.238269343317481,0.353935030008497,0.151625945747488,0.173286795139986,0.198628364396747,0.201920880511054,0.220289213789245,0.0866433975699932,0.250940127945861,0.0433216987849966,0.28527176196674
"Cavin2",0.0332912814747912,0.243335881644472,0.117309121542663,0.14188276445831,0.0963046615256953,0.10502230008484,0.138313581559631,0.138313581559631,0.187084427390968,0.174797605933145,0.138313581559631,0.208088887407936,0.0420089200339361,0.168035680135744,0.0840178400678722,0.132788685899209,0.134267175722525,0.0840178400678722,0.0840178400678722,0.147031220118776,0.0630133800509041,0.0542957414917592,0.129595943000487,0.0542957414917592,0.0753002015087273,0.0840178400678722,0.117309121542663,0.129595943000487,0.0753002015087273,0.117309121542663,0.171604863034423,0.0630133800509041,0.0420089200339361,0.243335881644472,0.129595943000487,0.0963046615256953,0.171604863034423,0.0420089200339361,0.265953811798373,0.208088887407936,0.126026760101808,0.0840178400678722,0.10502230008484,0.138313581559631,0.0840178400678722,0.150600403017455,0.0542957414917592,0.126026760101808,0.0630133800509041,0.10502230008484,0.192609323051391,0.0630133800509041,0.225900604526182,0.0332912814747912,0.204896144509214,0.117309121542663,0.0420089200339361,0.0963046615256953,0.108591482983518,0.0963046615256953,0.0753002015087273,0.10502230008484,0.108591482983518,0.183891684492246,0.10502230008484,0.0665825629495824,0.0753002015087273,0.195802065950113,0.10502230008484,0.126026760101808,0.138313581559631,0.0840178400678722,0.0630133800509041,0.0840178400678722,0.138313581559631,0.129595943000487,0.168035680135744,0.126026760101808,0.0753002015087273,0.145075507357032,0.0630133800509041,0.159318041576599,0.0542957414917592,0.0866433975699932,0.214591665139434,0.14263588098337,0.133645816219252,0.14263588098337,0.194947644532485,0.136938332333559,0.14263588098337,0.12996509635499,0.0824705415504768,0.185957579768366,0.232959998417625,0.0866433975699932,0.12996509635499,0.0866433975699932,0.120975031590872,0.0993141821983733
"Hspd1",0.45694966471283,0.540967504780702,0.365451216222791,0.544536687679381,0.364214186085813,0.330922904611022,0.470849956307587,0.497002871985022,0.439514387594541,0.362258473324069,0.406223106119749,0.402653923221071,0.393936284661926,0.556447069137248,0.479191154866776,0.376501007543636,0.460518847611509,0.563585434934604,0.552777103300097,0.556823509137204,0.543818005054614,0.439514387594541,0.45694966471283,0.614311993527685,0.497002871985022,0.481523307628477,0.3344920875097,0.390367101763248,0.437558674832796,0.472805669069332,0.464088030510187,0.506096950544123,0.539011792018958,0.38878782900146,0.439514387594541,0.464088030510187,0.385218646102781,0.430796749035396,0.665414992120722,0.58249920187621,0.367406928984535,0.490240946187622,0.482625357451836,0.475998411968054,0.35192736462799,0.448232026153685,0.475998411968054,0.574258786255494,0.581020712052894,0.485092490527155,0.285344801678408,0.35868929042539,0.530294153459813,0.330922904611022,0.344446756205823,0.295675910374486,0.614688433527641,0.376501007543636,0.502527767645445,0.441093660356329,0.385218646102781,0.4938101290863,0.427227566136717,0.487908793425921,0.5073339806811,0.6598900964603,0.454993951951086,0.532249866221558,0.479567594866732,0.391980571900182,0.418509927577572,0.451801209052364,0.467280773408909,0.569110330595027,0.330922904611022,0.584589894951572,0.470473516307631,0.454993951951086,0.4938101290863,0.430420309035439,0.372931824644958,0.418509927577572,0.59883242917114,0.450844179671366,0.436897707714228,0.518231760384365,0.465531793085295,0.543573329641125,0.54318512589117,0.418917578185992,0.47972727034397,0.382569115379564,0.444259147442752,0.353546826258542,0.528885716227196,0.556244114269505,0.458558557106726,0.32328411585188,0.550158361869739,0.487580846227748
"Plcl1",0.468517803545886,0.592136558455142,0.55572838651248,0.566300954894898,0.458506966102815,0.397129027560648,0.536202416318828,0.416177774815872,0.346402468967567,0.672176917918123,0.414940744678894,0.603262202206839,0.648228101887408,0.35800829479351,0.493888940652968,0.62612159204708,0.681996606300627,0.399931004156772,0.49100075338617,0.636317720429541,0.302437836171887,0.621017750578136,0.481906674827069,0.339163320231738,0.433989491934118,0.434324335454923,0.285344801678408,0.225046941587797,0.533486896358535,0.380930780579336,0.598448590067178,0.431352783540493,0.603274825839725,0.636929923681587,0.425271853374973,0.379693750442358,0.445422650453556,0.582021978937782,0.449469056290663,0.405504423494982,0.334115647509744,0.401935240596304,0.709507206126015,0.350596478751177,0.433989491934118,0.586161768609355,0.318636083153199,0.457709471911379,0.269011574383478,0.495047159223277,0.863932578031129,0.375647344605252,0.618129563311339,0.449469056290663,0.534111723243466,0.365451216222791,0.418509927577572,0.514814589103268,0.379693750442358,0.262384628899695,0.343209726068845,0.555202639896265,0.538534569080529,0.474042699206309,0.330445681672594,0.368408195869423,0.59424000801577,0.234618243085327,0.5222013417856,0.493647480966629,0.412304036285269,0.395884598319665,0.467280773408909,0.422258704981391,0.576974306215787,0.39554975479886,0.417656264639188,0.668991102218037,0.391126908961797,0.543818005054614,0.349595211866289,0.467280773408909,0.439514387594541,0.340383905474907,0.58817071575488,0.751618340610947,0.519895651463078,0.548963948969108,0.576233442257285,0.52616661069627,0.514543410194097,0.623638838656098,0.243225750510501,0.623146702500844,0.563217350248074,0.54814153308419,0.406891146282697,0.359244374908353,0.367742303517217,0.364588985851328
