"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Kcnq5",0.586988103832212,0.594291517016101,0.788227362832514,0.71890666811197,0.788139840806999,0.627160478901379,0.793894819779757,0.759976345697882,0.550566414027335,0.641227377595677,0.770943690822275,0.70054873308804,0.643585592298037,0.815649519074085,0.794636158647302,0.78301499668088,0.672823350420844,0.792359040432768,0.67357070501352,0.704921275718056,0.858398498393367,0.911353820468162,0.689453205589053,0.949860541580163,0.790579561809743,0.69777608793915,0.697647905564556,0.733832125419849,0.793352206958633,0.803281002514987,0.77060434113844,0.835786932721041,0.88307310561301,0.82835095977933,0.851173906362217,0.918270584480127,0.742569438216476,0.734998857362482,0.680481453300353,0.736190340122209,0.675478775823698,0.767540910826745,0.941006009037499,0.983043692519625,0.757618130995522,0.55002380120621,0.672496441999829,0.660752044562239,0.582034204477907,0.710046119844175,0.569548468172773,0.677708808151463,0.804238045782642,0.714102716681735,0.759228991105206,0.800922787812627,0.921148008112233,0.81639085794163,0.601022274348477,0.853946551511108,0.7667995719592,0.843554547385872,0.708020829287961,1.01278340311448,0.590888737020571,0.610500926012649,0.841163604505479,0.839021094203229,0.507997080352643,0.743101088409042,0.596434027318351,0.663227479010636,0.681765404989023,0.766887093984716,0.850105659073658,0.770529260375745,0.88839025024786,0.814692475806431,0.832482637379584,0.86936584351776,0.716431233663574,0.852790782197033,0.738630061124953,0.483550832397251,1.04900658047425,0.883942626855149,0.969688434972351,0.563793489200014,0.563466580778999,0.709095092301652,0.667365582148579,0.591398208076965,0.785994956296249,0.724194736337576,0.51646337774616,0.821807974592247,0.58362301692962,0.960198519459908,0.702056169218103,0.58680634221763
"Ogfrl1",0.290479970732108,0.294950998016198,0.211318002480725,0.291851444446293,0.322163465582791,0.193077287202832,0.308720686010001,0.352772697419782,0.247799433036512,0.250898986606417,0.320762294148085,0.258469567460411,0.261569121030316,0.250898986606417,0.360343278273777,0.156595856647045,0.221988136904624,0.200647868056826,0.26913970188431,0.302521578870192,0.346573590279973,0.258469567460411,0.298050551586102,0.373786057846566,0.355545342568672,0.294950998016198,0.352772697419782,0.37858399355167,0.240228852182518,0.221988136904624,0.303922750304897,0.250898986606417,0.196176840772737,0.273610729168399,0.328332875002079,0.371013412697676,0.266040148314405,0.373786057846566,0.229558717758619,0.390211171243223,0.198949485921627,0.305621132440097,0.291851444446293,0.258469567460411,0.367913859127771,0.334531982141889,0.203747421626731,0.21441755605063,0.258469567460411,0.229558717758619,0.229558717758619,0.389254127975569,0.211318002480725,0.21441755605063,0.449848472528044,0.185506706348838,0.284280863592298,0.266040148314405,0.331432428571984,0.229558717758619,0.37858399355167,0.355545342568672,0.381683547121575,0.272239255454215,0.287380417162203,0.247799433036512,0.221988136904624,0.331432428571984,0.32386184771799,0.221988136904624,0.386154574405664,0.250898986606417,0.266040148314405,0.250898986606417,0.243328405752423,0.305621132440097,0.399924262399468,0.287380417162203,0.320762294148085,0.294950998016198,0.258469567460411,0.211318002480725,0.21441755605063,0.418164977677361,0.399924262399468,0.211318002480725,0.266040148314405,0.308720686010001,0.331432428571984,0.276710282738304,0.418164977677361,0.362307094647344,0.235763007427771,0.351348578211988,0.273230422593173,0.38563266808938,0.276413747881183,0.376113192586965,0.457414673493791,0.265455231445827
"Ptpn18",0.410594396823367,0.431934665671165,0.445377445243954,0.447075827379154,0.494227392358839,0.491127838788934,0.398225880264269,0.522811333639617,0.645610882854251,0.366215476992572,0.389254127975569,0.48355725793494,0.37858399355167,0.425735558531356,0.54725115605732,0.449848472528044,0.477358150795131,0.420937622826251,0.501797973212834,0.389254127975569,0.43607878453424,0.408896014688168,0.617441372020003,0.478344891783306,0.42883511210126,0.472887123511041,0.352772697419782,0.418164977677361,0.351074315284583,0.37858399355167,0.512468107636733,0.371013412697676,0.361744449708482,0.523885596653308,0.518013397934513,0.475986677080946,0.54105204891751,0.447075827379154,0.557594382060204,0.37858399355167,0.588203613897196,0.413367041972257,0.615416081463789,0.44227789167405,0.358644896138577,0.565491871335213,0.560693935630109,0.512468107636733,0.447075827379154,0.434707310820055,0.465316542657047,0.38478310069148,0.395126326694364,0.451132424216713,0.43160775725015,0.408896014688168,0.521112951504418,0.352772697419782,0.384041761823935,0.381683547121575,0.541378957338525,0.424037176396156,0.509368554066828,0.579231861608496,0.418164977677361,0.515240752785623,0.422636004961451,0.617441372020003,0.410267488402352,0.545435554176084,0.554821736911314,0.501056634345289,0.556520119046513,0.501797973212834,0.549906581460174,0.373786057846566,0.420937622826251,0.460518606951943,0.43289170893882,0.504570618361724,0.43160775725015,0.512141199215718,0.481858875799741,0.427136729966061,0.494227392358839,0.457419053382038,0.334531982141889,0.468416096226952,0.504570618361724,0.516315015799314,0.586832140183011,0.707319522644928,0.462006539353126,0.65396598140109,0.65222169704602,0.488851181866918,0.448200441413505,0.463750823708195,0.563786012197722,0.607284334155401
"Eif5b",0.5930015496023,0.421264531247266,0.381683547121575,0.48355725793494,0.457745961803053,0.436405692955255,0.541378957338525,0.439178338104145,0.316291266863996,0.371013412697676,0.413367041972257,0.381683547121575,0.454646408233148,0.475659768659931,0.396824708829563,0.612316527893884,0.525910887209522,0.399924262399468,0.37858399355167,0.481531967378726,0.38478310069148,0.598873748321095,0.450175380949058,0.396824708829563,0.459117435517237,0.471188741375842,0.344875208144773,0.416466595542162,0.37858399355167,0.389254127975569,0.352772697419782,0.448150090392845,0.475659768659931,0.431934665671165,0.406123369539278,0.389254127975569,0.578934650908002,0.493900483937825,0.410594396823367,0.424037176396156,0.446748918958139,0.443976273809249,0.415065424107456,0.410594396823367,0.504897526782738,0.469787569941136,0.392026773124459,0.42883511210126,0.475659768659931,0.468416096226952,0.463618160521848,0.504897526782738,0.447075827379154,0.562392317765308,0.465316542657047,0.577860387894311,0.567190253470412,0.548949538192519,0.443976273809249,0.462216989087142,0.539353666782311,0.454646408233148,0.534882639498222,0.574760834324407,0.405796461118263,0.381683547121575,0.530381914493611,0.475986677080946,0.428508203680246,0.437479955968945,0.337304627290779,0.457745961803053,0.439505246525159,0.480457704365035,0.443976273809249,0.403023815969373,0.61371769932859,0.468416096226952,0.475986677080946,0.273610729168399,0.316291266863996,0.451546854663243,0.465316542657047,0.49080093036792,0.334531982141889,0.372087675711367,0.530708822914626,0.420937622826251,0.436405692955255,0.504897526782738,0.422636004961451,0.372929867298955,0.437241924978149,0.510768214737629,0.376113192586965,0.399774509812746,0.641568424032793,0.613620484369805,0.354531903499999,0.312136878691516
"Aff3",1.77066928487961,1.73053430191237,1.47262911282256,1.62305556005032,1.49622911171865,1.63439635435668,1.65687513966556,1.74313083242585,1.53728896868669,1.69503466544133,1.51004582109653,1.89982559711884,1.57126202301473,1.64203118865807,1.58655263844436,1.70112778996297,1.56300382831897,1.8628432693334,1.45267262724322,1.65805431287101,1.64618441820648,1.71348506939421,1.61607142323637,1.76462635499032,1.64400649457855,1.74767339629383,1.61955027690666,1.48656140360457,1.74526973404661,1.54893091389954,1.47640413341216,1.62852598318672,1.54396826274907,1.64764866096958,1.60371211559212,1.63362112959232,1.7409422291489,1.62562515566324,1.40553845042978,1.75169386987318,1.61300311921024,1.6328344076826,1.62543285515451,1.69318603526209,1.73815862137145,1.51949010624076,1.66139954306085,1.37581139469907,1.70421271132484,1.72367162181536,1.60473997761105,1.71596848120354,1.83976247936707,1.61297681656989,1.76705737512029,1.53851686914538,1.60969387696535,1.83884084942509,1.74649415858569,1.70785530110773,1.76859372908655,1.71269495240431,1.57628386979029,1.88880946029279,1.57227880703329,1.82495394168525,1.70147124253073,1.61015708553424,1.45658387414556,1.67180250981465,1.38511648094647,1.76190992232769,1.72742635548975,1.61285585643381,1.70518240945663,1.46726679874686,1.68153709202106,1.72606595977593,1.57110605936553,1.58610279254337,1.63289986403867,1.66458902930462,1.72952848052237,1.56985504945621,1.59588544506839,1.81181595606942,1.55813102545249,1.71284779907735,1.74244357747326,1.77112169849873,1.67538493545477,1.80425172301151,1.61914316045558,1.58285615241187,1.33272976901197,1.58145036955975,1.63358386577453,1.49108140373321,1.49484958567208,1.59061834667172
"Map4k4",0.21441755605063,0.340404180860684,0.317365529877687,0.37411296626758,0.294950998016198,0.424037176396156,0.375484439981765,0.355872250989687,0.211318002480725,0.203747421626731,0.407494843253462,0.413693950393272,0.407494843253462,0.337304627290779,0.366215476992572,0.389254127975569,0.37858399355167,0.337304627290779,0.310092159724186,0.32386184771799,0.348301670135693,0.253998540176322,0.334531982141889,0.250898986606417,0.320762294148085,0.43330613938535,0.363442831843681,0.313191713294091,0.392353681545474,0.276710282738304,0.347974761714678,0.182407152778933,0.371013412697676,0.232658271328523,0.416466595542162,0.347974761714678,0.375484439981765,0.407494843253462,0.37858399355167,0.436405692955255,0.43330613938535,0.421264531247266,0.580633033043202,0.342102562995883,0.355872250989687,0.266040148314405,0.339003009425978,0.287380417162203,0.396824708829563,0.425735558531356,0.43330613938535,0.413367041972257,0.294950998016198,0.377212519837485,0.32663449286688,0.276710282738304,0.331432428571984,0.526985150223213,0.396824708829563,0.48314282748841,0.410594396823367,0.486656811504845,0.296679077871918,0.381683547121575,0.279482927887194,0.513542370650424,0.334531982141889,0.371013412697676,0.264341766179206,0.276710282738304,0.279809836308209,0.431934665671165,0.462216989087142,0.371013412697676,0.43780686438996,0.337304627290779,0.37858399355167,0.398225880264269,0.279809836308209,0.305621132440097,0.196176840772737,0.337631535711794,0.411965870537552,0.439505246525159,0.548208199324975,0.37858399355167,0.240228852182518,0.512141199215718,0.32386184771799,0.342102562995883,0.386154574405664,0.359123769359334,0.344676684213839,0.383888383734311,0.335798195917297,0.445017116125494,0.331206330057962,0.45279230727284,0.246721523863126,0.387071709022321
"Il1rl1",0.123213979661164,0.0182407152778933,0.0364814305557866,0.0182407152778933,0.0289108497017924,0.0182407152778933,0,0.0364814305557866,0,0,0.0182407152778933,0.0182407152778933,0.0729628611115732,0.101873710813366,0.0547221458336799,0.0364814305557866,0,0.0182407152778933,0.0364814305557866,0,0.0364814305557866,0.0547221458336799,0.0182407152778933,0.0182407152778933,0,0.0182407152778933,0,0.0471515649796857,0.0364814305557866,0.0182407152778933,0.0182407152778933,0.0182407152778933,0.0182407152778933,0.0364814305557866,0.0364814305557866,0,0,0.065392280257579,0.0729628611115732,0.0289108497017924,0,0.0547221458336799,0.0182407152778933,0,0.076062414681478,0.0471515649796857,0.065392280257579,0.0289108497017924,0.0364814305557866,0.0471515649796857,0.0182407152778933,0.0182407152778933,0.0182407152778933,0.0182407152778933,0.0182407152778933,0.0182407152778933,0.0182407152778933,0,0,0,0,0.0182407152778933,0.0729628611115732,0.0182407152778933,0.0364814305557866,0,0.065392280257579,0.0182407152778933,0.0729628611115732,0.0364814305557866,0.0364814305557866,0.0364814305557866,0.0605943445524749,0.0182407152778933,0.0182407152778933,0.0547221458336799,0.0182407152778933,0.0364814305557866,0.065392280257579,0.0182407152778933,0.0182407152778933,0.0182407152778933,0,0.0182407152778933,0.0182407152778933,0,0.0836329955354723,0.0471515649796857,0.0289108497017924,0.0547221458336799,0.0182407152778933,0.0187337075827012,0.0187337075827012,0.0374674151654024,0,0.0374674151654024,0,0.0187337075827012,0,0.0562011227481037
"Slc40a1",0.0912035763894665,0,0.0182407152778933,0.0182407152778933,0.0182407152778933,0.0182407152778933,0.0547221458336799,0.0364814305557866,0,0,0,0,0.0836329955354723,0.0729628611115732,0,0.0182407152778933,0,0.0471515649796857,0.0182407152778933,0,0.0182407152778933,0.0182407152778933,0.0182407152778933,0,0.0182407152778933,0,0.0182407152778933,0.0182407152778933,0.0364814305557866,0.0182407152778933,0,0.0182407152778933,0.0182407152778933,0.0289108497017924,0,0,0.0182407152778933,0.0182407152778933,0.0547221458336799,0,0,0,0,0.0182407152778933,0.0364814305557866,0.0182407152778933,0.0289108497017924,0,0,0,0.0182407152778933,0.0182407152778933,0.0364814305557866,0,0.0182407152778933,0.0182407152778933,0,0,0.0182407152778933,0.0364814305557866,0.0364814305557866,0.0182407152778933,0.0471515649796857,0,0.0364814305557866,0,0.0471515649796857,0.0289108497017924,0.0289108497017924,0,0,0.0182407152778933,0,0.0182407152778933,0.0364814305557866,0.0182407152778933,0,0,0.0182407152778933,0,0,0.0471515649796857,0.0289108497017924,0,0.0471515649796857,0,0.0364814305557866,0.0182407152778933,0,0.0182407152778933,0.0182407152778933,0.029692224018057,0,0,0,0.0187337075827012,0.0187337075827012,0.0187337075827012,0,0.0374674151654024
"Stat4",0.389254127975569,0.405796461118263,0.396824708829563,0.287380417162203,0.360343278273777,0.37411296626758,0.328332875002079,0.300823196734993,0.420937622826251,0.42883511210126,0.342102562995883,0.515567661206637,0.221988136904624,0.203747421626731,0.554821736911314,0.298050551586102,0.371013412697676,0.279809836308209,0.314592884728796,0.32386184771799,0.49080093036792,0.480457704365035,0.26913970188431,0.261569121030316,0.255370013890506,0.291851444446293,0.334531982141889,0.428508203680246,0.250898986606417,0.203747421626731,0.298050551586102,0.402696907548358,0.463291252100833,0.258469567460411,0.360343278273777,0.381683547121575,0.460518606951943,0.26913970188431,0.469787569941136,0.328332875002079,0.349673143849877,0.360343278273777,0.472887123511041,0.302521578870192,0.422636004961451,0.326961401287895,0.386154574405664,0.574760834324407,0.16416643750104,0.255370013890506,0.48355725793494,0.359601939406232,0.389254127975569,0.349673143849877,0.37858399355167,0.294950998016198,0.338588578979448,0.43160775725015,0.431934665671165,0.16416643750104,0.454646408233148,0.405796461118263,0.303595841883883,0.464989634236032,0.386154574405664,0.246101050901313,0.381683547121575,0.407494843253462,0.434707310820055,0.512468107636733,0.422636004961451,0.436405692955255,0.418164977677361,0.313191713294091,0.399924262399468,0.360343278273777,0.275011900603105,0.366215476992572,0.303595841883883,0.399924262399468,0.421264531247266,0.347974761714678,0.38755574584037,0.425735558531356,0.261569121030316,0.43160775725015,0.355545342568672,0.328332875002079,0.348301670135693,0.460518606951943,0.436405692955255,0.332614870629287,0.295147455463884,0.44918335071542,0.160828177096966,0.388815993377391,0.340390061776632,0.30292264661123,0.357379485004264,0.437241924978149
"Gls",0.411965870537552,0.609543882744994,0.489429456653735,0.555148645332329,0.59920065674211,0.415065424107456,0.371013412697676,0.363442831843681,0.501471064791819,0.598873748321095,0.533481468063516,0.369315030562476,0.43330613938535,0.598873748321095,0.501797973212834,0.524212505074323,0.454646408233148,0.491127838788934,0.494227392358839,0.419239240691052,0.346573590279973,0.507670171931629,0.411341751416043,0.319390820433901,0.481858875799741,0.342102562995883,0.425735558531356,0.530708822914626,0.352772697419782,0.530708822914626,0.612643436314899,0.513542370650424,0.484631520948631,0.527609269344721,0.505854570050393,0.515240752785623,0.396824708829563,0.376885611416471,0.396824708829563,0.399597353978453,0.520038688490727,0.475986677080946,0.392353681545474,0.501173854091325,0.473961386524732,0.501797973212834,0.501797973212834,0.504570618361724,0.468089187805937,0.539680575203326,0.612316527893884,0.542453220352216,0.457745961803053,0.294950998016198,0.460518606951943,0.615416081463789,0.621912399304092,0.424037176396156,0.472887123511041,0.439505246525159,0.504570618361724,0.515240752785623,0.491127838788934,0.497000037507729,0.544151602487415,0.371013412697676,0.518340306355528,0.494227392358839,0.452948026097949,0.331432428571984,0.415065424107456,0.468416096226952,0.507670171931629,0.577533479473297,0.415065424107456,0.480457704365035,0.396824708829563,0.506269000496923,0.548949538192519,0.454646408233148,0.48355725793494,0.457419053382038,0.512468107636733,0.491127838788934,0.559292764195404,0.460518606951943,0.567190253470412,0.494227392358839,0.484958429369646,0.533808376484531,0.471515649796857,0.365490419935354,0.481075990719572,0.451383766701515,0.461245164299972,0.504401564161608,0.5959900739363,0.485667856578907,0.515360080596964,0.505504861310805
