"","x"
"1","Rab44"
"2","Atp8b4"
"3","Mpo"
"4","Ctsg"
"5","F630028O10Rik"
"6","Ccl9"
"7","Mecom"
"8","Malat1"
"9","Chdh"
"10","BC035044"
"11","H2afy"
"12","Prkg1"
"13","Plac8"
"14","Ms4a3"
"15","Fndc3b"
"16","Meis1"
"17","mt-Nd1"
"18","Angpt1"
"19","Elane"
"20","Zbtb20"
"21","Emb"
"22","Hk3"
"23","Tent5a"
"24","Sell"
"25","mt-Nd3"
"26","mt-Nd2"
"27","Samd12"
"28","Anxa3"
"29","Slc24a3"
"30","Cd34"
"31","mt-Co3"
"32","Tm6sf1"
"33","Prtn3"
"34","Nrg2"
"35","Cebpa"
"36","Plxdc2"
"37","Pbx1"
"38","Cdk6"
"39","Mllt3"
"40","Rpsa"
"41","Sgms1"
"42","Msi2"
"43","Rora"
"44","Txnip"
"45","Csgalnact1"
"46","Dock10"
"47","Tespa1"
"48","mt-Nd4"
"49","mt-Atp6"
"50","Pgam1"
"51","mt-Co2"
"52","Calr"
"53","Gm26917"
"54","Hlf"
"55","Trf"
"56","Cst7"
"57","Plcl1"
"58","Parp8"
"59","Clec12a"
"60","Tox"
"61","Med12l"
"62","Ubash3a"
"63","mt-Cytb"
"64","Igfbp4"
"65","Slc7a5"
"66","Trpc6"
"67","Palm"
"68","Tkt"
"69","Car2"
"70","Satb1"
"71","Magi2"
"72","Cmss1"
"73","Mlec"
"74","Il1rapl2"
"75","Ptma"
"76","Itsn1"
"77","Ap3s1"
"78","Spns3"
"79","Nfia"
"80","Cers6"
"81","Cdk8"
"82","Milr1"
"83","Gria3"
"84","AI506816"
"85","Mgat5"
"86","Chrm3"
"87","Nkg7"
"88","Exoc6b"
"89","Nin"
"90","Tyrobp"
"91","Slco3a1"
"92","Lmo2"
"93","Tgfb1"
"94","Tbxas1"
"95","Utrn"
"96","Mmrn1"
"97","Dlg2"
"98","mt-Nd5"
"99","Prdm16"
"100","Rnf220"
"101","Itgal"
"102","Ino80dos"
"103","Gpx1"
"104","Cacnb2"
"105","Dst"
"106","Nbea"
"107","Plppr3"
"108","Pard3b"
"109","Baz1a"
"110","Cd93"
"111","Slc16a10"
"112","Plxnc1"
"113","B3galt1"
"114","Rpl8"
"115","Gm42418"
"116","Gm20342"
"117","Erp29"
"118","Cd48"
"119","Eya2"
"120","Alcam"
"121","Mpl"
"122","Fam117a"
"123","Hexb"
"124","Flnb"
"125","Ncam2"
"126","Shank3"
"127","Kcnk12"
"128","Bcl11a"
"129","Adgrg3"
"130","Hacd4"
"131","Slc18a2"
"132","Gng12"
"133","Lncpint"
"134","Cpa3"
"135","Pabpc1"
"136","Slc28a2"
"137","Stmn1"
"138","St3gal1"
"139","Nup210"
"140","Irf2bp2"
"141","Hyou1"
"142","Gfod1"
"143","Gda"
"144","B4galnt1"
"145","Dnmt1"
"146","Lars2"
"147","mt-Nd4l"
"148","Rpn1"
"149","Plscr4"
"150","Tubb5"
"151","Fnbp1l"
"152","Pdia3"
"153","Rpn2"
"154","Ptpn7"
"155","Hspa5"
"156","Arhgap15"
"157","Rock2"
"158","Csgalnact2"
"159","Nap1l1"
"160","Rin3"
"161","Arhgdib"
"162","Lhcgr"
"163","Pecam1"
"164","Bach2"
"165","Tmem229b"
"166","Nudcd2"
"167","Ppp1r9a"
"168","Hnrnpab"
"169","Dock2"
"170","Ddost"
"171","Surf4"
"172","P4hb"
"173","Mir99ahg"
"174","Ms4a6c"
"175","C530008M17Rik"
"176","Hdgf"
"177","Ptk2b"
"178","Gcnt2"
"179","Arhgef12"
"180","Pcdh7"
"181","Gm2a"
"182","Tgfbr3"
"183","Rcc2"
"184","Pdgfd"
"185","Nhp2"
"186","Mc5r"
"187","Fam107b"
"188","Set"
"189","Ifitm1"
"190","Irf8"
"191","Slc9a9"
"192","Ramp1"
"193","Myof"
"194","Ctsz"
"195","Rcc1"
"196","Vav3"
"197","Arhgdia"
"198","Ssr1"
"199","Chchd4"
"200","Maml2"
"201","Abcg3"
"202","Airn"
"203","Hsp90b1"
"204","Cd52"
"205","Pim1"
"206","Cdk17"
"207","Lpp"
"208","Prkce"
"209","Mif"
"210","Neat1"
"211","Pdia6"
"212","Eif3b"
"213","Eef2"
"214","Klf12"
"215","Hspd1"
"216","Eef1a1"
"217","Idh1"
"218","Epha7"
"219","Eif5a"
"220","Fmnl2"
"221","Tgm2"
"222","Chsy1"
"223","Tnip3"
"224","Pgs1"
"225","Topbp1"
"226","Zeb2"
"227","Metrn"
"228","Uba7"
"229","Flna"
"230","Ncl"
"231","Ifitm3"
"232","Cadps2"
"233","Eif3l"
"234","Rpl28"
"235","Top2a"
"236","Prkag2"
"237","Sult1a1"
"238","Cdc42bpa"
"239","Cd44"
"240","9530026P05Rik"
"241","Knstrn"
"242","Dip2c"
"243","Gata2"
"244","Nrxn1"
"245","Nolc1"
"246","Ldlrad4"
"247","Myct1"
"248","Cotl1"
"249","Pdzk1ip1"
"250","Cit"
"251","Cmtm7"
"252","Ccser1"
"253","Mfsd13a"
"254","Lmnb1"
"255","Fes"
"256","Tfdp1"
"257","Igf1r"
"258","Mef2c"
"259","Tbc1d9b"
"260","Ptpre"
"261","Mki67"
"262","Ybx3"
"263","Myo1d"
"264","Pclaf"
"265","H2afj"
"266","Tmcc1"
"267","Chaf1a"
"268","Fasn"
"269","Serp1"
"270","Xylt1"
"271","Clec2d"
"272","Cep128"
"273","Syk"
"274","Uhrf1"
"275","Rgs18"
"276","Laptm5"
"277","Prkch"
"278","Lbr"
"279","Gm19951"
"280","Ran"
"281","Serpinb1a"
"282","Nfam1"
"283","Mctp1"
"284","Cdt1"
"285","Gpi1"
"286","Atrnl1"
"287","Fhit"
"288","Lrba"
"289","H2afz"
"290","Cysltr2"
"291","Fli1"
"292","Acot7"
"293","Gimap8"
"294","Ccnd3"
"295","mt-Atp8"
"296","Actg1"
"297","Rad51b"
"298","Rbfox2"
"299","Cenpe"
"300","Arhgap6"
"301","Cpne8"
"302","Asrgl1"
"303","Nfat5"
"304","Tex2"
"305","Smarca2"
"306","Rasgrp2"
"307","Ggta1"
"308","Map3k5"
"309","Slain2"
"310","Gulp1"
"311","Flt3"
"312","Kif20b"
"313","Mapkapk2"
"314","Sun2"
"315","Ly6e"
"316","Mcm6"
"317","Phactr1"
"318","Gimap6"
"319","Hexa"
"320","Eif4ebp2"
"321","Gm15564"
"322","Rplp0"
"323","Selplg"
"324","Bicd1"
"325","Hdac9"
