"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Rab44",0.0165035042990463,0,0.0591644440425714,0.016906028794145,0.016906028794145,0,0.050718086382435,0,0,0,0.06762411517658,0,0.06762411517658,0.016906028794145,0.016906028794145,0.016906028794145,0,0,0.016906028794145,0.03381205758829,0.016906028794145,0.06762411517658,0.03381205758829,0.0606074792631219,0.050718086382435,0.050718086382435,0.016906028794145,0.03381205758829,0.084530143970725,0.016906028794145,0.06762411517658,0.06762411517658,0.084530143970725,0.050718086382435,0.050718086382435,0.0606074792631219,0.03381205758829,0.104308929732099,0.133674120081512,0.050718086382435,0.016906028794145,0.128231594439702,0.128231594439702,0.121214958526244,0.104308929732099,0.131104351406931,0.0874029009379539,0.128231594439702,0.0606074792631219,0.228093656932924,0.06762411517658,0.104308929732099,0.128231594439702,0.145137623233847,0.178949680822137,0.111325565645557,0.178949680822137,0.256463188879404,0.273369217673549,0.104308929732099,0.411490204993938,0.27466786436913,0.279114731608007,0.250442211368879,0.285828379228817,0.440579931767284,0.266352581760091,0.30303739631561,0.296020760402152,0.516794793128969,0.742518602538634,0.434834417832826,0.433838759429893,0.229667767204572,0.467266710750667,0.468646475421116,0.505331289976635,0.685579617494353,0.794335414465328,0.836462754662657
"Atp8b4",0.0330070085980926,0.0330070085980926,0.0165035042990463,0.016906028794145,0,0.016906028794145,0,0.03381205758829,0,0.06762411517658,0.016906028794145,0.03381205758829,0.016906028794145,0,0.016906028794145,0.03381205758829,0.03381205758829,0.050718086382435,0.050718086382435,0.03381205758829,0.016906028794145,0.016906028794145,0,0.03381205758829,0.050718086382435,0.043701450468977,0.06762411517658,0.050718086382435,0.043701450468977,0.084530143970725,0.016906028794145,0.03381205758829,0.138120987320389,0.104308929732099,0.10143617276487,0.111325565645557,0.06762411517658,0.171933044908679,0.0775135080572669,0.0874029009379539,0.145137623233847,0.181822437789366,0.188839073702824,0.212761738410427,0.050718086382435,0.178949680822137,0.152154259147305,0.111325565645557,0.239557160085259,0.229667767204572,0.205745102496969,0.252319309933175,0.337845112306833,0.319943425109755,0.242429917052488,0.155027016114534,0.228093656932924,0.374805390438419,0.249446552965946,0.305607164990191,0.484859834104975,0.387567540286335,0.478838856594451,0.385993430014687,0.498893105931892,0.549032740445612,0.494446238693014,0.550909839009908,0.706548407259859,0.861272435081745,0.706629525234727,0.837733876641657,0.772873875740858,0.714836165152317,0.762097467148686,0.926629769876391,0.875992801468825,1.06851610542562,0.926326781583743,1.50761569405455
"Mpo",0.127982819230575,0.141681965537803,0.0990210257942779,0.128231594439702,0.138120987320389,0.0775135080572669,0.145137623233847,0.026795421674832,0.03381205758829,0,0.128231594439702,0.10143617276487,0.050718086382435,0.118342201559015,0.050718086382435,0.084530143970725,0.094419536851412,0.016906028794145,0.148010380201076,0.152154259147305,0.0803862650244958,0.050718086382435,0.178949680822137,0.111325565645557,0.121214958526244,0.094419536851412,0.266352581760091,0.162043652027992,0.152154259147305,0.138120987320389,0.121214958526244,0.229667767204572,0.178949680822137,0.162043652027992,0.239557160085259,0.212761738410427,0.201298235258092,0.357899361644274,0.222651131291114,0.205745102496969,0.246573795998717,0.20831487117155,0.232540524171801,0.415249977672651,0.340993332850129,0.333976696936671,0.249446552965946,0.324087304055984,0.405469227483413,0.360772118611503,0.383423661340106,0.401600812113251,0.293148003434923,0.364915997557732,0.292460908874759,0.458064412430144,0.433838759429893,0.494446238693015,0.380247916080229,0.376104037134,0.613091428544678,0.491876470018434,0.594199658494788,0.665995177334178,0.519667550096199,0.514225024454389,0.661932416362817,0.645637939704089,0.781389079501218,0.889641967028225,1.16875669863623,0.782460280328897,1.02875861275155,0.701250433292918,1.26701117076483,1.2940337196662,0.952819214965928,1.35676547003496,1.56282023206986,2.07263782093539
"Ctsg",0,0,0.0330070085980926,0.016906028794145,0.03381205758829,0.016906028794145,0.016906028794145,0.016906028794145,0,0,0.016906028794145,0,0,0,0,0,0.016906028794145,0,0,0.03381205758829,0.016906028794145,0.016906028794145,0,0.016906028794145,0.06762411517658,0.050718086382435,0,0.016906028794145,0.03381205758829,0.016906028794145,0.050718086382435,0.016906028794145,0.03381205758829,0.050718086382435,0.016906028794145,0.118342201559015,0,0.0606074792631219,0.118342201559015,0,0.094419536851412,0.016906028794145,0.03381205758829,0.050718086382435,0.06762411517658,0.084530143970725,0,0.06762411517658,0.03381205758829,0.050718086382435,0.03381205758829,0.03381205758829,0.050718086382435,0.03381205758829,0.050718086382435,0.043701450468977,0.084530143970725,0.03381205758829,0.06762411517658,0.050718086382435,0.06762411517658,0.016906028794145,0,0.084530143970725,0.0775135080572669,0.131104351406931,0.084530143970725,0.06762411517658,0.178949680822137,0.178949680822137,0.229667767204572,0.118342201559015,0.084530143970725,0.13524823035316,0.232540524171801,0.170358934637031,0.198728466583511,0.322816182076984,0.51809343982455,0.612101345691866
"F630028O10Rik",0,0,0,0.03381205758829,0.016906028794145,0.016906028794145,0.043701450468977,0,0,0,0.016906028794145,0.016906028794145,0.016906028794145,0,0,0,0,0.016906028794145,0,0.03381205758829,0,0.050718086382435,0,0.026795421674832,0.128231594439702,0.016906028794145,0.0606074792631219,0.03381205758829,0.128231594439702,0.03381205758829,0.016906028794145,0.016906028794145,0.016906028794145,0.03381205758829,0.050718086382435,0.03381205758829,0.016906028794145,0.016906028794145,0.094419536851412,0.0775135080572669,0.016906028794145,0.016906028794145,0.118342201559015,0.03381205758829,0.050718086382435,0.06762411517658,0.06762411517658,0.10143617276487,0.050718086382435,0.043701450468977,0.050718086382435,0.03381205758829,0.0775135080572669,0.06762411517658,0.10143617276487,0.050718086382435,0.104308929732099,0.094419536851412,0.111325565645557,0.016906028794145,0.06762411517658,0.084530143970725,0.084530143970725,0.084530143970725,0.10143617276487,0.152154259147305,0.043701450468977,0.118342201559015,0.104308929732099,0.219778374323885,0.273369217673549,0.10143617276487,0.171933044908679,0.128231594439702,0.30303739631561,0.249446552965946,0.266352581760091,0.30430851829461,0.283258610554236,0.546462971771031
"Ccl9",0.0426609397435251,0.0330070085980926,0.0165035042990463,0.03381205758829,0.016906028794145,0,0.06762411517658,0,0.016906028794145,0.016906028794145,0.050718086382435,0,0.016906028794145,0.03381205758829,0.016906028794145,0.043701450468977,0,0.03381205758829,0.03381205758829,0.043701450468977,0,0,0.050718086382435,0,0,0,0.043701450468977,0,0.06762411517658,0.094419536851412,0.043701450468977,0.016906028794145,0.03381205758829,0.016906028794145,0.016906028794145,0.043701450468977,0.0606074792631219,0.03381205758829,0.06762411517658,0.03381205758829,0.084530143970725,0.03381205758829,0.03381205758829,0.03381205758829,0.050718086382435,0.06762411517658,0.089972669612535,0.050718086382435,0.03381205758829,0.050718086382435,0.111325565645557,0.050718086382435,0.10143617276487,0.10143617276487,0.084530143970725,0.162043652027992,0.0606074792631219,0.094419536851412,0.121214958526244,0.155027016114534,0.094419536851412,0.094419536851412,0.138120987320389,0.155027016114534,0.188839073702824,0.178949680822137,0.340717869274062,0.242429917052488,0.422375256277558,0.394584176199793,0.350882725730816,0.307181275261839,0.293148003434923,0.340993332850129,0.350882725730816,0.424945024952139,0.128231594439702,0.312926789196297,0.222651131291114,0.324087304055984
"Mecom",2.13739563158119,2.0832139290511,1.96336504925313,1.94521404430884,2.10916835404557,1.91260849899806,2.16009461964772,1.96695700198577,2.08193125343535,2.0715119821206,2.04256556671887,2.02875291683956,1.93157732993592,1.93704043096173,1.89560994337386,1.94110396549888,2.06585298915186,1.98391722425488,1.77474069345829,1.88488943683211,1.85467333772658,1.65625531066591,1.72380041671478,1.74384044848032,1.80203739918389,1.77558426656375,1.8087980791613,1.47140960885805,1.5864522268643,1.63174298320637,1.51000743096129,1.4029002508472,1.28432267719472,1.39981401116998,1.34804804356784,1.51211793076988,1.546567288992,1.27037667669102,1.40849609559794,1.18399819917583,1.47863212129923,1.38626175940356,1.19904200496383,1.20045210306758,1.03094427515861,1.21088961438368,1.22652452119883,1.39278007080793,1.20643717159468,1.1497893861616,1.12160403933131,0.982790381900636,0.981524835471758,0.838484404901822,0.736107943210471,0.762681494567523,0.978240447520433,0.837928222242857,0.769114103062145,0.87017174510962,0.873319965652917,0.638312739947861,0.861959529641908,0.66569218904153,0.78314737488906,0.60914747074977,0.903944747054814,0.57483250371751,0.728285409560396,0.743589803366313,0.560496243597947,0.580550492935388,0.388563198689268,0.557623486630718,0.548037082042679,0.393010065928145,0.517790451531903,0.309366937668904,0.293148003434923,0.235110292846382
"Malat1",3.31414846342601,3.23126614706529,3.27984548673112,3.2951112097044,3.25205425298623,3.23106076580428,3.35282382335398,3.19115349491964,3.26896521289967,3.27964672210694,3.19874442990141,3.34222149052108,3.20264900079681,3.12295946250486,3.139553735929,3.20101074535876,3.18267228257233,3.05854069166277,3.0221871324588,3.13032389393747,3.09752484269684,3.04477799320832,3.13844291636858,2.99744540062337,3.00751736172934,2.97744605444056,2.95040509947159,2.96782673482384,2.85813682400391,2.86375671137775,2.87071501932776,2.82413863531482,2.87729192625307,2.88313616004895,2.77035944464996,2.8527865448656,2.83012222400296,2.71618167486363,2.75581580489317,2.72194680853098,2.84311837628994,2.76282004718251,2.81153586602656,2.71190281901761,2.66911064694331,2.7188692329469,2.70785840814639,2.85689703532587,2.67019251901242,2.69607774381068,2.64413008613034,2.58288450027826,2.71654043878414,2.56457114893093,2.60667690993436,2.43915122020954,2.55371081008505,2.57156969412026,2.51143586479654,2.29106494066564,2.50361258474065,2.37658058729717,2.46114942559314,2.25652270487664,2.58689094826343,2.35707470050382,2.46564257042571,2.34326363109192,2.34642577122627,2.29984063870862,2.37602493271331,2.5218509573728,2.4161596495003,2.48942135921816,2.27159423666101,2.30442865609117,2.40881453661369,2.32358438910646,2.37412697827979,2.15987057300174
"Chdh",0,0,0,0,0.016906028794145,0,0.016906028794145,0,0,0,0,0,0,0.016906028794145,0,0,0,0,0,0.016906028794145,0,0.016906028794145,0,0,0,0,0,0,0.016906028794145,0,0,0.016906028794145,0,0,0,0.016906028794145,0,0,0,0,0.016906028794145,0,0,0,0.016906028794145,0.050718086382435,0.0606074792631219,0.016906028794145,0,0,0,0,0.03381205758829,0.016906028794145,0,0,0.016906028794145,0,0.050718086382435,0.043701450468977,0.016906028794145,0.03381205758829,0.050718086382435,0,0.016906028794145,0.050718086382435,0.016906028794145,0.016906028794145,0.162043652027992,0.016906028794145,0.03381205758829,0.03381205758829,0.03381205758829,0.026795421674832,0.10143617276487,0.03381205758829,0.06762411517658,0.03381205758829,0.162043652027992,0.266352581760091
"BC035044",0.0165035042990463,0.0426609397435251,0.0165035042990463,0.03381205758829,0,0.03381205758829,0.03381205758829,0.03381205758829,0.016906028794145,0.03381205758829,0,0,0,0,0,0,0.016906028794145,0.016906028794145,0.06762411517658,0.016906028794145,0.050718086382435,0.016906028794145,0.03381205758829,0.0606074792631219,0.0874029009379539,0.118342201559015,0.050718086382435,0.050718086382435,0.138120987320389,0.118342201559015,0.043701450468977,0.10143617276487,0.050718086382435,0.111325565645557,0.171933044908679,0.148010380201076,0.0606074792631219,0.111325565645557,0.10143617276487,0.111325565645557,0.13524823035316,0.188839073702824,0.191711830670053,0.256463188879404,0.155027016114534,0.13524823035316,0.178949680822137,0.261905714521214,0.195855709616282,0.205745102496969,0.295717772109504,0.205745102496969,0.298590529076733,0.325385950751565,0.333976696936671,0.266352581760091,0.266352581760091,0.356325251372626,0.290275246467694,0.290275246467694,0.343866089817358,0.349308615459168,0.40447356908048,0.312926789196297,0.380550904372877,0.380550904372877,0.367788754524961,0.336546465611252,0.407346326047709,0.297291882381152,0.444723810713513,0.305223058722675,0.542594556400869,0.563369000565175,0.581849139630969,0.504335631573702,0.411490204993938,0.567512879511405,0.346435858491939,0.364915997557732
