"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Rab44",0.282547619047619,0.241309523809524,0.28747619047619,0.193243902439024,0.325048780487805,0.34390243902439,0.315365853658537,0.364658536585366,0.266365853658537,0.357024390243902,0.409268292682927,0.39709756097561,0.220853658536585,0.460439024390244,0.27319512195122,0.291292682926829,0.257829268292683,0.356731707317073,0.462731707317073,0.273317073170732,0.316707317073171,0.269024390243902,0.256268292682927,0.489317073170732,0.324487804878049,0.289609756097561,0.308463414634146,0.443243902439024,0.329512195121951,0.330414634146341,0.396390243902439,0.360073170731707,0.413,0.325439024390244,0.287609756097561,0.306292682926829,0.371560975609756,0.513414634146341,0.433780487804878,0.465365853658537,0.399341463414634,0.562682926829268,0.424951219512195,0.469804878048781,0.453707317073171,0.480560975609756,0.439829268292683,0.486780487804878,0.603585365853659,0.467268292682927,0.436439024390244,0.489658536585366,0.612658536585366,0.391073170731707,0.577439024390244,0.578487804878049,0.465536585365854,0.566609756097561,0.476146341463415,0.563243902439024,0.614780487804878,0.559658536585366,0.658341463414634,0.75309756097561,0.530878048780488,0.674878048780488,0.692780487804878,0.682658536585366,0.812243902439024,0.612463414634146,0.659487804878049,0.935804878048781,0.744926829268293,0.657170731707317,0.501512195121951,1.0020487804878,0.980292682926829,0.757536585365854,0.672585365853659,0.810048780487805
"Atp8b4",0.3795,0.40497619047619,0.281690476190476,0.380463414634146,0.331073170731707,0.262682926829268,0.341,0.378292682926829,0.274878048780488,0.275658536585366,0.395585365853659,0.359951219512195,0.366121951219512,0.367048780487805,0.427024390243902,0.316878048780488,0.381170731707317,0.404317073170732,0.314390243902439,0.445658536585366,0.570195121951219,0.326634146341463,0.403853658536585,0.577536585365854,0.444439024390244,0.392536585365854,0.662804878048781,0.736585365853659,0.579121951219512,0.593609756097561,0.507390243902439,0.571414634146342,0.616951219512195,0.611512195121951,0.587512195121951,0.686609756097561,0.633682926829268,0.680292682926829,0.612414634146341,0.636853658536585,0.669878048780488,0.727243902439024,0.717682926829268,0.837682926829268,0.576439024390244,0.75719512195122,0.813707317073171,0.782073170731707,0.634634146341463,0.764414634146341,0.712731707317073,0.803268292682927,0.775048780487805,0.816048780487805,0.848926829268293,0.795756097560976,1.08307317073171,0.83090243902439,0.926682926829268,0.868560975609756,0.723560975609756,0.855585365853659,0.700780487804878,0.781463414634146,0.878341463414634,0.861439024390244,0.977268292682927,1.03190243902439,1.17463414634146,0.952682926829268,0.98,1.01031707317073,1.00831707317073,0.961341463414634,1.09975609756098,1.20187804878049,1.02007317073171,1.07192682926829,1.36551219512195,1.98175609756098
"Mpo",0.152880952380952,0.165142857142857,0.131166666666667,0.0659268292682927,0.171463414634146,0.132658536585366,0.14190243902439,0.183804878048781,0.164878048780488,0.135365853658537,0.104048780487805,0.267146341463415,0.173975609756098,0.235,0.107219512195122,0.148512195121951,0.255585365853659,0.216390243902439,0.213536585365854,0.236585365853659,0.323073170731707,0.310707317073171,0.281682926829268,0.189609756097561,0.253926829268293,0.207487804878049,0.285048780487805,0.197878048780488,0.293243902439024,0.25619512195122,0.355365853658537,0.234073170731707,0.342853658536585,0.370536585365854,0.256146341463415,0.372219512195122,0.358317073170732,0.366365853658537,0.479,0.284853658536585,0.325170731707317,0.454048780487805,0.46619512195122,0.440536585365854,0.235048780487805,0.640682926829268,0.469536585365854,0.41690243902439,0.380341463414634,0.542146341463415,0.461195121951219,0.534365853658537,0.517658536585366,0.629243902439024,0.442390243902439,0.407414634146341,0.398756097560976,0.803024390243902,0.616219512195122,0.623658536585366,0.594536585365854,0.525414634146341,0.43909756097561,0.66780487804878,0.414585365853659,0.452121951219512,0.944634146341463,0.870341463414634,0.73680487804878,0.82980487804878,0.867609756097561,0.772487804878049,0.869414634146341,0.788024390243902,0.911390243902439,1.03653658536585,0.876634146341463,0.924829268292683,1.36558536585366,1.60319512195122
"Ctsg",0.0177142857142857,0,0.052547619047619,0.00375609756097561,0.014390243902439,0.0584634146341463,0.0246829268292683,0.0347560975609756,0.0149268292682927,0.039219512195122,0.048219512195122,0.0202682926829268,0.0939268292682927,0.0812926829268293,0,0.158487804878049,0.0365365853658537,0.0758048780487805,0.0214146341463415,0.0204634146341463,0.0340487804878049,0.135365853658537,0.0664634146341463,0.0166341463414634,0.0931463414634146,0.0345121951219512,0.101512195121951,0.0931219512195122,0.0679024390243902,0.0528780487804878,0.0981951219512195,0.0775121951219512,0.11509756097561,0.0498780487804878,0.153292682926829,0.0851219512195122,0.0462682926829268,0.142975609756098,0.102780487804878,0.20409756097561,0.180390243902439,0.121048780487805,0.150463414634146,0.129146341463415,0.118951219512195,0.161414634146341,0.0471463414634146,0.165317073170732,0.182560975609756,0.167560975609756,0.344073170731707,0.137975609756098,0.365780487804878,0.140756097560976,0.489341463414634,0.171170731707317,0.121219512195122,0.328487804878049,0.302756097560976,0.189878048780488,0.327560975609756,0.366317073170732,0.32080487804878,0.204048780487805,0.488341463414634,0.543634146341463,0.715756097560976,0.624439024390244,0.573170731707317,0.41090243902439,0.794609756097561,0.567634146341463,0.855024390243902,0.477048780487805,1.10373170731707,1.03507317073171,0.543317073170732,0.572780487804878,0.886609756097561,0.893219512195122
"F630028O10Rik",0.222547619047619,0.197904761904762,0.276071428571429,0.174975609756098,0.256268292682927,0.253243902439024,0.262414634146341,0.18190243902439,0.171317073170732,0.144219512195122,0.204560975609756,0.155146341463415,0.267268292682927,0.148073170731707,0.195707317073171,0.261243902439024,0.165853658536585,0.380731707317073,0.277585365853659,0.205780487804878,0.241219512195122,0.214707317073171,0.196390243902439,0.308341463414634,0.268146341463415,0.282536585365854,0.294829268292683,0.273731707317073,0.363024390243902,0.397121951219512,0.212048780487805,0.335731707317073,0.312536585365854,0.334536585365854,0.281,0.327487804878049,0.265951219512195,0.247170731707317,0.193512195121951,0.194585365853659,0.390487804878049,0.421,0.271243902439024,0.278975609756098,0.403195121951219,0.310975609756098,0.423463414634146,0.335024390243902,0.293121951219512,0.471365853658537,0.334609756097561,0.182975609756098,0.366731707317073,0.319634146341463,0.65419512195122,0.425463414634146,0.36009756097561,0.394731707317073,0.264219512195122,0.368219512195122,0.317585365853659,0.330414634146341,0.345317073170732,0.379024390243902,0.378634146341463,0.349512195121951,0.629341463414634,0.33690243902439,0.279146341463415,0.587512195121951,0.800365853658537,0.374487804878049,0.553487804878049,0.381682926829268,0.666585365853659,0.57280487804878,0.411317073170732,0.405780487804878,0.370512195121951,0.439756097560976
"Ccl9",0.617333333333333,0.726238095238095,0.558285714285714,0.563512195121951,0.570414634146342,0.49019512195122,0.510536585365854,0.696975609756098,0.661,0.652243902439024,0.337463414634146,0.594658536585366,0.445414634146341,0.45909756097561,0.425439024390244,0.704414634146341,0.520365853658537,0.51409756097561,0.473878048780488,0.505243902439024,0.775390243902439,0.820195121951219,0.66790243902439,0.888146341463415,0.802487804878049,0.688707317073171,0.579853658536585,0.794926829268293,1.06109756097561,0.627536585365854,0.771536585365854,0.928560975609756,0.724146341463415,0.632829268292683,0.713195121951219,0.725829268292683,0.785219512195122,0.925317073170732,0.594512195121951,0.754146341463415,0.754951219512195,0.981585365853659,1.11478048780488,0.837804878048781,0.911585365853659,0.68309756097561,0.870609756097561,0.992268292682927,0.824024390243902,0.967268292682927,0.883756097560976,0.951512195121951,0.847512195121951,1.13651219512195,1.08819512195122,1.18821951219512,1.0039512195122,0.912878048780488,0.959634146341463,0.938853658536585,1.10870731707317,0.893487804878049,0.963341463414634,1.19363414634146,0.920804878048781,0.893878048780488,1.0770487804878,1.15007317073171,0.995731707317073,0.858414634146341,1.3889756097561,1.1099756097561,1.11326829268293,0.955414634146341,0.921536585365854,0.991487804878049,0.918951219512195,1.02421951219512,0.932512195121951,1.20426829268293
"Mecom",3.23692857142857,3.09216666666667,3.0665,3.20758536585366,3.05139024390244,2.99031707317073,3.196,2.91185365853659,2.94239024390244,3.04382926829268,2.96087804878049,3.08631707317073,2.90678048780488,2.92324390243902,2.85014634146341,2.59407317073171,2.92373170731707,2.83539024390244,2.81568292682927,2.77339024390244,2.7319512195122,2.5759756097561,2.89278048780488,2.7090243902439,2.13865853658537,2.59080487804878,2.77226829268293,1.97868292682927,2.52939024390244,2.61526829268293,2.45839024390244,2.44763414634146,2.21251219512195,2.32821951219512,1.94487804878049,2.06468292682927,2.44007317073171,1.97190243902439,2.35890243902439,2.10180487804878,2.14614634146341,2.16741463414634,1.82358536585366,2.06675609756098,2.09163414634146,1.87841463414634,2.04860975609756,2.03348780487805,2.37287804878049,2.05256097560976,1.98190243902439,2.09360975609756,2.02614634146341,2.01753658536585,2.16212195121951,2.12182926829268,1.94243902439024,1.89753658536585,1.67956097560976,1.83419512195122,1.62924390243902,1.88753658536585,1.93114634146341,1.69324390243902,1.714,1.72141463414634,1.87012195121951,1.76180487804878,1.59951219512195,1.53990243902439,1.64829268292683,1.43714634146341,1.65317073170732,1.42151219512195,1.43856097560976,1.35719512195122,1.52892682926829,1.36160975609756,1.37419512195122,0.97109756097561
"Malat1",2.54942857142857,2.29507142857143,2.57942857142857,2.57680487804878,1.9179512195122,2.25639024390244,2.3450243902439,2.14607317073171,2.4590487804878,2.01085365853659,2.41409756097561,2.8969756097561,2.41146341463415,1.99534146341463,2.24987804878049,2.52443902439024,2.07012195121951,2.451,2.17029268292683,2.87085365853659,2.48341463414634,2.6469756097561,2.10531707317073,2.15590243902439,1.52719512195122,2.35607317073171,1.77531707317073,2.30012195121951,2.3379756097561,1.83821951219512,1.95675609756098,1.87631707317073,2.25968292682927,2.44660975609756,2.1809756097561,2.33534146341463,2.42860975609756,2.26070731707317,2.05360975609756,2.1469512195122,2.20760975609756,2.00507317073171,2.10058536585366,1.90312195121951,2.63168292682927,1.77378048780488,1.94131707317073,2.33353658536585,2.02017073170732,2.28087804878049,1.99682926829268,1.75087804878049,1.91136585365854,2.26270731707317,2.12192682926829,1.98407317073171,2.11756097560976,2.04175609756098,2.58082926829268,2.03275609756098,2.48680487804878,1.87378048780488,1.71931707317073,1.99460975609756,2.2570243902439,2.3520243902439,2.0880243902439,2.09307317073171,2.18043902439024,2.36809756097561,1.82948780487805,1.62173170731707,2.07929268292683,2.2320487804878,2.33756097560976,1.93346341463415,2.0110243902439,2.12941463414634,2.05524390243902,2.51570731707317
"Chdh",0.0998333333333333,0.211833333333333,0.177642857142857,0.129073170731707,0.129390243902439,0.08,0.122975609756098,0.165170731707317,0.126170731707317,0.179658536585366,0.24419512195122,0.179707317073171,0.220951219512195,0.186414634146341,0.138463414634146,0.121439024390244,0.194829268292683,0.16319512195122,0.133463414634146,0.139926829268293,0.165024390243902,0.330926829268293,0.215536585365854,0.202707317073171,0.259682926829268,0.190463414634146,0.250658536585366,0.268341463414634,0.29509756097561,0.234512195121951,0.328878048780488,0.183268292682927,0.22980487804878,0.24680487804878,0.395268292682927,0.233951219512195,0.234341463414634,0.385951219512195,0.232390243902439,0.335756097560976,0.39780487804878,0.278682926829268,0.358219512195122,0.390878048780488,0.233707317073171,0.381682926829268,0.30419512195122,0.413121951219512,0.328926829268293,0.294121951219512,0.253048780487805,0.288829268292683,0.24090243902439,0.328731707317073,0.296268292682927,0.326731707317073,0.240170731707317,0.261829268292683,0.226463414634146,0.381926829268293,0.279,0.472682926829268,0.30909756097561,0.384024390243902,0.514,0.371634146341463,0.33890243902439,0.412170731707317,0.366365853658537,0.402926829268293,0.314878048780488,0.340121951219512,0.558390243902439,0.407,0.311658536585366,0.449780487804878,0.336390243902439,0.358609756097561,0.62009756097561,0.506439024390244
"BC035044",0.666761904761905,0.78,0.545738095238095,0.598926829268293,0.730585365853659,0.752731707317073,0.883634146341463,0.50180487804878,0.671731707317073,0.733365853658537,0.868487804878049,0.627463414634146,0.705682926829268,0.686853658536585,0.642365853658537,0.682926829268293,0.580512195121951,0.680658536585366,0.609731707317073,0.518829268292683,0.639634146341463,0.657707317073171,0.581195121951219,0.517487804878049,0.709707317073171,0.649536585365854,0.651170731707317,0.664073170731707,0.744731707317073,0.835878048780488,0.718585365853659,0.759268292682927,0.734756097560976,0.67819512195122,0.918560975609756,0.646804878048781,0.738,1.06360975609756,0.876585365853658,0.771268292682927,0.768292682926829,0.772048780487805,0.695512195121951,0.777804878048781,0.791219512195122,0.836731707317073,0.970512195121951,0.722634146341463,0.818853658536585,0.890341463414634,0.893707317073171,0.764219512195122,0.747268292682927,0.804512195121951,0.881853658536585,0.861170731707317,1.01241463414634,0.963536585365854,0.861292682926829,0.952975609756098,1.00514634146341,0.866073170731707,1.03607317073171,0.945731707317073,0.774390243902439,1.09839024390244,0.939146341463415,1.04429268292683,1.11336585365854,1.03175609756098,1.16412195121951,1.10785365853659,1.25978048780488,1.10546341463415,1.22829268292683,1.05324390243902,1.23931707317073,1.21082926829268,1.17124390243902,1.13519512195122
