"","Chrm3","Cdk6","Il1rapl2","Gda","Trpc6","Cd34","Plcl1","Rora","Mecom","Rnf220","Dock10","Sult1a1","Magi2","Dlg2","H2afy","Slco3a1","Tox","Itsn1","Txnip","Plxdc2","Flt3","Slc22a3","Pbx1","Mmrn1","2610307P16Rik","Maml3","Ptpre","Eya4","Mdga1","Prkg1","Mllt3","Arhgap15","Sox4","Tespa1","Med12l","Satb1","Pitpnc1","Clnk","Exoc6b","Mpl","Fam117a","Alcam","St3gal1","Vav3","Pan3","Top2a","Sgms1","Tbxas1","Rad51b","Stmn1","Dnmt1","Ncam2","Abcg3","Prdm16","C530008M17Rik","Airn","Tgm2","Plac8","Samd12","Nbea","Vwf","Hacd4","Pdgfd","Cavin2","Mpo","Atp8b4","Grb10","Sell","Plxnc1","Lhcgr","9530026P05Rik","Myof","Kcnb2","Slc9a9","BC035044","Hdac9","Pdzk1ip1","Csgalnact1","Cacnb2","Car2","Cysltr2","Apoe","Tgfbr3","Neat1","Irf2bp2","Nfia","Parp8","Cmtm7","Plscr4","Pard3b","Dst","Adgrg3","Tmsb10","Prkn","Dennd4a","Hlf","Ifitm1","Clec2d","Ikzf2","Oxr1","Meis1","Pcdh7","Slc18a2","Dach1"
"Chrm3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.832917705735661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cdk6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748129675810474,-0.14214463840399,0,0,0,0.927680798004987,0,0.670822942643391,0,-0.865336658354115,0,0.865336658354115,0,0,0,0,0,0,0,0.927680798004987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770573566084788,0,0,0,0,0
"Il1rapl2",0,0,0,0,0,0,0.885286783042394,0,0,0,0,0,0,0,0,0,0.758104738154613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491271820448878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gda",0.922693266832918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927680798004987,0,0,0,0,0,0,0,0,0,0.0523690773067332,0,0,0,0,0,0,0,0,0,0,0,0,0.428927680798005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trpc6",0,0,0,0,0,0,0,0,0.905236907730673,0,0,0,0,0.790523690773067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850374064837905,0,0,0,0,0,0,0,0,0,0,0,0,-0.336658354114713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473815461346633,0,0,-0.518703241895262,0.0324189526184539,0,0,0,0,0,0,0,0,0,0,0.134663341645885,0,0,0,0,0,0,0,0,0,0.880299251870324,0,0,0,0,0,0.0174563591022444,0,0,0,0,0,0,0,0,0,0.269326683291771,0,0,0,0,0,0,0,0
"Cd34",0,0.930174563591022,0,0,0,0,0,-0.880299251870324,0,0,0,0,0,0,0,0.72069825436409,0,0,0,0,0,0,0,0,0,0,0.493765586034913,0,0,0,0,0,0,0.950124688279302,0,0,0,0.897755610972569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.438902743142145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865336658354115,0,0,0,0.259351620947631,0,0,0,0,0,0,0,0,0,0,0,0
"Plcl1",0.770573566084788,0,0.526184538653367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366583541147132,0,0,0,0,0,0,0,0.940149625935162,0,0,0,0,0,0,0,0,0,0,0,0,0.940149625935162,0,0,0,0,0,0,0,0,0,0,0,0.865336658354115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758104738154613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830423940149626,0,0,0,0
"Rora",0,-0.765586034912718,0.890274314214464,0,0,-0.44139650872818,0.650872817955112,0,0,0,0,0,0,0.790523690773067,0,0,0.917705735660848,0,0,0.927680798004987,0,0,0.927680798004987,0,-0.917705735660848,-0.336658354114713,0,0,0,0,0.865336658354115,0,0,-0.85785536159601,0,0,0,0,0.827930174563591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.361596009975062,0,0,0,0,0,0,0,0,0,0,0,0,0.817955112219451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mecom",0,0,0,0,0,-0.306733167082294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790523690773067,0,0,0,0,0,-0.830423940149626,0,0,0,0.735660847880299,0.628428927680798,0,0,0,0,0,0,0,0,0.112219451371571,0,0,0,0,0,0,0,0.880299251870324,0,0,0,0,0,0.937655860349127,0,0,0,-0.912718204488778,0,0,0,0.790523690773067,0,0,0,-0.897755610972569,0,-0.506234413965087,0,0.897755610972569,0,0,0,0,0,0,0,0.805486284289277,0,0,0,0,0,0,-0.86783042394015,0,0,0,0,0,0.850374064837905,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rnf220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0448877805486284,0.830423940149626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748129675810474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dock10",0,0,0,0,0,0,0,0,-0.735660847880299,0,0,0,0,0,0,0,0,0,0,0,0.930174563591022,0,-0.773067331670823,-0.551122194513716,0,0,0,0,0,0,0,0,0,0.00748129675810474,0,0,0,0,0,-0.890274314214464,0,0,0,0.167082294264339,0.850374064837905,0,0,0,0,0,0,0,0,0,0,0,0,0.0423940149625935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0523690773067332,0,0,0,0,0,0,0,0,0.576059850374065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sult1a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.770573566084788,0,0,0,0,0,0,0,0,-0.643391521197007,0,0,0,0,0,0.827930174563591,0,0,0,0,0.640897755610973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401496259351621,0,0.0798004987531172,0,0,0.807980049875312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magi2",0,0,0,0,0,0,0.962593516209476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633416458852868,0,0,0,0,0,0,0,0,0,0,0,0.608478802992519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546134663341646,0,0,0,0,0,0
"Dlg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723192019950125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.620947630922693,0,0,0,0,0,0,0.301745635910224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2afy",0,0,0,0,0,0,0,-0.249376558603491,0,0.745635910224439,0,0,0,0,0,0,0,0,0,-0.15211970074813,0.620947630922693,0,0,0,0,0.830423940149626,0,0,0,0,0,0,0,0,0,0.633416458852868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249376558603491,0,0,0,0,0,0,0.461346633416459,0,0,0,0,0,0,0,0,0,0.356608478802993,0,0,0,0,0,0,0,-0.491271820448878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slco3a1",0,0.546134663341646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.219451371571072,0,0,0,0,0,0,0,0,0,0.316708229426434,0,0,0,0.182044887780549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236907730673317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324189526184539,0,0,0,0,0,0,0,0,0,0,0,0,0.264339152119701,0,0,0,0,0,0,0,0,0,0
