"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",1.45417953001118,1.59601561713031,1.45961821915643,1.42748943212127,1.59953873609721,1.46385998013744,1.39351001065965,1.4525993203202,1.21679398844298,1.232412419181,1.33299013217192,1.3002472666641,1.11705468572008,1.26230682010904,1.11379201469069,0.960222757820613,0.838416933539684,0.648503179919603,0.59011250741472,0.340712651331648,0.508737135627618,0.283148024006797,0.135291151296376,0.292974088709537,0.268453357384244,0.141574012003399,0.148766063814693,0.12130075659799,0.197413817541076,0.129823921272255,0.0575646273248511,0.0519860385419959,0.0346573590279972,0.0722592939474041,0.0866433975699931,0.0519860385419959,0.0693147180559945,0.0794513457586986,0.0346573590279972,0.0346573590279972,0.0346573590279972,0.0177730046297422,0.0355460092594844,0.0281695458632849,0.0177730046297422,0.0177730046297422,0.0945866526695881,0.106638027778453,0.0355460092594844,0.0992615643822536,0.045942550493027,0.0177730046297422,0.0177730046297422,0,0.0533190138892265,0.0355460092594844,0,0.0177730046297422,0.0533190138892265,0.0533190138892265,0.0355460092594844,0.0177730046297422,0.0281695458632849,0.0355460092594844,0.0355460092594844,0.0177730046297422,0,0.0533190138892265,0,0.0355460092594844,0.0355460092594844,0.0710920185189687,0,0,0.0355460092594844,0.0177730046297422,0.0355460092594844,0.0533190138892265,0.0355460092594844,0.0533190138892265
"Cdk6",0.631117746692241,0.668654662069147,0.504173381768894,0.552821135495277,0.50680739466034,0.507117957660304,0.789955418667137,0.538126468872724,0.635927044008428,0.509047698627582,0.428969511930081,0.587279290282045,0.6734176201691,0.749408907856321,0.696324888465954,0.526770087065785,0.683038765691736,0.84246520521834,0.88371343706306,0.953028155119055,0.983831747151371,1.04218238762208,1.35836800044638,1.09775421308423,1.27197586127272,1.23874733404313,1.26907017348727,1.37868759506802,1.35831124673301,1.43168846853414,1.35607094276577,1.42488651099896,1.70248395613614,1.42303111916115,1.63349182320104,1.68796370916774,1.48120478908744,1.63289421047735,1.51140203105228,1.81327466405729,1.54919686303086,1.74681826328636,1.71400678573807,1.8796519953684,1.82515799694752,1.85286421270953,1.89078974829172,1.71247684750979,1.80543573523829,1.60292227447,1.8301777547568,1.77273111998753,1.81715867893042,1.86842200767298,1.90099768348954,1.84289689559012,1.85604693666367,1.81603658851411,1.75020418655442,1.97253436989034,1.75740878678776,1.81064803252065,1.8546648334912,1.93473435676135,2.06356811053887,1.85208202474919,1.85959537420483,1.90959437877594,2.07932792796605,2.02168346039616,1.93201970420162,1.91179416290982,1.89108340556028,1.96679694691488,1.88436865523259,1.83502653023833,1.73867303334394,1.91906840611918,1.64602233992062,1.25330305017938
"Il1rapl2",1.30173036256316,1.17399065490698,1.28332182858253,1.33750343949934,0.941271960127107,1.02947817127298,1.17298051954111,1.05882641074842,1.16174511002888,1.22533527949898,1.26382827914092,1.14870063211502,1.15805594623012,1.2038241436076,1.2221879459958,0.987602368222812,0.930778819530135,0.909202664096252,0.835264887577907,0.539540727659934,0.671410448216457,0.51957803525449,0.251124677870246,0.476003802628025,0.399890741684939,0.176231371031396,0.396101994231759,0.152619830810375,0.190221765729781,0.171673332111547,0.265819344492799,0.203696678248099,0.106916652975401,0.0967800252726972,0.103972077083992,0.0621226662447,0.258704334344939,0.141574012003399,0.08330511275438,0.095166562244258,0.114108704786696,0.133152739766416,0.142184037037937,0.0918851009860541,0.0355460092594844,0.0177730046297422,0.0355460092594844,0.127431110245538,0.045942550493027,0.0533190138892265,0.0710920185189687,0.106638027778453,0.0533190138892265,0.0412676387803615,0.0533190138892265,0.0533190138892265,0.0355460092594844,0.0710920185189687,0.166929701039055,0.0177730046297422,0.0355460092594844,0.0710920185189687,0.106638027778453,0.0355460092594844,0.0637155551227692,0.0710920185189687,0.0355460092594844,0,0.106638027778453,0.0533190138892265,0.0412676387803615,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0177730046297422,0.0177730046297422,0.0710920185189687,0.0768136480398459,0.0355460092594844
"Gda",0.794125463601657,0.809635760907113,0.86547556644479,0.927486873930755,0.897299708340112,0.870427314288842,0.997822141849756,0.701387995068741,0.83860317239352,0.712433813875717,0.956788361693366,0.782369657931639,0.813173249963955,0.719936428686975,0.645043121848126,0.724805030606788,0.663392351225131,0.626494688229891,0.496388416792167,0.320749958926204,0.569445543085109,0.450263317198495,0.358500059312352,0.330576023628944,0.246566638950397,0.383893175033911,0.210888730059393,0.181809959814251,0.189002011625546,0.172893086215783,0.193560050545394,0.0794513457586986,0.1242453324894,0.0346573590279972,0.114108704786696,0.0519860385419959,0.114108704786696,0.106916652975401,0.0895879734614028,0.0794513457586986,0.0519860385419959,0.045942550493027,0.0355460092594844,0.0918851009860541,0.0888650231487109,0.0177730046297422,0.0177730046297422,0.0637155551227692,0.0355460092594844,0,0.0741120963563119,0.0637155551227692,0.045942550493027,0.0177730046297422,0.0177730046297422,0,0.0355460092594844,0.0355460092594844,0.045942550493027,0.0281695458632849,0.0710920185189687,0.0355460092594844,0.0533190138892265,0,0.0355460092594844,0.0355460092594844,0,0.0177730046297422,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0281695458632849,0.0533190138892265,0.0355460092594844,0.0281695458632849,0,0.0355460092594844,0,0.0533190138892265,0.0355460092594844
"Trpc6",0.928191145854923,0.966419921713132,0.840638557180658,0.765434687341844,0.808304648044142,0.70594603398859,0.807001748015667,0.689837108578827,0.812468978039787,0.854318388879079,0.743547968907997,0.905600155496908,0.850464621883397,0.74123023395539,0.770309004200532,0.985872846877383,0.698753982177295,0.795140298525789,0.758558913469389,0.656200299413836,0.599029381013189,0.786024220686091,0.604918532796008,0.68913283665466,0.575728403792131,0.663503709983865,0.6833493286917,0.38550663806235,0.478948378519434,0.317101111110627,0.451876780226935,0.492112728037787,0.579066688607744,0.322052858954679,0.424411473010232,0.262874768601389,0.317805383034794,0.414585408307492,0.3106133312235,0.411047919250649,0.228217409573392,0.386649716295472,0.400066335366358,0.318577775613846,0.188126587530964,0.297784693146761,0.327000956818257,0.211621221681584,0.297784693146761,0.346747321477131,0.287388151913218,0.241445601420191,0.294764615309418,0.191146665368308,0.145204114875281,0.142184037037937,0.170353582901222,0.226692674627792,0.315557697776503,0.239790767544869,0.254862220491077,0.0710920185189687,0.106638027778453,0.280011688517019,0.0533190138892265,0.0992615643822536,0.162977119505023,0.0710920185189687,0.0710920185189687,0.0533190138892265,0.106638027778453,0.0533190138892265,0.0741120963563119,0.0533190138892265,0.0533190138892265,0.045942550493027,0.115379735136673,0.0814885597525114,0.045942550493027,0.0637155551227692
"Cd34",0.114108704786696,0.0693147180559945,0.0794513457586986,0.176231371031396,0.148766063814693,0.103972077083992,0.166094743328692,0.138629436111989,0.103972077083992,0.0967800252726972,0.103972077083992,0.0895879734614028,0.138629436111989,0.207944154167983,0.190615474653985,0.0519860385419959,0.103972077083992,0.1242453324894,0.218080781870688,0.213833305950803,0.210888730059393,0.203696678248099,0.262874768601389,0.401504204713378,0.293284651709501,0.539851290659898,0.365233382656941,0.389754113982235,0.362599369765496,0.38550663806235,0.449242767335489,0.38550663806235,0.525156624037345,0.574508649687895,0.490499265009348,0.741934505879557,0.566013697848126,0.678791289771851,0.717413774554264,0.602284519904562,0.59447134209334,0.731862279484572,0.651300361952981,0.617409186568818,0.628095317715663,0.766565882978132,0.804085252266747,0.669073366582723,0.849101160538854,0.914471549536946,0.673748278295388,0.920836092841211,0.684144819528931,0.908864134127591,0.74617660453587,0.75814270177372,0.731423677743471,0.878197348623059,0.802430418391425,0.920193179057823,0.876019676551641,1.00647086463452,0.909182660281401,1.06882117579527,0.834752037771279,0.869569855376361,0.79973472818366,0.924578500857187,1.00647086463452,0.854498402430153,0.901373456619869,0.945047195694694,1.05302153119466,1.00336550892616,1.02017707361871,1.05970460065273,1.06031857819561,0.905440252265424,0.965846139637548,0.475225149530881
"Plcl1",1.37247606108555,1.19562356405423,1.45284486377766,1.35377584735248,1.51938311841435,1.26138877093245,1.30380000316804,1.37473073514274,1.43181125717063,1.40737837132783,1.31582633980385,1.45921076080571,1.28256550250325,1.14387104684876,1.19899616596514,0.996661692349147,0.914265770699038,1.17320934131938,0.815214349689968,0.731236056780552,0.722176732654217,0.569240623905004,0.611167076407731,0.51957803525449,0.566612325952433,0.402835317576348,0.582721251362196,0.427356048901642,0.365233382656941,0.275955972195503,0.335134062548793,0.228217409573392,0.372425434468236,0.434548100712936,0.24554608908739,0.24554608908739,0.33179577773318,0.221025357762097,0.261571868572914,0.207944154167983,0.148766063814693,0.446008885859385,0.162977119505023,0.400066335366357,0.191146665368308,0.257563772174611,0.0992615643822536,0.20891966999805,0.117034569011996,0.291454947558773,0.257563772174611,0.117034569011996,0.106638027778453,0.241445601420191,0.150925744396158,0.145204114875281,0.170353582901222,0.142184037037937,0.176075212422099,0.142184037037937,0.260583850011954,0.106638027778453,0.142184037037937,0.109658105615796,0.117034569011996,0.0533190138892265,0.15258057827148,0.0992615643822536,0.106638027778453,0.0710920185189687,0.0355460092594844,0.0992615643822536,0.0992615643822536,0.0637155551227692,0.11235965729933,0.117034569011996,0.106638027778453,0.117034569011996,0.0533190138892265,0.0888650231487109
"Rora",1.07334228962741,0.97836451712725,1.09471352588119,0.913102770308166,1.19124229275755,1.10222655518958,0.992870394005704,1.20670369995651,1.05139310254132,1.0632056619247,0.977343967264244,0.989327190009986,1.0890235783396,0.990741448797196,1.19863926374895,1.02001942328357,0.906614990421039,0.964045433047162,0.912276725128134,0.834156492232406,0.913419048247005,0.794436026601621,0.696829956148892,0.633293031116982,0.715062111828288,0.761187211421959,0.522128902221696,0.420163997090347,0.51521920057587,0.415605958170498,0.565591776089427,0.429990061793087,0.472150035632343,0.383582612033947,0.420474560090311,0.262874768601389,0.399890741684939,0.397256728793493,0.283148024006797,0.427356048901641,0.24554608908739,0.262238683887276,0.170353582901222,0.205899592160707,0.250187308778411,0.180750124134765,0.269615147283476,0.198523128764507,0.251842142653734,0.251842142653734,0.158302207792357,0.241445601420191,0.229394226311326,0.294764615309418,0.265258761724619,0.180750124134765,0.226692674627792,0.109658105615796,0.177730046297422,0.188126587530964,0.155600656108823,0.0888650231487109,0.117034569011996,0.045942550493027,0.0992615643822536,0.117034569011996,0.0992615643822536,0.0992615643822536,0.117034569011996,0.133152739766416,0.0533190138892265,0.0888650231487109,0.0355460092594844,0.0710920185189687,0.0710920185189687,0.0814885597525114,0.0710920185189687,0.0992615643822536,0.0533190138892265,0.292841286565703
"Mecom",2.1592354786187,2.03370925732195,1.95398370354078,1.9849986456214,2.10107597948134,1.99152531361449,2.02721932876683,2.01881211280634,2.11097466600797,1.99163902034223,2.09742886783716,2.02613806959765,1.93762719679136,2.0219325021663,1.85974754585553,1.9512508670196,1.99584541135827,2.02496700267865,1.93924341363132,1.80693398790142,1.79143918731919,1.78763553538597,1.71337690991812,1.68799065532315,1.7887025530128,1.83615656664921,1.73721009099843,1.73189122936231,1.47223459002303,1.62741643256439,1.576460804438,1.53702807586718,1.46680026896719,1.22901805508793,1.34977942690768,1.38560301165272,1.50127312531274,1.55057411218881,1.2746707863916,1.41624319077119,1.18907742282994,1.50114039568176,1.36784416910754,1.23631437422247,1.01884662737297,1.29445440292986,1.1179939776437,1.27486977978378,1.22373911950149,1.30682430419254,1.18525831027567,1.12310162962169,1.21591923430444,0.809921095899147,1.01455692852437,0.673748278295388,0.87311863288557,0.761572445111657,0.96198951751005,0.852729354443308,0.744840296814357,0.925192478400067,0.8543900497944,0.611687557047941,0.801179388540927,0.74141641495219,0.744521770660548,0.747023830361544,0.759075205470409,0.746892673934191,0.660650185378312,0.652955195828303,0.751898234056747,0.466483442172661,0.580497933347313,0.486957998485937,0.53019899729543,0.464828608297338,0.53987320835034,0.390716511941027
"Rnf220",0.345270690251497,0.443071265387201,0.240988050167541,0.38256206217094,0.38550663806235,0.472150035632343,0.417219421198937,0.528300404169984,0.375370010359646,0.397256728793493,0.431520378897287,0.558793433202336,0.304724179440681,0.360675343737093,0.385817201062314,0.474390339599585,0.469205459740933,0.373645188572472,0.45584190598135,0.425038313949035,0.43191408782149,0.417219421198937,0.480251278547909,0.516944022363044,0.689958881834692,0.625901775064459,0.782481016690374,0.508420857688779,0.608772299791689,0.712744376875681,0.863551540416387,0.628229924514195,0.651642260493987,0.861005373007436,0.742843696983829,0.850868745304732,1.0023801807696,0.841935352948329,0.864765579581747,0.931762562685135,0.850275832139299,0.906691282115922,0.825144513426628,1.05564366648295,0.846399608855321,0.985948780919981,1.04919970678344,1.21567386376556,0.901697844249447,1.22087747515009,1.07756288315349,1.23871716649009,1.28069218877094,1.14799339672832,1.23815844161824,1.21699158032632,1.29385275576743,1.21363216818125,1.17846069025031,1.44755299933769,1.29807441918295,1.10778315729168,1.31329713728378,1.45909868669065,1.3466948100169,1.35756184198552,1.31731845367754,1.36992843522136,1.34934883429917,1.71691714278671,1.68070031520051,1.61484381029117,1.64404937919603,1.72394738361014,1.55855444972791,1.90529737421873,1.66431597898442,2.02001298811355,1.91719471282796,1.04139849936481
