"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",1.555275,1.574075,1.5551,1.447575,1.72625,1.310925,1.532675,1.697675,1.52725,1.31235,1.3062,1.5058,1.368725,1.412875,1.250025,1.287,1.517125,1.187575,1.178575,1.00335,0.931375,0.9085,0.79385,0.76585,0.943525,0.9836,0.757625,0.913975,0.704325,0.6157,0.72435,0.6397,0.63355,0.683675,0.736775,0.616225,0.602425,0.81025,0.990075,0.642275,0.6299,0.578025641025641,0.623692307692308,0.680051282051282,0.619102564102564,0.497333333333333,0.594820512820513,0.652564102564103,0.794923076923077,0.628692307692308,0.765615384615385,0.681974358974359,0.723564102564103,0.644128205128205,0.685641025641026,0.587128205128205,0.630153846153846,0.714333333333333,0.712794871794872,0.608897435897436,0.751538461538461,0.633461538461538,0.573230769230769,0.600102564102564,0.622717948717949,0.748641025641026,0.623974358974359,0.640128205128205,0.729384615384615,0.616666666666667,0.691410256410256,0.644153846153846,0.584153846153846,0.459794871794872,0.678153846153846,0.515487179487179,0.722076923076923,0.562692307692308,0.461076923076923,0.531307692307692
"Cdk6",0.76115,0.8928,0.920425,0.7977,0.932775,0.858425,0.7953,0.898225,0.893,0.8818,0.872375,1.076625,0.905375,0.9579,0.84145,0.948525,0.981,0.962625,1.44985,1.20755,1.139875,1.275,1.386425,1.271475,1.46415,1.490525,1.458875,1.559675,1.383875,1.457075,1.545925,1.397475,1.8371,1.44375,1.549275,1.982775,1.4566,1.6764,1.5248,1.598225,1.747575,1.68746153846154,1.65187179487179,1.63117948717949,2.40141025641026,1.99835897435897,1.76694871794872,1.53658974358974,2.03571794871795,1.79492307692308,1.83679487179487,1.57741025641026,1.91602564102564,2.31764102564103,2.01148717948718,1.83464102564103,1.77615384615385,1.74264102564103,1.74097435897436,2.17823076923077,1.72333333333333,1.88846153846154,2.22038461538462,2.19984615384615,2.3334358974359,1.76610256410256,1.95664102564103,2.1124358974359,2.37002564102564,2.0391282051282,2.02284615384615,2.14864102564103,2.33748717948718,2.44584615384615,2.19151282051282,2.00941025641026,2.27330769230769,2.16297435897436,2.0058717948718,1.51961538461538
"Il1rapl2",0.42555,0.53755,0.597575,0.4404,0.521625,0.6136,0.5475,0.707775,0.599175,0.61445,0.55875,0.5582,0.597275,0.495725,0.48705,0.421575,0.502425,0.734675,0.615425,0.441975,0.495225,0.374225,0.3291,0.4107,0.43495,0.422,0.328725,0.481325,0.26875,0.259825,0.509625,0.3737,0.352725,0.341425,0.344525,0.3621,0.28165,0.293125,0.63905,0.376325,0.313475,0.315487179487179,0.398128205128205,0.333230769230769,0.310641025641026,0.291846153846154,0.325666666666667,0.259564102564103,0.316897435897436,0.356102564102564,0.290846153846154,0.357051282051282,0.344589743589744,0.389871794871795,0.354153846153846,0.228128205128205,0.283,0.225948717948718,0.311358974358974,0.246692307692308,0.293102564102564,0.160589743589744,0.246615384615385,0.232128205128205,0.283307692307692,0.296769230769231,0.241333333333333,0.175487179487179,0.202205128205128,0.273615384615385,0.165,0.303282051282051,0.296615384615385,0.26251282051282,0.206025641025641,0.240384615384615,0.348948717948718,0.218923076923077,0.240974358974359,0.241025641025641
"Gda",0.6341,0.601425,0.76855,0.78355,0.722375,0.583475,0.765975,0.761225,0.85415,0.541275,0.95815,0.489775,0.677675,0.5708,0.6003,0.6265,0.75745,0.79875,0.58855,0.550225,0.525,0.509575,0.338075,0.50515,0.529575,0.476025,0.5832,0.412375,0.3282,0.34835,0.354,0.418475,0.32125,0.4089,0.3806,0.3376,0.328325,0.232225,0.3005,0.298575,0.286925,0.271205128205128,0.295230769230769,0.29048717948718,0.280128205128205,0.36174358974359,0.301564102564103,0.394205128205128,0.311384615384615,0.227666666666667,0.288333333333333,0.238564102564103,0.228179487179487,0.240102564102564,0.212179487179487,0.206128205128205,0.270666666666667,0.247615384615385,0.239179487179487,0.225307692307692,0.25,0.219615384615385,0.138307692307692,0.185538461538462,0.260871794871795,0.211615384615385,0.290435897435897,0.157820512820513,0.177692307692308,0.204615384615385,0.199051282051282,0.267564102564103,0.186948717948718,0.18151282051282,0.170333333333333,0.156923076923077,0.153051282051282,0.187230769230769,0.143230769230769,0.128897435897436
"Trpc6",0.446275,0.47475,0.4495,0.428425,0.37705,0.5071,0.480575,0.52425,0.487625,0.436075,0.3568,0.40465,0.502725,0.52255,0.419075,0.66615,0.60325,0.510375,0.378,0.348425,0.561675,0.4707,0.378475,0.364025,0.483325,0.426275,0.37885,0.360125,0.254075,0.40145,0.365725,0.3976,0.3307,0.341125,0.426725,0.333675,0.335275,0.320725,0.47085,0.3851,0.318675,0.249410256410256,0.280820512820513,0.307230769230769,0.386282051282051,0.289512820512821,0.306153846153846,0.347512820512821,0.315538461538462,0.342512820512821,0.359948717948718,0.289948717948718,0.180205128205128,0.310282051282051,0.231512820512821,0.250794871794872,0.356820512820513,0.324102564102564,0.255615384615385,0.266923076923077,0.198076923076923,0.245128205128205,0.238641025641026,0.208871794871795,0.227923076923077,0.242897435897436,0.175358974358974,0.0921794871794872,0.251871794871795,0.308820512820513,0.134794871794872,0.222974358974359,0.142923076923077,0.217333333333333,0.130179487179487,0.127179487179487,0.263051282051282,0.240820512820513,0.179051282051282,0.123076923076923
"Cd34",0.24485,0.208475,0.2886,0.333625,0.285425,0.1881,0.391325,0.276575,0.3039,0.2072,0.2869,0.3203,0.264875,0.29895,0.437375,0.286075,0.2154,0.33215,0.33705,0.3134,0.261475,0.30515,0.34235,0.427025,0.335575,0.39245,0.343625,0.416125,0.374225,0.4079,0.450375,0.47155,0.580075,0.412075,0.67035,0.520075,0.6035,0.337875,0.58065,0.666225,0.630275,0.856820512820513,0.672512820512821,0.486769230769231,0.713871794871795,0.622717948717949,0.636871794871795,0.685179487179487,0.617897435897436,0.654641025641026,0.616461538461539,0.768230769230769,0.642564102564103,0.632179487179487,0.567948717948718,0.645564102564103,0.936820512820513,0.822641025641026,0.733974358974359,0.762128205128205,0.821333333333333,0.766794871794872,0.622692307692308,0.794384615384615,0.782384615384615,0.599230769230769,0.684717948717949,0.618205128205128,0.827307692307692,0.671051282051282,0.777076923076923,0.678333333333333,0.793564102564103,0.853051282051282,0.940871794871795,0.734564102564103,0.988871794871795,0.679717948717949,0.797666666666667,0.587333333333333
"Plcl1",1.3734,1.318825,1.14465,1.2912,1.36525,1.44525,1.21445,1.678625,1.4345,1.42785,1.314825,1.243475,1.3004,1.215625,1.363275,0.942625,1.204,1.18845,1.0391,0.972475,1.192675,1.0396,0.8592,0.8955,0.779925,0.7373,0.7366,0.84525,0.557325,0.6717,0.765225,0.706575,0.868675,0.737575,0.677,0.568775,0.623875,0.59355,0.67985,0.6492,0.758725,0.578128205128205,0.950076923076923,0.833128205128205,0.724948717948718,0.572641025641026,0.530923076923077,0.570846153846154,0.464717948717949,0.565179487179487,0.494,0.65374358974359,0.625076923076923,0.526846153846154,0.634794871794872,0.532128205128205,0.495051282051282,0.535564102564103,0.700435897435897,0.643179487179487,0.592153846153846,0.550717948717949,0.652769230769231,0.560589743589744,0.469102564102564,0.453538461538462,0.680076923076923,0.743102564102564,0.605948717948718,0.433076923076923,0.529666666666667,0.798384615384615,0.495871794871795,0.506230769230769,0.515307692307692,0.596128205128205,0.445512820512821,0.561589743589744,0.421692307692308,0.657538461538462
"Rora",2.447975,2.3075,2.440775,2.25145,2.814175,2.43025,2.74185,2.4331,2.5249,2.414925,2.520275,2.3306,2.365125,2.40335,2.38295,2.291825,2.43565,2.6577,2.214475,2.453125,2.290975,2.2465,1.90825,2.3303,2.338875,2.25895,1.94895,2.01245,2.312925,2.053575,2.09575,2.2496,2.218775,2.064175,2.2181,2.03955,2.3698,2.142075,2.281075,2.00055,2.326825,2.15335897435897,1.90741025641026,2.31053846153846,1.86125641025641,1.93605128205128,2.11923076923077,2.11187179487179,1.80894871794872,1.84017948717949,1.90710256410256,2.03425641025641,1.94794871794872,1.91369230769231,2.09628205128205,1.92410256410256,2.05933333333333,1.72484615384615,1.87017948717949,1.93633333333333,1.64774358974359,1.81561538461538,1.91428205128205,1.84292307692308,2.15610256410256,2.09846153846154,1.95358974358974,2.09448717948718,1.72782051282051,1.87994871794872,1.89258974358974,1.53171794871795,1.74135897435897,1.87176923076923,1.79228205128205,1.99610256410256,1.63248717948718,1.79730769230769,1.50233333333333,2.09192307692308
"Mecom",3.173825,3.2064,2.9691,3.262125,3.139325,2.9962,3.181925,2.925925,2.92065,2.921775,3.0814,2.952525,3.05235,2.9332,2.777025,2.760175,2.652925,2.903475,2.829525,2.892175,2.632025,2.782025,2.78055,2.747425,2.4362,2.489125,2.393325,2.704825,2.22675,2.348375,2.668425,2.384275,2.47925,2.203925,2.385075,1.928625,2.0448,2.42865,1.971925,2.341925,2.07295,2.20571794871795,2.06261538461538,2.07258974358974,1.86705128205128,2.15761538461538,1.8794358974359,2.01548717948718,2.0564358974359,2.20674358974359,2.17584615384615,2.09312820512821,2.05861538461538,1.9624358974359,2.0658717948718,2.09520512820513,2.13846153846154,2.02235897435897,1.98635897435897,1.90812820512821,1.69323076923077,1.782,1.66207692307692,1.82107692307692,2.03482051282051,1.65074358974359,1.65815384615385,1.86494871794872,1.78805128205128,1.81746153846154,1.68294871794872,1.52353846153846,1.64220512820513,1.47605128205128,1.59094871794872,1.56197435897436,1.50782051282051,1.29966666666667,1.34553846153846,1.11089743589744
"Rnf220",1.06525,1.320325,1.023075,1.013475,0.9742,1.415,1.24085,1.2398,1.1276,1.147425,1.47,1.25105,1.09215,1.124525,1.30435,1.11415,1.297925,1.306625,1.1509,1.2218,1.337575,1.085375,1.323325,1.338675,1.1924,1.365675,1.346225,1.22785,1.44405,1.3938,1.349975,1.337425,1.391775,1.3161,1.1295,1.3773,1.768,1.3457,1.480875,1.588925,1.616125,1.73515384615385,1.57879487179487,1.57341025641026,1.85361538461538,1.63371794871795,1.64071794871795,1.94887179487179,1.90507692307692,1.57928205128205,1.54733333333333,1.71392307692308,1.69425641025641,1.76992307692308,1.4355641025641,1.96235897435897,1.66858974358974,1.61233333333333,1.66297435897436,1.83938461538462,1.76874358974359,1.76653846153846,1.59115384615385,1.75474358974359,1.77453846153846,1.67566666666667,1.97735897435897,1.68669230769231,1.61623076923077,1.92407692307692,2.40492307692308,2.04746153846154,1.82612820512821,1.95807692307692,1.79205128205128,2.1095641025641,2.11725641025641,1.98610256410256,2.42697435897436,1.51271794871795
