"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",1.76967564684376,1.75555347688897,1.56987733863618,1.58471813770473,1.60553581839134,1.61524764540071,1.58666500257347,1.35734275102511,1.27486368345077,1.15001972285706,1.13696706014181,1.09000033987663,1.04666440025911,1.01707484739216,0.942959097849115,0.926782602006588,0.896685832788702,0.847331256247889,0.752980324686533,0.594077633169136,0.389360405058031,0.297532127629386,0.0693147180559945,0.155958115625988,0.232071176569073,0.0346573590279972,0.0794513457586986,0,0.0866433975699931,0.0794513457586986,0.0173286795139986,0.0447939867307014,0.0346573590279972,0.102358614055552,0.0794513457586986,0.0866433975699931,0.0794513457586986,0.0173286795139986,0,0.0346573590279972,0.0519860385419959,0.045942550493027,0.045942550493027,0.0710920185189687,0.0177730046297422,0.0533190138892265,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0177730046297422,0,0.0177730046297422,0,0,0.0177730046297422,0.0177730046297422,0.0177730046297422,0.0355460092594844,0.0177730046297422,0.0710920185189687,0.0177730046297422,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0710920185189687,0.0355460092594844,0.0177730046297422,0.0355460092594844,0,0.0533190138892265,0.0590406434101037,0.0177730046297422,0.0710920185189687,0.0992615643822536,0.045942550493027,0.0533190138892265,0.0992615643822536,0.0814885597525114
"Cdk6",0.417219421198937,0.411640832416082,0.617888377631387,0.451876780226935,0.384175525199379,0.526376378141581,0.564372021985191,0.534272701877043,0.491092178174781,0.534272701877043,0.496670766957636,0.498284229986075,0.68040475280029,0.524136074174339,0.702607749172977,0.688617354474591,0.801112596232848,0.811137865176817,0.568225788980873,0.839999304798992,1.04581451375847,1.22256136696993,1.04302280289205,1.05426837182857,1.32075565102984,1.21480749376234,1.27921680319051,1.27911115937065,1.21468316961621,1.42136305108734,1.560608913641,1.43346211915026,1.63581547601378,1.63460848437568,1.8246145271063,1.5230719982641,1.68452233142253,1.70087896185809,1.78430470168062,1.75687841111748,1.77411640914474,1.67999293170003,1.84235753815162,1.97828532518455,1.83601182679373,1.73872903851868,1.87433212299591,1.97786989222726,1.94463113456354,1.93196623078112,2.01367167808073,1.95200400304191,1.94143455722949,1.87639316779636,1.90867881739508,1.84171737250963,1.93619548136328,1.92301725862714,1.86442298977136,1.78206138479932,1.76196651633011,1.64834349879984,1.67696590342744,1.81337079166265,1.75607151987625,1.88351371096185,1.88038699218246,1.79250049656236,1.79326409336195,1.76501519043991,1.96386291495836,1.84427764114741,1.83623210460592,1.78021958050209,1.79461844766409,1.86208378431151,1.7601936157363,1.96888334547839,1.90814054891606,1.82132790288719
"Il1rapl2",1.3735048767777,1.24770893923403,1.45106396271303,1.23515562926285,1.23343296904401,1.31388189727778,1.36002351562939,1.10717830303363,1.07278677541317,1.03876236158478,1.05640160409874,1.12745727337791,1.05356838696606,1.10491517312639,1.1090919145649,1.08362136785798,1.01015904148553,0.842781483157178,0.852790233343214,0.852185156608913,0.645043121848125,0.566500967193699,0.278589985086948,0.370107699515629,0.448603514953823,0.270764988076047,0.200752102356689,0.197413817541076,0.14542777899908,0.13701597308355,0.0621226662447,0.141574012003399,0.106916652975401,0.0346573590279972,0.0866433975699931,0.189002011625546,0.0346573590279972,0.0519860385419959,0.114108704786696,0.0346573590279972,0.0722592939474041,0.15995704166768,0.0177730046297422,0.0637155551227692,0.0710920185189687,0.0177730046297422,0.0355460092594844,0.045942550493027,0.0355460092594844,0.0710920185189687,0.0533190138892265,0.106638027778453,0.0637155551227692,0.0355460092594844,0.0710920185189687,0.0637155551227692,0.1686987490259,0.0177730046297422,0.0177730046297422,0.0355460092594844,0.0177730046297422,0.0888650231487109,0.0533190138892265,0.0533190138892265,0.106638027778453,0.124411032408195,0.0177730046297422,0,0.0888650231487109,0.0590406434101037,0.0355460092594844,0.0710920185189687,0.0637155551227692,0.0637155551227692,0.0710920185189687,0.0918851009860541,0.0768136480398459,0.0854411412865436,0.0637155551227692,0.0590406434101037
"Gda",0.869723042364675,0.883397159124221,0.778322401633603,0.753102097942398,0.746697463979511,0.795422648691258,0.766455237204851,0.769089250096296,0.733411341205293,0.779818790964433,0.767674991309086,0.810151243087181,0.889996297770083,0.885748821850198,0.789362505501705,0.701698558068705,0.755015709473671,0.891159298160955,0.729163865285407,0.669563853173419,0.542684507792573,0.499615342849046,0.401221854547909,0.255682716790094,0.271397933275654,0.174617908002957,0.158902691517397,0.0794513457586986,0.148766063814693,0.134381960192104,0.141574012003399,0.0967800252726972,0.0621226662447,0.0173286795139986,0.0173286795139986,0.0794513457586986,0.0173286795139986,0.0346573590279972,0.0866433975699931,0.0173286795139986,0.0519860385419959,0,0.0355460092594844,0.0177730046297422,0.0177730046297422,0.0355460092594844,0.0355460092594844,0,0.0533190138892265,0.0533190138892265,0.0533190138892265,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0177730046297422,0,0.0710920185189687,0.0177730046297422,0.045942550493027,0.0888650231487109,0.0177730046297422,0.0355460092594844,0.0710920185189687,0.0177730046297422,0,0.0355460092594844,0.0533190138892265,0.0177730046297422,0.0814885597525114,0.0814885597525114,0.0281695458632849,0.0498951320270592,0.0637155551227692,0.0533190138892265,0.137827651479081,0.0533190138892265,0.0888650231487109,0.0355460092594844,0.0281695458632849
"Trpc6",0.741623942879593,0.635017852904156,0.993059183749803,0.83860317239352,0.655573458475033,0.621226662447,0.767674991309086,0.763821224313405,0.904064123453833,0.714469198662855,0.765434687341844,0.895968595477141,0.797064324554192,0.764841774176411,1.04658125433487,0.891216051874319,0.836596000440877,1.00249153952834,0.914123320171173,0.989925818114294,0.675142441956274,0.710820350847277,0.611406312683135,0.559702624306608,0.603897982933001,0.718012402658572,0.522833174145863,0.521502061282893,0.379928049279494,0.524136074174339,0.339381538468678,0.496670766957636,0.434265750547467,0.384175525199379,0.275645409195539,0.259930192709979,0.332189486657383,0.275955972195503,0.400201304684903,0.379928049279494,0.18342342284269,0.176075212422099,0.20891966999805,0.198523128764507,0.205899592160707,0.180750124134765,0.142184037037937,0.134807573641738,0.315557697776503,0.198523128764507,0.15258057827148,0.133152739766416,0.205899592160707,0.134807573641738,0.186471753655642,0.0710920185189687,0.237089215861335,0.134807573641738,0.214641299518927,0.180750124134765,0.254862220491077,0.162977119505023,0.191146665368308,0.162977119505023,0.127431110245538,0.0992615643822536,0.145204114875281,0.0637155551227692,0.0888650231487109,0.180750124134765,0.127431110245538,0.0533190138892265,0.117034569011996,0.244465679257534,0.170353582901222,0.204244758285384,0.191146665368308,0.342072409764465,0.388014960257493,0.170353582901222
"Cd34",0.103972077083992,0.114108704786696,0.0967800252726972,0.166094743328692,0.138629436111989,0.190615474653985,0.138629436111989,0.141574012003399,0.103972077083992,0.0519860385419959,0.12130075659799,0.103972077083992,0.0693147180559945,0.0519860385419959,0.169039319220101,0.0967800252726972,0.138629436111989,0.151710639706103,0.166094743328692,0.103972077083992,0.148766063814693,0.327942010737499,0.210888730059393,0.327631447737535,0.402835317576348,0.430300624793051,0.405779893467758,0.499304779849082,0.502249355740491,0.472150035632343,0.664096623149298,0.548967368499596,0.522522611145899,0.677887813606454,0.706256596988554,0.718716674582739,0.816716453959673,0.610779471744332,0.558399724278132,0.706966583851596,0.671288674960593,0.929975742748486,0.791101373461193,0.714697390921941,0.749515208527022,0.736098589456137,0.75077209985329,0.773009842677642,0.773009842677642,0.870616573184573,0.796390262716739,0.708247569746661,0.874972958743429,0.856477623935054,0.844101861196611,0.87050235907305,0.777804829977599,0.904507748568735,0.790782847307384,0.87633820270545,0.713246869088905,0.713969199267538,0.9165591236776,0.889959133818623,0.807947735870016,0.812508433471158,0.850466404500875,0.935697372269363,0.858565198075708,0.949295228617797,0.78808129562385,0.701917824158673,0.973830719100859,0.712314365392216,0.898063788869224,0.682057245388277,0.799206028511795,0.902016370403257,0.977578988592604,0.930300130378064
"Plcl1",1.36418743312844,1.42955590867754,1.2760184180125,1.33807251134416,1.28126831741365,1.18957422468374,1.42667635232863,1.35852569842134,1.23680302006466,1.09895489754027,1.16315445483837,1.25798546657434,1.24941596268384,1.21485954791744,1.2708359794409,1.12477852889404,1.21631874121834,1.1091569341074,1.38574546218058,1.13234044830892,0.858677223557699,0.752276052762366,0.610497121578863,0.499615342849046,0.64382336774389,0.44335361555267,0.4348586637129,0.353371933167063,0.258627292681504,0.371122534439761,0.238354037276096,0.319136495897765,0.283148024006797,0.347904703142943,0.216467318842248,0.235409461384686,0.210888730059393,0.24554608908739,0.228217409573392,0.155958115625988,0.218080781870688,0.26525876172462,0.124411032408195,0.109658105615796,0.0918851009860541,0.109658105615796,0.188126587530964,0.117034569011996,0.134807573641738,0.134807573641738,0.0888650231487109,0.204244758285384,0.170353582901222,0.142184037037937,0.0888650231487109,0.106638027778453,0.0814885597525114,0.0992615643822536,0.162977119505023,0.158302207792357,0.117034569011996,0.142184037037937,0.0355460092594844,0.045942550493027,0.205899592160707,0.134807573641738,0.180750124134765,0.0888650231487109,0.150925744396158,0.170353582901222,0.155600656108823,0.239790767544869,0.241445601420191,0.188126587530964,0.106638027778453,0.184702705668797,0.188126587530964,0.226692674627792,0.188126587530964,0.0888650231487109
"Rora",1.14201204036286,0.734320532309564,0.970356834633054,1.13809325382468,1.17365980395695,1.06370501466877,1.08426633517852,0.865869275368994,1.1346982152957,1.19735449010221,0.852909845030744,0.980915384094456,1.19920108514525,1.026025648764,1.0362707992212,1.01415848433524,1.10646361661233,1.06807426384452,0.939348323420633,1.02103997314657,1.11184770071221,0.899112375609781,0.71022172274297,0.731686519418119,0.79471837676709,0.733411341205292,0.528383550094224,0.697733432314289,0.268453357384244,0.425038313949034,0.475094611523752,0.32043939592624,0.3106133312235,0.379928049279494,0.193560050545394,0.339381538468678,0.317805383034794,0.223659370653543,0.330576023628944,0.223659370653543,0.228217409573392,0.262238683887276,0.170353582901222,0.219316211231593,0.235115855832203,0.188126587530964,0.178519063186313,0.106638027778453,0.158302207792357,0.162977119505023,0.145204114875281,0.158302207792357,0.177730046297422,0.0177730046297422,0.117034569011996,0.165997197342366,0.188126587530964,0.170353582901222,0.188126587530964,0.180750124134765,0.0945866526695881,0.0992615643822536,0.162977119505023,0.198523128764507,0.137827651479081,0.134807573641738,0.133152739766416,0.0637155551227692,0.120054646849339,0.0814885597525114,0.0637155551227692,0.211621221681584,0.104983193903131,0.0814885597525114,0.127431110245538,0.37900475803088,0.192079169064997,0.397046257529014,0.232414304148669,0.134807573641738
"Mecom",2.03172472128839,1.99944018489834,1.97125816246989,1.99043343702692,1.97081374624004,1.76993140187709,1.96428950058962,2.04250693172948,2.02843297861026,2.05750356405402,2.04198277122368,1.98424842380293,1.96429420014788,1.90587223295261,2.13046821144521,2.11656728393605,2.11387944801601,2.19131557846862,2.0865893457395,2.07930994737085,1.89249214753475,1.90046551293365,1.84003590227108,1.87643044333012,1.68289834429375,1.80773610730861,1.68506945126005,1.69718416414821,1.73233773278683,1.530403949713,1.70113632451523,1.62416196810892,1.34371967304006,1.45196743887843,1.36065464362985,1.58353231137386,1.2478384243745,1.17236261886735,1.22575720125768,1.13220410204186,1.12725235419781,1.01339599660463,1.07426389693836,0.805950259660125,0.903671204278579,0.935264632004031,0.947786497847979,0.942520620508396,0.814560810590993,0.745368996486222,0.671774918266257,0.901487670731392,0.807509134128914,0.679151381662456,0.932881606474306,0.77103648264851,0.824674022691546,0.723946857954422,0.998053544905881,0.873961038651495,0.758005076441692,0.809198765720513,0.787040439291408,0.874966697963117,0.983390716044246,0.791829565115595,0.864587099045405,0.650981835799171,0.965480086082475,0.78300844136213,0.718035994913093,0.766963426222643,1.05769018212701,0.961203116918864,0.889964995294392,0.686652740705696,0.918742657224787,1.04520606675282,1.16602410227738,0.787829456180298
"Rnf220",0.469205459740933,0.366453136761177,0.543816416414314,0.320749958926204,0.380948599142501,0.223659370653543,0.36979142157679,0.505193931631901,0.327631447737534,0.379928049279494,0.348215266142907,0.283148024006797,0.415494599411763,0.519888598254454,0.407082793496233,0.555848857310926,0.314860807143385,0.534272701877043,0.54370505765558,0.485436158406561,0.311633881086506,0.587279290282045,0.545629083683983,0.650733069389716,0.781665386007472,0.582526746679222,0.525156624037345,0.748732848766648,0.661667529437957,0.677177826743412,0.867604511653298,0.864532058245219,0.96701854981744,1.00410500255678,0.646374234711096,0.957961776581369,1.03651595335673,0.838580346453526,1.04049759786908,1.06932510971789,1.00508552038561,1.25739704660285,1.15112176435264,1.08269802713915,1.34896623773281,0.997325353251478,1.24839763832531,1.2585840060408,1.34407035855301,1.18066503195142,1.39642193975086,1.24179103250901,1.14986688189517,1.2321168214541,1.34089307237164,1.32737201612075,1.31030157493174,1.22553523642256,1.27162569447859,1.32491583497609,1.23496229624999,1.29456275556562,1.5214545228714,1.2785464056935,1.25436484650943,1.36335793102988,1.4731982366255,1.35723745435594,1.30536310082398,1.50084749774162,1.58694042988957,1.31690439119063,1.32386429710813,1.23422093860604,1.16657196125824,1.159070602215,1.02952063626373,1.05334591882424,1.34696580876944,1.64158887734574
"Dock10",0.50680739466034,0.411640832416082,0.43191408782149,0.477728624415198,0.462640248868442,0.505193931631901,0.475094611523753,0.668654662069147,0.635815685249693,0.335134062548793,0.518557485391483,0.626494688229891,0.530025225957158,0.644133930743854,0.60288314800887,0.674233250852002,0.511365433580189,0.793104913738651,0.58597639025357,0.697656001328924,0.644133930743854,0.662483160120859,0.764730415417677,0.845196596100507,0.830818207416793,0.735651645172535,0.963164782821759,0.995100283475815,0.898208899444384,1.02276479493375,0.926378478585254,0.839735081015261,0.896595436415945,1.0528641150419,1.06351622492467,1.14305071660761,0.990940653038426,0.991539281142733,1.25566201668285,1.12694179119784,1.00385374416044,1.13027378097561,1.0712331375655,1.08007080433026,0.93143694611704,1.13910558626459,1.20152844561137,1.24034637215175,1.15937583053558,1.08421701637106,0.960414100029973,1.20938517667416,1.15220367918167,1.13858756812824,1.08500603325995,1.23851911522812,1.3046030201756,1.16919614469599,1.28483840081174,1.22595619088758,1.10803017667549,1.33972801212129,1.27290710129016,1.24653263093194,1.1821422730318,1.37545739342546,1.33460863719176,1.38119410146817,1.37422144209679,1.40101301431307,1.42061327586644,1.38763806116768,1.34457243815997,1.42350845805674,1.25567374532866,1.47078731627128,1.42089218424422,1.46379606573915,1.30800382727303,1.47807850179647
"Sult1a1",0.744568518771003,0.502559918740455,0.668654662069147,0.600249135117424,0.675453004956238,0.651015419555184,0.618992073418633,0.551911944391005,0.548967368499596,0.477728624415198,0.506214481494907,0.36979142157679,0.44762930430705,0.397256728793493,0.330576023628944,0.467086929029556,0.36979142157679,0.378004023251091,0.270066820412683,0.251124677870246,0.332189486657383,0.221025357762097,0.179175946922806,0.166094743328692,0.138629436111989,0.0866433975699931,0.0447939867307014,0.0866433975699931,0.0693147180559945,0.0346573590279972,0.0173286795139986,0.0173286795139986,0.0866433975699931,0,0.0173286795139986,0.0866433975699931,0.0693147180559945,0.0621226662447,0.0519860385419959,0.114108704786696,0.0346573590279972,0.0177730046297422,0.0177730046297422,0.0355460092594844,0,0.0710920185189687,0.0177730046297422,0.0355460092594844,0.0177730046297422,0,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0177730046297422,0.0177730046297422,0.0533190138892265,0.0710920185189687,0.0888650231487109,0.0533190138892265,0,0,0.0177730046297422,0.0533190138892265,0,0.0355460092594844,0.0355460092594844,0.0355460092594844,0.0710920185189687,0.0533190138892265,0.0177730046297422,0.0355460092594844,0.0533190138892265,0.0355460092594844,0,0,0.0710920185189687,0.0355460092594844,0.0355460092594844,0.0177730046297422,0.0355460092594844
"Magi2",0.821585055879485,0.825239618633938,0.900837197396955,0.93762350163346,1.12731737374031,0.884916672409362,1.00167590884544,1.05781586288595,1.01616565628789,0.92630104759989,0.995693196641249,1.00340073063261,1.01922730587691,0.89655540438177,0.988700349071184,0.956283294010428,0.935805119424916,0.924718676340582,0.860806168766206,1.09222767845648,0.948019653561639,0.740321042851118,0.639575891824005,0.509441407551786,0.507716585764612,0.453207893089905,0.349518166171382,0.3727359974682,0.432934637684497,0.353483291925798,0.278589985086948,0.218080781870688,0.147152600786254,0.275645409195539,0.176231371031396,0.300476703520796,0.0866433975699931,0.148766063814693,0.176231371031396,0.12130075659799,0.0519860385419959,0.145204114875281,0.0533190138892265,0.170353582901222,0.106638027778453,0.0637155551227692,0.216296133394249,0.0888650231487109,0.11235965729933,0.0533190138892265,0.0945866526695881,0.106638027778453,0.106638027778453,0.0637155551227692,0.15258057827148,0.0710920185189687,0.0637155551227692,0.106638027778453,0.0694371846436464,0.0888650231487109,0.133152739766416,0.0281695458632849,0.109658105615796,0.127431110245538,0.180750124134765,0.170353582901222,0.0992615643822536,0.0814885597525114,0.0637155551227692,0.145204114875281,0.0710920185189687,0.0533190138892265,0.127431110245538,0.0992615643822536,0.0533190138892265,0.137827651479081,0.0814885597525114,0.170353582901222,0.0888650231487109,0.045942550493027
"Dlg2",0.670584403036425,0.699580027357327,0.470847135603868,0.55353112235832,0.744063451088065,0.704848053140219,0.773085467619844,0.682445852526303,0.614633238740013,0.688617354474591,0.801699405137476,0.689837108578827,0.838714531152254,0.716709502630097,0.895646213277499,0.730466765313883,0.70594603398859,0.918681359091021,0.836080518260809,0.747513094662412,0.653255723522426,0.521502061282893,0.579066688607744,0.496277058033432,0.56893006090504,0.424722036010196,0.434548100712936,0.342326114360088,0.324997434846089,0.345270690251497,0.202083215219659,0.176231371031396,0.235409461384686,0.228217409573392,0.218080781870688,0.268453357384244,0.158902691517397,0.131437384300694,0.176231371031396,0.18342342284269,0.0346573590279972,0.153627296079692,0.117034569011996,0.0992615643822536,0.0533190138892265,0.0992615643822536,0.0637155551227692,0.0177730046297422,0.0768136480398459,0.127431110245538,0.0533190138892265,0.0533190138892265,0.0710920185189687,0.0533190138892265,0.15258057827148,0.0177730046297422,0.0533190138892265,0.0533190138892265,0.134807573641738,0.0637155551227692,0.117034569011996,0.0814885597525114,0.122756198532873,0.0710920185189687,0.0888650231487109,0.0814885597525114,0.0281695458632849,0.0177730046297422,0.0637155551227692,0.0945866526695881,0.0918851009860541,0.0992615643822536,0.183770201972108,0.124411032408195,0.0888650231487109,0.180750124134765,0.24882206481639,0.204244758285384,0.162977119505023,0.0888650231487109
