"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",1.7756,1.89145,1.732625,1.8056,1.646025,1.563325,1.890775,1.7297,1.4335,1.326875,1.324925,1.149525,1.28885,1.240075,1.351075,1.13715,1.14505,1.0847,1.0244,0.889075,0.91105,0.91825,0.697225,0.7446,0.7505,0.77685,0.734075,0.651275,0.65605,0.571675,0.7274,0.5157,0.60685,0.71745,0.7312,0.657475,0.670825,0.512475,0.520125,0.588975,0.60095,0.688179487179487,0.627179487179487,0.663153846153846,0.685153846153846,0.649128205128205,0.711282051282051,0.621205128205128,0.783794871794872,0.543410256410256,0.677128205128205,0.534692307692308,0.649153846153846,0.737205128205128,0.555974358974359,0.759846153846154,0.670230769230769,0.710666666666667,0.854615384615385,0.676846153846154,0.593410256410256,0.508358974358974,0.52325641025641,0.655871794871795,0.677435897435897,0.680410256410256,0.560846153846154,0.615307692307692,0.616384615384615,0.842358974358974,0.588615384615385,0.688358974358974,0.621820512820513,0.737205128205128,0.658102564102564,0.722846153846154,1.00005128205128,0.878076923076923,0.839282051282051,0.640230769230769
"Cdk6",0.602,0.808475,0.8926,0.797725,0.72165,0.853975,0.769475,0.808625,0.865275,0.86195,0.732075,0.871,0.9468,1.059025,0.847075,1.268775,1.046575,1.0852,1.269775,1.157825,1.168175,1.2396,1.1929,1.270675,1.313275,1.2507,1.34175,1.459225,1.429175,1.360675,1.483475,1.567675,1.395125,1.7317,1.752675,1.526525,1.777175,1.48565,1.799275,1.989425,1.8113,2.23625641025641,1.82112820512821,1.98312820512821,1.93684615384615,1.63864102564103,2.33041025641026,1.66207692307692,1.94520512820513,1.985,1.90271794871795,2.23835897435897,2.27189743589744,2.09535897435897,1.70725641025641,2.17707692307692,2.25825641025641,2.05535897435897,1.9784358974359,1.99274358974359,2.16612820512821,2.48779487179487,2.06141025641026,2.18792307692308,1.68253846153846,2.04738461538462,1.98020512820513,1.98753846153846,2.15479487179487,1.94325641025641,2.02069230769231,2.00348717948718,2.10005128205128,2.00312820512821,1.74079487179487,2.05346153846154,1.64764102564103,1.89392307692308,1.85976923076923,1.81769230769231
"Il1rapl2",0.52675,0.620425,0.636925,0.445675,0.546375,0.60915,0.52855,0.569725,0.6197,0.6027,0.4732,0.746525,0.4448,0.51325,0.5183,0.478775,0.406725,0.481425,0.391175,0.544875,0.3852,0.456225,0.440325,0.24885,0.37775,0.46675,0.335025,0.373625,0.320075,0.2959,0.270575,0.295,0.378375,0.325925,0.291275,0.2317,0.2572,0.260975,0.351125,0.273925,0.421675,0.179333333333333,0.259769230769231,0.257282051282051,0.265538461538462,0.164692307692308,0.199948717948718,0.199051282051282,0.277641025641026,0.205692307692308,0.254794871794872,0.222179487179487,0.322,0.339666666666667,0.216769230769231,0.256948717948718,0.200820512820513,0.183641025641026,0.246435897435897,0.269179487179487,0.353282051282051,0.303358974358974,0.460769230769231,0.193358974358974,0.280666666666667,0.390820512820513,0.641153846153846,0.282461538461538,0.31151282051282,0.310025641025641,0.39425641025641,0.378384615384615,0.346025641025641,0.328205128205128,0.390948717948718,0.481897435897436,0.652897435897436,0.421435897435897,0.361307692307692,0.344230769230769
"Gda",0.587175,0.502,0.7914,0.70115,0.876175,0.8022,0.796925,0.7327,0.5468,0.72745,0.64605,0.718425,0.896275,0.577125,0.683275,0.710725,0.73735,0.618925,0.5421,0.633475,0.418975,0.5734,0.508,0.369025,0.424525,0.441925,0.3771,0.303375,0.3482,0.361575,0.435725,0.3467,0.2914,0.256925,0.364175,0.32665,0.19135,0.2769,0.31405,0.306975,0.31005,0.210974358974359,0.223333333333333,0.219589743589744,0.226794871794872,0.238589743589744,0.209461538461538,0.186897435897436,0.261641025641026,0.253717948717949,0.255230769230769,0.186974358974359,0.192179487179487,0.190871794871795,0.188384615384615,0.257794871794872,0.368153846153846,0.192179487179487,0.281769230769231,0.262358974358974,0.285384615384615,0.186435897435897,0.249,0.223871794871795,0.208205128205128,0.287,0.198461538461538,0.23025641025641,0.237769230769231,0.245641025641026,0.284794871794872,0.274410256410256,0.243717948717949,0.377794871794872,0.327076923076923,0.26751282051282,0.344794871794872,0.217512820512821,0.226615384615385,0.172820512820513
"Trpc6",0.4402,0.5474,0.430925,0.452175,0.561225,0.40895,0.5211,0.379625,0.532625,0.4227,0.5701,0.4232,0.331325,0.565125,0.594675,0.382,0.4244,0.46205,0.434775,0.5608,0.394225,0.597025,0.35575,0.412875,0.358125,0.411225,0.372475,0.37325,0.339625,0.372925,0.29825,0.375375,0.284275,0.527725,0.332325,0.323125,0.3692,0.24495,0.298775,0.307225,0.262825,0.272153846153846,0.305333333333333,0.326717948717949,0.27574358974359,0.214974358974359,0.311538461538462,0.286692307692308,0.218205128205128,0.317948717948718,0.274692307692308,0.209205128205128,0.235307692307692,0.311153846153846,0.227076923076923,0.211871794871795,0.213153846153846,0.276358974358974,0.25151282051282,0.235692307692308,0.281051282051282,0.246358974358974,0.346615384615385,0.205666666666667,0.181435897435897,0.235692307692308,0.231666666666667,0.274333333333333,0.26974358974359,0.232307692307692,0.313564102564103,0.341820512820513,0.210897435897436,0.273897435897436,0.204564102564103,0.290410256410256,0.225358974358974,0.285615384615385,0.220410256410256,0.156923076923077
"Cd34",0.23965,0.322975,0.25255,0.3166,0.22685,0.251575,0.247475,0.226775,0.27235,0.384125,0.296325,0.2672,0.265275,0.25715,0.275875,0.2875,0.182725,0.34725,0.300625,0.26085,0.31055,0.2584,0.293775,0.358625,0.3572,0.4124,0.364025,0.53865,0.468275,0.449975,0.5423,0.6638,0.384325,0.615075,0.70775,0.70355,0.5787,0.754025,0.609375,0.705675,0.664475,0.685692307692308,0.526846153846154,0.689333333333333,0.679051282051282,0.819641025641026,0.595794871794872,0.721102564102564,0.748589743589744,0.707076923076923,0.679923076923077,0.635769230769231,0.679820512820513,0.691282051282051,0.675076923076923,0.856615384615385,0.75774358974359,0.592384615384615,0.938410256410256,0.768051282051282,0.523179487179487,0.660641025641026,0.847615384615385,0.847974358974359,0.568846153846154,0.72674358974359,0.61874358974359,0.73625641025641,0.931,0.751128205128205,0.742666666666667,0.647641025641026,0.628717948717949,0.551128205128205,0.613076923076923,0.670282051282051,0.611282051282051,0.611666666666667,0.713282051282051,0.749333333333333
"Plcl1",1.3563,1.4271,1.2051,1.651025,1.518675,1.4321,1.256175,1.3723,1.18805,1.295825,1.217025,1.245475,1.331175,1.27455,1.19355,1.237625,1.0258,1.014425,1.3073,1.151425,0.95715,0.876625,0.812375,0.805225,0.774375,0.771475,0.72315,0.72695,0.693725,0.66465,0.76385,0.69885,0.51525,0.5542,0.534925,0.520675,0.64,0.700925,0.664825,0.52625,0.533675,0.549025641025641,0.581461538461538,0.558230769230769,0.695897435897436,0.534307692307692,0.629384615384615,0.641692307692308,0.610589743589744,0.568974358974359,0.721769230769231,0.616487179487179,0.641897435897436,0.547051282051282,0.487666666666667,0.560923076923077,0.62774358974359,0.449435897435897,0.65,0.711333333333333,0.518333333333333,0.628333333333333,0.778846153846154,0.569769230769231,0.538769230769231,0.669102564102564,0.543564102564102,0.579897435897436,0.693435897435897,0.604410256410256,0.663333333333333,0.730205128205128,0.605205128205128,0.707923076923077,0.726,0.666589743589744,0.58348717948718,0.738358974358974,0.746025641025641,0.519538461538462
"Rora",2.2011,2.4678,2.190375,2.472475,2.6964,2.3669,2.5462,2.4289,2.58505,2.541725,2.7147,2.411075,2.378675,2.157375,2.2785,2.396825,2.3336,2.335125,2.4514,2.277375,2.097175,2.035575,2.1522,2.130725,2.032925,2.217875,1.952425,2.305325,2.2143,1.98575,2.39915,2.10965,1.787975,2.28545,1.986125,2.285,1.877875,2.051375,1.865475,1.74665,1.965775,1.94646153846154,1.89323076923077,2.20346153846154,1.82387179487179,1.77528205128205,1.8775641025641,1.9035641025641,2.10535897435897,2.18148717948718,1.76166666666667,1.57453846153846,1.93823076923077,2.04310256410256,1.92705128205128,1.89241025641026,1.99094871794872,2.07802564102564,2.03464102564103,1.92292307692308,2.04448717948718,1.91838461538462,1.65530769230769,1.74961538461538,1.78276923076923,1.95530769230769,2.2785641025641,1.84928205128205,2.07866666666667,2.39897435897436,2.07061538461538,2.04053846153846,2.21094871794872,2.24979487179487,2.19812820512821,2.06584615384615,2.02707692307692,2.02515384615385,2.12861538461538,1.76869230769231
"Mecom",3.13845,2.952525,2.905175,2.98895,3.18345,3.225775,2.8743,2.898475,3.151675,3.3423,3.0029,2.9404,2.908825,2.975375,2.998775,2.86615,2.935125,2.8817,2.98165,2.686025,2.959375,2.834375,3.225475,2.64775,2.514175,2.234925,2.53275,2.441575,2.5714,2.316725,2.4324,2.235475,2.370075,2.1283,2.26365,2.205525,2.35645,2.4061,1.9465,2.030475,1.861725,1.72420512820513,2.09594871794872,2.19187179487179,1.94482051282051,2.09553846153846,1.84246153846154,1.98810256410256,2.01428205128205,1.83412820512821,1.96651282051282,1.66484615384615,1.86202564102564,1.96451282051282,1.86297435897436,1.88723076923077,1.88464102564103,1.76902564102564,1.83392307692308,1.75292307692308,1.9745641025641,1.58425641025641,1.77407692307692,1.696,1.67971794871795,1.78125641025641,1.61810256410256,1.49223076923077,1.67992307692308,1.71058974358974,1.55492307692308,1.71353846153846,1.71671794871795,1.95133333333333,1.63566666666667,1.72374358974359,1.70171794871795,2.22010256410256,2.05651282051282,1.71907692307692
"Rnf220",1.242575,1.192275,1.104,1.1282,1.217425,1.225375,1.11465,1.2703,1.01945,1.03705,1.217675,1.07995,1.27165,1.103325,1.193675,1.284525,1.176525,1.185675,1.335,1.356525,1.15725,1.148525,1.11065,1.4777,1.199075,1.105875,1.34815,1.365275,1.456175,1.4259,1.385675,1.67155,1.586075,1.6206,1.3082,1.634625,1.421575,1.54045,1.55015,1.71115,2.0971,1.70751282051282,1.62435897435897,1.54528205128205,1.68879487179487,1.63264102564103,1.75712820512821,1.77107692307692,1.62664102564103,1.61312820512821,1.93689743589744,2.00782051282051,1.69617948717949,1.95641025641026,1.63035897435897,1.59958974358974,1.88166666666667,1.89305128205128,1.82420512820513,1.79264102564103,1.88138461538462,1.75689743589744,1.97153846153846,1.64969230769231,1.58689743589744,1.49138461538462,1.77015384615385,2.03169230769231,1.92217948717949,1.787,1.9085641025641,1.80741025641026,1.80484615384615,1.9164358974359,1.91630769230769,1.40082051282051,1.51312820512821,1.55364102564103,1.78205128205128,1.97802564102564
