"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",1.1877588429676,0.875252009745213,1.00939741984276,1.02627200548507,0.897808261632829,0.478892276574035,0.963202931057885,0.944889302141523,0.950348572705669,0.474802428354945,0.596246254852445,0.774454903225118,0.793114974300139,0.554479883300523,0.610172659190178,0.454367487952956,0.346328068396956,0.427036676673722,0.216078839112,0.178014980966178,0.258723589242944,0.293981424730611,0.108039419556,0.108039419556,0.216078839112,0.185942005174611,0.120547335749556,0.0602736678747778,0.138176253493389,0.120547335749556,0,0.160386063222345,0.108039419556,0,0.0904105018121667,0.125668337299833,0.108039419556,0.0301368339373889,0.0904105018121667,0.0301368339373889,0,0.0301368339373889,0.0301368339373889,0,0.0602736678747778,0.0779025856186111,0,0.0602736678747778,0,0.120547335749556,0.0301368339373889,0.120547335749556,0,0.0301368339373889,0.0301368339373889,0,0,0.0779025856186111,0.0301368339373889,0,0.0602736678747778,0.0301368339373889,0.120547335749556,0.0301368339373889,0,0.0301368339373889,0,0.0602736678747778,0.0301368339373889,0,0.0301368339373889,0.031506690025452,0.031506690025452,0.031506690025452,0.0630133800509041,0,0.031506690025452,0,0,0.031506690025452
"Cdk6",0.419649762030444,0.587962849461222,0.198449921368167,0.168313087430778,0.288860423180333,0.600470765654778,0.510060263842611,0.376464902334345,0.4970122380839,0.592543741446345,0.371884010349222,0.529270383506917,0.376464902334345,0.70447934181494,0.484504321890345,0.618099683398611,0.629576446260979,0.477117407247067,0.690196556294417,0.758050806218968,0.786962819418674,0.727913972281578,0.840880725981361,0.71009138713125,0.572108801044356,1.06810799796599,0.915437179376662,0.998817147728341,1.02647628899731,1.28574992682954,0.974669754896122,0.941186788735423,0.997370608391111,1.16130641026739,1.09167729101587,1.07655701957066,1.40397234466285,1.36911995615709,1.06386537499474,1.15004142698044,1.20361289138447,1.35985947007665,1.42411984772943,1.33686181073407,1.32558865430233,1.09646996257641,1.54457665451358,1.41714338691091,1.39925679009448,1.12974114916169,1.15683859574749,1.39925679009448,1.37371896031114,1.1491449362325,1.18617764104713,1.27939416551745,0.971670064831472,1.24994204275259,1.35710308372957,0.940993121328928,1.15974332051584,1.32715991719867,1.17244490411589,1.51612966363099,1.49894215334211,1.14176796061335,1.54481995823115,1.4434827421459,1.35651333785334,1.4329433626858,1.515674580338,1.40828450930985,1.41725473015042,1.23881431214169,1.41728768720813,1.14279234173801,1.2378770718143,1.33110625668512,1.30735157639765,1.13028054389922
"Il1rapl2",0.627801576934011,0.612978681848333,0.719986948073146,0.544777989765123,0.469190383038634,0.567527909059233,0.580035825252789,0.510060263842611,0.513416335090051,0.607172969125528,0.904154083920789,0.413303939742484,0.474802428354945,0.3338201522034,0.402020844286611,0.228586755305556,0.340522355674151,0.198449921368167,0.180821003624333,0.290635292507301,0.178014980966178,0.233707756855833,0.108039419556,0.308264210251134,0.313191544394917,0.120547335749556,0.108039419556,0.168313087430778,0,0.160386063222345,0.120547335749556,0.120547335749556,0.0779025856186111,0.0301368339373889,0.0602736678747778,0.0477657516812222,0.0602736678747778,0.0301368339373889,0.0301368339373889,0.0602736678747778,0.0301368339373889,0.0301368339373889,0.0602736678747778,0.0301368339373889,0.0477657516812222,0.0301368339373889,0,0.0904105018121667,0,0.0301368339373889,0,0,0.0301368339373889,0.0904105018121667,0.0301368339373889,0.0301368339373889,0,0.0602736678747778,0.0301368339373889,0.0301368339373889,0.0602736678747778,0.0602736678747778,0.0301368339373889,0,0,0.0301368339373889,0.0301368339373889,0.0301368339373889,0.0602736678747778,0,0,0.0630133800509041,0.031506690025452,0,0,0,0.031506690025452,0.031506690025452,0,0
"Gda",0.631842359353979,0.740421888475134,0.552705013973556,0.336626174861556,0.396899842736333,0.366763008798945,0.2712315054365,0.510060263842611,0.522568180036167,0.486625633375972,0.54019709778,0.280933398971901,0.331505173311278,0.301368339373889,0.381585903884622,0.198449921368167,0.306489340924167,0.288860423180333,0.281473508537055,0.168313087430778,0.180821003624333,0.286054400522178,0.168313087430778,0.293981424730611,0.216078839112,0.241094671499111,0.198449921368167,0.0602736678747778,0.150684169686945,0.0602736678747778,0.0779025856186111,0.168313087430778,0.150684169686945,0.108039419556,0.180821003624333,0.120547335749556,0.198449921368167,0.0301368339373889,0.0602736678747778,0.0301368339373889,0.180821003624333,0.120547335749556,0.0602736678747778,0.0602736678747778,0.0779025856186111,0.0301368339373889,0.0301368339373889,0.0602736678747778,0.120547335749556,0.108039419556,0.0301368339373889,0.0904105018121667,0,0,0.0301368339373889,0.0301368339373889,0.0779025856186111,0.0602736678747778,0.0904105018121667,0.0301368339373889,0,0,0,0.0301368339373889,0.0301368339373889,0.0602736678747778,0.0904105018121667,0,0.0301368339373889,0,0.0301368339373889,0.0630133800509041,0,0.0814436122376389,0,0.031506690025452,0,0.031506690025452,0,0
"Trpc6",0.687535135243635,0.535076096229722,0.665325325514678,0.810397449885313,0.592543741446345,0.581810694579757,0.557826015523833,0.587422739896067,0.501593130069024,0.587422739896067,0.648236517336,0.54019709778,0.599930656089623,0.306489340924167,0.695462159452067,0.471996405696789,0.444665594417556,0.462294512161389,0.228586755305556,0.467415513711667,0.288860423180333,0.384391926542778,0.2712315054365,0.504939262292334,0.4873103445485,0.301368339373889,0.384391926542778,0.368537878125912,0.258723589242945,0.180821003624333,0.341747176411833,0.198449921368167,0.233707756855833,0.0779025856186111,0.2712315054365,0.2712315054365,0.203570922918444,0.150684169686945,0.288860423180333,0.108039419556,0.258723589242945,0.311610342474444,0.138176253493389,0.0602736678747778,0.150684169686945,0.138176253493389,0.108039419556,0.150684169686945,0.150684169686945,0.263844590793222,0.349134091055111,0.0955315033624443,0.168313087430778,0.0904105018121667,0.228586755305556,0.2712315054365,0,0.150684169686945,0.0301368339373889,0.258723589242945,0.0904105018121667,0.0904105018121667,0.0904105018121667,0.0904105018121667,0.120547335749556,0.0904105018121667,0.120547335749556,0.120547335749556,0.0301368339373889,0.0904105018121667,0.0602736678747778,0.112950302263091,0.031506690025452,0.0630133800509041,0.0814436122376389,0.144456992288543,0,0.031506690025452,0,0.0630133800509041
"Cd34",0.0904105018121667,0.228586755305556,0.0602736678747778,0.0602736678747778,0.0301368339373889,0.198449921368167,0.180821003624333,0.150684169686945,0.0904105018121667,0.180821003624333,0.228586755305556,0.180821003624333,0.0602736678747778,0.138176253493389,0.180821003624333,0.185942005174611,0.228586755305556,0.0904105018121667,0.398674712063301,0.246215673049389,0.246215673049389,0.414528760480167,0.384391926542778,0.356029961932356,0.198449921368167,0.419649762030444,0.298562316715734,0.54019709778,0.371884010349222,0.432157678224,0.630607599592167,0.341747176411833,0.529270383506917,0.349134091055111,0.366763008798945,0.700583161002345,0.396899842736333,0.396899842736333,0.436738570209123,0.449246486402678,0.625486598041889,0.457173510611111,0.461754402596234,0.610172659190178,0.618099683398611,0.432157678224,0.637994514235445,0.724914282216928,0.462294512161389,0.502133239634178,0.677833241708234,0.624261777304207,0.519762157378011,0.7130910771959,0.700583161002345,0.502133239634178,0.637503470469412,0.673252349723111,0.773904854635833,0.69777713834419,0.804041688573222,0.788187640156356,0.675567328615233,0.687535135243635,0.689656446729262,0.6579384108714,0.821130496751901,0.745542890025412,0.765437720862246,0.871211227325245,0.891646167727233,0.963682229013014,0.706274934461381,0.782364772351002,0.70385472925598,0.632554005714441,0.879102577162332,0.826947920215171,0.785298341493619,0.551110393476803
"Plcl1",0.884075524701591,0.316191234459567,0.713091077195901,0.610172659190178,0.396899842736333,0.469681426804667,0.427036676673722,0.521343359298484,0.522568180036167,0.517447178485889,0.511835133169579,0.622680575383733,0.366763008798945,0.479383320340067,0.474802428354944,0.250796565034512,0.276352506986778,0.499818260742056,0.150684169686945,0.384391926542778,0.303683318266012,0.324118258668,0.0301368339373889,0.210957837561722,0.216078839112,0.198449921368167,0.120547335749556,0.168313087430778,0.168313087430778,0.108039419556,0.0301368339373889,0.0301368339373889,0.316191234459567,0.150684169686945,0.0904105018121667,0.180821003624333,0.120547335749556,0,0.0602736678747778,0.0904105018121667,0.0477657516812222,0.0602736678747778,0.0779025856186111,0.246215673049389,0.0904105018121667,0.0477657516812222,0.120547335749556,0.155805171237222,0.0301368339373889,0.0602736678747778,0.138176253493389,0.108039419556,0.0602736678747778,0.0301368339373889,0.0779025856186111,0.0602736678747778,0.0779025856186111,0.0301368339373889,0,0.0602736678747778,0.120547335749556,0,0.0904105018121667,0.0904105018121667,0.0301368339373889,0.0301368339373889,0.0904105018121667,0.0904105018121667,0.0301368339373889,0.120547335749556,0,0.031506690025452,0.0814436122376389,0.0630133800509041,0.0630133800509041,0,0.0630133800509041,0.0945200700763561,0.0630133800509041,0.031506690025452
"Rora",0.647011696598317,0.751704983931007,0.489085213875468,0.715212388681528,0.743768020698444,0.444665594417556,0.414528760480166,0.436738570209123,0.612978681848333,0.712406366023373,0.577229802594634,0.396899842736333,0.358835984590512,0.535076096229722,0.43885988169475,0.286054400522178,0.346328068396956,0.468650273473479,0.263844590793222,0.52714907202129,0.396899842736333,0.228586755305556,0.180821003624333,0.306489340924167,0.4418595717594,0.263844590793222,0.474802428354945,0.286054400522178,0.138176253493389,0.198449921368167,0.354255092605389,0.216078839112,0.396899842736333,0.216078839112,0.210957837561722,0.150684169686945,0.311610342474444,0.0301368339373889,0.150684169686945,0.180821003624333,0.150684169686945,0.150684169686945,0.228586755305556,0.173434088981055,0.155805171237222,0.0779025856186111,0.0602736678747778,0.0779025856186111,0.0301368339373889,0.108039419556,0.0904105018121667,0.258723589242945,0.0301368339373889,0.138176253493389,0.0301368339373889,0.168313087430778,0.0301368339373889,0.0779025856186111,0.150684169686945,0.0904105018121667,0.100112395347567,0.0904105018121667,0.0904105018121667,0.0602736678747778,0.0602736678747778,0.168313087430778,0.120547335749556,0.0301368339373889,0.120547335749556,0.0779025856186111,0.120547335749556,0.031506690025452,0.0630133800509041,0.031506690025452,0,0.0630133800509041,0,0,0,0.031506690025452
"Mecom",1.46667406889496,1.2749578751397,1.33741185932336,1.31765169106977,1.24236146070282,1.16342772175302,1.14456404424737,1.27563197020648,1.37471321222286,1.20706392792821,1.27024232057134,1.33263729993174,1.02928231165547,1.0111623501456,1.30794979753437,1.1059600765364,1.16977354404098,1.22971888192602,0.85535717890838,1.06843632795573,1.0076225505158,1.21016232010305,1.01377470539726,1.12693512650354,1.20941860410727,0.587422739896067,1.04288038600346,0.800501888943417,0.795574554799635,0.730719994939734,0.943452701828423,1.13432204114682,1.05750961368265,0.744124401881234,1.07124235061388,0.861509333789845,0.702358030329312,0.828517411395179,0.793114974300138,0.803501579008067,0.600470765654778,0.823445475644023,0.43885988169475,0.562947017074111,0.735840996490011,0.592543741446345,0.8188645836589,0.830832390287301,0.673252349723111,0.722792970731301,0.958622039072762,0.635728601142444,0.581617027173262,0.761396938442277,0.481504631825695,0.680688330165511,0.504939262292334,0.539656988214845,0.669221506327273,0.500908418896496,0.736737487237956,0.539512386607472,0.63518849157729,0.587422739896067,0.462294512161389,0.416303629807134,0.384391926542778,0.454367487952956,0.341207066846678,0.572108801044356,0.419649762030444,0.470231441239098,0.483307899077816,0.427301368109969,0.238977062364899,0.401864286840177,0.181317456662012,0.288913984577086,0.294267758925103,0.189040140152712
"Rnf220",0.0602736678747778,0.120547335749556,0.210957837561722,0.276352506986778,0.168313087430778,0.160386063222345,0.0602736678747778,0.0602736678747778,0.258723589242945,0.414528760480167,0.138176253493389,0.288860423180333,0.331505173311278,0.288860423180333,0.108039419556,0.130249229284956,0.346328068396956,0.276352506986778,0.366763008798945,0.263844590793222,0.622680575383734,0.346328068396956,0.168313087430778,0.293981424730611,0.31107023290929,0.31107023290929,0.381585903884623,0.444665594417556,0.542512076672122,0.3338201522034,0.529464050913412,0.567527909059233,0.565212930167111,0.679954553193861,0.381585903884623,0.777260925883273,0.316191234459567,0.538972277042317,0.652817409321123,0.622680575383734,0.605591767205055,0.667446637000306,0.559407217444306,0.619334443160424,0.544777989765123,0.802816867835539,0.718212078746178,0.709060233800063,0.723333080296455,0.774261235818623,0.399214821628456,0.619874552725579,0.785187950091706,0.63518849157729,0.685760265916667,0.722792970731301,0.637309803062917,0.942227881090741,1.02914764907223,0.906825443995701,0.821670606317055,0.709307973848525,1.01644606547217,0.983637871459873,1.03329156993328,0.797349424126602,1.1563872492684,0.871211227325245,1.20025682013703,1.08676806904101,0.785187950091706,1.10520565215894,0.951694185909402,1.21394189087184,1.19217314860163,1.02541511465634,1.33976618050322,1.05436081586664,1.4243458323539,0.86686017108126
