"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",1.58073913043478,1.51108695652174,1.66004347826087,1.49565217391304,1.90047826086957,1.66686956521739,1.97569565217391,1.701,1.61973913043478,1.51226086956522,1.54386956521739,1.50078260869565,1.49230434782609,1.26865217391304,1.2815652173913,1.2795652173913,1.29573913043478,1.18839130434783,1.01726086956522,1.20734782608696,1.07186956521739,0.852565217391304,0.741739130434783,1.09291304347826,1.19413043478261,0.782608695652174,1.18213043478261,0.984347826086957,0.881913043478261,0.825869565217391,0.842173913043478,0.985826086956522,0.642608695652174,0.883260869565217,0.831695652173913,0.753565217391304,0.711130434782609,0.747391304347826,0.818521739130435,0.767130434782609,0.845652173913043,0.715391304347826,0.668913043478261,0.641173913043478,1.02660869565217,0.710391304347826,0.602,0.779608695652174,0.780826086956522,0.727739130434783,0.632652173913044,0.712782608695652,0.773217391304348,0.607869565217391,0.679782608695652,1.08969565217391,0.570608695652174,0.697608695652174,0.771782608695652,0.552434782608696,0.721913043478261,0.694869565217391,0.552869565217391,0.581,0.534782608695652,0.761086956521739,0.622,0.728,0.825,0.651,0.779652173913043,0.6005,0.669954545454545,0.799363636363636,0.5885,0.668818181818182,0.602454545454545,0.479636363636364,0.475045454545455,0.714727272727273
"Cdk6",0.844565217391304,0.915,0.948869565217391,0.732173913043478,0.814173913043478,0.932869565217391,1.1265652173913,1.09973913043478,1.08173913043478,1.164,0.792608695652174,1.04995652173913,1.21430434782609,1.29234782608696,1.25539130434783,1.35134782608696,1.26417391304348,1.12717391304348,1.34430434782609,1.2985652173913,1.29334782608696,1.34673913043478,1.42973913043478,1.17604347826087,1.07,1.69217391304348,1.38739130434783,1.80134782608696,1.78865217391304,1.74265217391304,1.5064347826087,1.45865217391304,1.6835652173913,2.06182608695652,1.69882608695652,1.69047826086957,2.07091304347826,2.10095652173913,1.94917391304348,1.76608695652174,1.5134347826087,1.51717391304348,2.36208695652174,2.02252173913043,1.9735652173913,1.73026086956522,2.31778260869565,2.20982608695652,1.86013043478261,1.85273913043478,2.25847826086957,2.2684347826087,1.93965217391304,2.10452173913043,2.23386956521739,2.69826086956522,2.05317391304348,2.1305652173913,1.98278260869565,1.85413043478261,2.03747826086957,2.19421739130435,2.07552173913043,2.15073913043478,2.35526086956522,1.76682608695652,2.47452173913043,1.79734782608696,2.2234347826087,1.59886956521739,2.43808695652174,2.87731818181818,2.72686363636364,2.25081818181818,2.343,2.49454545454545,2.19872727272727,2.25059090909091,2.2435,2.00236363636364
"Il1rapl2",0.557695652173913,0.76604347826087,0.425217391304348,0.546391304347826,0.422086956521739,0.350086956521739,0.508217391304348,0.453217391304348,0.608086956521739,0.485478260869565,0.514391304347826,0.350782608695652,0.472,0.477478260869565,0.442652173913043,0.527,0.477826086956522,0.599739130434783,0.457869565217391,0.524086956521739,0.409608695652174,0.454782608695652,0.344086956521739,0.410173913043478,0.43895652173913,0.493652173913043,0.431608695652174,0.393347826086957,0.396913043478261,0.356347826086957,0.491391304347826,0.31,0.609217391304348,0.398,0.411260869565217,0.340608695652174,0.28895652173913,0.311695652173913,0.461782608695652,0.466782608695652,0.338565217391304,0.271913043478261,0.343869565217391,0.532695652173913,0.382130434782609,0.360304347826087,0.355217391304348,0.311478260869565,0.447608695652174,0.320086956521739,0.447,0.33795652173913,0.344130434782609,0.268782608695652,0.380434782608696,0.491173913043478,0.289304347826087,0.230782608695652,0.329130434782609,0.265217391304348,0.231304347826087,0.180739130434783,0.347739130434783,0.318521739130435,0.221217391304348,0.31804347826087,0.237826086956522,0.23995652173913,0.480478260869565,0.368391304347826,0.260260869565217,0.213272727272727,0.249818181818182,0.358772727272727,0.311681818181818,0.290954545454545,0.356954545454545,0.257863636363636,0.259409090909091,0.300681818181818
"Gda",0.85304347826087,0.744565217391304,0.816565217391304,0.711608695652174,0.854434782608696,0.798739130434783,0.824913043478261,0.844434782608696,0.528347826086957,0.824391304347826,0.783652173913044,0.641304347826087,0.749260869565217,0.771,0.748130434782609,0.586695652173913,0.463739130434783,0.673652173913043,0.663782608695652,0.740913043478261,0.502869565217391,0.523782608695652,0.358434782608696,0.68695652173913,0.504521739130435,0.436565217391304,0.46995652173913,0.455739130434783,0.420260869565217,0.525260869565217,0.55504347826087,0.623304347826087,0.41704347826087,0.425130434782609,0.391739130434783,0.488173913043478,0.479739130434783,0.271869565217391,0.42395652173913,0.308695652173913,0.454086956521739,0.366608695652174,0.377130434782609,0.319,0.403304347826087,0.287391304347826,0.345608695652174,0.322304347826087,0.467217391304348,0.450434782608696,0.325652173913043,0.361695652173913,0.246608695652174,0.331608695652174,0.282652173913043,0.40695652173913,0.286347826086957,0.332739130434783,0.433695652173913,0.174695652173913,0.159565217391304,0.190130434782609,0.268173913043478,0.189695652173913,0.307130434782609,0.229695652173913,0.351826086956522,0.307086956521739,0.314565217391304,0.240869565217391,0.336130434782609,0.367090909090909,0.263863636363636,0.240863636363636,0.291409090909091,0.314545454545455,0.105863636363636,0.219227272727273,0.2075,0.154363636363636
"Trpc6",0.499478260869565,0.576260869565217,0.614782608695652,0.472478260869565,0.430478260869565,0.511913043478261,0.485260869565217,0.53595652173913,0.472826086956522,0.522173913043478,0.460434782608696,0.441391304347826,0.567304347826087,0.56604347826087,0.473782608695652,0.518217391304348,0.348217391304348,0.591130434782609,0.449304347826087,0.488347826086956,0.259217391304348,0.409869565217391,0.379347826086956,0.421739130434783,0.411608695652174,0.372173913043478,0.439086956521739,0.392304347826087,0.413695652173913,0.233652173913043,0.38795652173913,0.318739130434783,0.292130434782609,0.241478260869565,0.310086956521739,0.346739130434783,0.463391304347826,0.277652173913043,0.281,0.344739130434783,0.346869565217391,0.296782608695652,0.404434782608696,0.288695652173913,0.331173913043478,0.297913043478261,0.377826086956522,0.260739130434783,0.326695652173913,0.314739130434783,0.172347826086957,0.364217391304348,0.278652173913043,0.228304347826087,0.204,0.217695652173913,0.230130434782609,0.199173913043478,0.14504347826087,0.173739130434783,0.194347826086956,0.175304347826087,0.262782608695652,0.404608695652174,0.244652173913043,0.347086956521739,0.17095652173913,0.265782608695652,0.289434782608696,0.193391304347826,0.26,0.0913636363636364,0.163,0.163272727272727,0.0931363636363636,0.226318181818182,0.125227272727273,0.0856818181818182,0.113,0.148272727272727
"Cd34",0.209739130434783,0.387086956521739,0.401695652173913,0.20595652173913,0.333173913043478,0.333304347826087,0.255173913043478,0.198608695652174,0.355913043478261,0.291782608695652,0.367260869565217,0.261217391304348,0.238521739130435,0.285521739130435,0.232086956521739,0.373869565217391,0.243782608695652,0.286913043478261,0.389391304347826,0.375739130434783,0.433086956521739,0.278608695652174,0.277913043478261,0.393434782608696,0.301260869565217,0.55295652173913,0.35604347826087,0.531478260869565,0.469130434782609,0.416739130434783,0.45804347826087,0.401391304347826,0.554173913043478,0.659434782608696,0.591304347826087,0.590173913043478,0.487434782608696,0.672608695652174,0.491086956521739,0.603782608695652,0.457217391304348,0.544434782608696,0.652,0.495478260869565,0.406739130434783,0.464826086956522,0.419782608695652,0.662173913043478,0.405869565217391,0.477782608695652,0.545130434782609,0.614608695652174,0.536217391304348,0.592260869565217,0.486913043478261,0.487739130434783,0.558782608695652,0.58204347826087,0.674130434782609,0.622608695652174,0.591130434782609,0.618956521739131,0.624217391304348,0.620782608695652,0.720478260869565,0.693565217391304,0.88495652173913,0.582173913043478,0.70604347826087,0.661826086956522,0.754304347826087,0.746818181818182,0.858409090909091,0.703909090909091,0.915181818181818,0.583045454545455,0.5415,0.558136363636364,0.718954545454546,0.739909090909091
"Plcl1",1.28313043478261,1.21347826086957,1.48591304347826,1.47073913043478,1.18,1.1815652173913,1.37608695652174,1.34821739130435,1.50726086956522,1.42147826086957,1.15008695652174,1.32082608695652,1.3254347826087,1.16878260869565,1.2635652173913,0.788434782608696,1.43504347826087,1.03830434782609,0.787869565217391,1.09613043478261,0.679782608695652,0.929434782608696,0.689565217391304,0.952217391304348,1.04769565217391,0.860608695652174,0.92504347826087,1.01265217391304,0.99504347826087,0.631869565217391,0.664652173913044,0.814434782608696,0.84695652173913,0.66504347826087,0.708913043478261,0.65504347826087,0.791304347826087,0.597739130434783,0.876521739130435,0.561217391304348,0.594521739130435,0.697913043478261,0.728260869565217,0.729869565217391,0.728478260869565,0.614695652173913,0.581086956521739,0.769739130434783,0.528652173913043,0.637913043478261,0.689217391304348,0.717782608695652,0.619913043478261,0.514608695652174,0.514695652173913,0.533913043478261,0.522304347826087,0.574695652173913,0.62095652173913,0.635608695652174,0.74795652173913,0.612608695652174,0.646782608695652,0.490434782608696,0.481652173913043,0.673826086956522,0.47295652173913,0.441173913043478,0.521217391304348,0.609434782608696,0.490304347826087,0.443136363636364,0.467863636363636,0.538954545454545,0.538772727272727,0.550545454545455,0.722136363636364,0.539454545454546,0.583681818181818,0.907318181818182
"Rora",2.03995652173913,2.58386956521739,2.17391304347826,2.41847826086957,2.42360869565217,2.69139130434783,2.66086956521739,2.17113043478261,2.43334782608696,2.12734782608696,2.598,2.3985652173913,2.35847826086956,2.68752173913043,2.4035652173913,2.28617391304348,2.33760869565217,2.67073913043478,2.47104347826087,2.29095652173913,2.13986956521739,2.12417391304348,2.17986956521739,2.33713043478261,2.31004347826087,2.11539130434783,2.13634782608696,2.21678260869565,2.47321739130435,2.48417391304348,2.46939130434783,1.82986956521739,2.05617391304348,2.22539130434783,2.11391304347826,1.99104347826087,1.95273913043478,2.22734782608696,2.14808695652174,1.85591304347826,1.60665217391304,2.36691304347826,2.44378260869565,1.85613043478261,2.06682608695652,1.94321739130435,1.79878260869565,1.89386956521739,1.99717391304348,1.97691304347826,1.78126086956522,1.911,2.29726086956522,1.97665217391304,2.10208695652174,1.95239130434783,1.95791304347826,1.69608695652174,2.08339130434783,2.04895652173913,2.05447826086957,1.907,2.00604347826087,1.92839130434783,1.95482608695652,2.30113043478261,1.89521739130435,1.86626086956522,1.56165217391304,2.02178260869565,2.06691304347826,1.68018181818182,1.70190909090909,1.63554545454545,2.06586363636364,1.81790909090909,1.42295454545455,1.79745454545455,1.75731818181818,1.29163636363636
"Mecom",2.76765217391304,2.52578260869565,3.18873913043478,3.20247826086957,3.21286956521739,3.37295652173913,2.84282608695652,2.95604347826087,2.94165217391304,2.77108695652174,3.33265217391304,2.79021739130435,3.02021739130435,3.00430434782609,3.15586956521739,2.61634782608696,3.05186956521739,3.01213043478261,2.70969565217391,2.46565217391304,2.57139130434783,3.25682608695652,2.37065217391304,2.425,2.77947826086957,2.41995652173913,2.7685652173913,2.19165217391304,2.09934782608696,2.447,2.3804347826087,2.21073913043478,2.41073913043478,2.3314347826087,2.65860869565217,2.20065217391304,2.34608695652174,2.2114347826087,2.20660869565217,2.17673913043478,2.00386956521739,2.23917391304348,2.24586956521739,2.30421739130435,2.23686956521739,1.91778260869565,1.93826086956522,2.197,2.41334782608696,2.03578260869565,2.58617391304348,2.3525652173913,1.93973913043478,2.39234782608696,2.29426086956522,2.22526086956522,2.03430434782609,2.01039130434783,1.87660869565217,2.30452173913043,2.13121739130435,1.899,1.55621739130435,1.799,2.05513043478261,1.91839130434783,1.80330434782609,2.07408695652174,1.515,2.09330434782609,1.67417391304348,1.90413636363636,1.41095454545455,1.675,1.84227272727273,1.43245454545455,1.61281818181818,1.49759090909091,1.47177272727273,1.13904545454545
"Rnf220",1.0435652173913,1.5665652173913,0.908304347826087,1.28626086956522,1.20878260869565,1.4304347826087,1.18147826086957,1.34395652173913,1.1464347826087,1.20369565217391,1.29995652173913,1.26626086956522,1.39569565217391,1.28613043478261,1.20334782608696,1.16713043478261,1.10782608695652,1.05630434782609,1.3364347826087,1.24313043478261,1.37952173913043,1.28895652173913,1.18060869565217,1.61686956521739,1.50947826086957,1.74617391304348,1.16852173913043,1.632,1.50847826086957,1.63260869565217,1.3904347826087,1.37713043478261,1.52613043478261,1.82408695652174,1.30230434782609,1.68169565217391,1.35760869565217,1.55404347826087,1.657,1.64795652173913,1.509,1.25873913043478,1.60826086956522,1.86204347826087,1.65234782608696,1.81695652173913,1.74682608695652,1.57817391304348,1.54773913043478,1.6325652173913,1.77565217391304,1.56617391304348,1.82430434782609,1.77730434782609,1.86369565217391,1.36773913043478,1.73317391304348,1.73973913043478,1.8944347826087,1.89095652173913,1.76926086956522,2.07460869565217,2.00626086956522,1.82465217391304,1.77713043478261,2.23804347826087,1.89795652173913,1.63291304347826,1.85895652173913,1.9135652173913,2.01686956521739,1.87418181818182,1.97972727272727,1.9765,2.12463636363636,2.13040909090909,2.06640909090909,1.88472727272727,2.00313636363636,1.85840909090909
