"","Chrm3","Cdk6","Il1rapl2","Gda","Trpc6","Cd34","Plcl1","Rora","Mecom","Rnf220","Dock10","Sult1a1","Magi2","Dlg2","H2afy","Slco3a1","Tox","Itsn1","Txnip","Plxdc2","Flt3","Slc22a3","Pbx1","Mmrn1","2610307P16Rik","Maml3","Ptpre","Eya4","Mdga1","Prkg1","Mllt3","Arhgap15","Sox4","Tespa1","Med12l","Satb1","Pitpnc1","Clnk","Exoc6b","Mpl","Fam117a","Alcam","St3gal1","Vav3","Pan3","Top2a","Sgms1","Tbxas1","Rad51b","Stmn1","Dnmt1","Ncam2","Abcg3","Prdm16","C530008M17Rik","Airn","Tgm2","Plac8","Samd12","Nbea","Vwf","Hacd4","Pdgfd","Cavin2","Mpo","Atp8b4","Grb10","Sell","Plxnc1","Lhcgr","9530026P05Rik","Myof","Kcnb2","Slc9a9","BC035044","Hdac9","Pdzk1ip1","Csgalnact1","Cacnb2","Car2","Cysltr2","Apoe","Tgfbr3","Neat1","Irf2bp2","Nfia","Parp8","Cmtm7","Plscr4","Pard3b","Dst","Adgrg3","Tmsb10","Prkn","Dennd4a","Hlf","Ifitm1","Clec2d","Ikzf2","Oxr1","Meis1","Pcdh7","Slc18a2","Dach1"
"Chrm3",0,0,0,0,0,0,0.768079800498753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648379052369077,0,0,0,0,0.473815461346633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cdk6",0,0,0,-0.518703241895262,-0.845386533665835,0.917705735660848,0,-0.321695760598504,-0.361596009975062,0.917705735660848,0,-0.486284289276808,0,0,0,0,0,0,0,-0.905236907730673,0.71571072319202,0.912718204488778,0,0,0.890274314214464,0,0.466334164588529,0,0.842892768079801,0,-0.548628428927681,0.895261845386534,0,0.897755610972569,0,0,0.880299251870324,0.905236907730673,-0.678304239401496,0,0.865336658354115,0,0,0,0,0,0,0,0,0,0,0,0,-0.950124688279302,0,0,-0.673316708229426,0.927680798004987,0,0,0,-0.359102244389027,0,0,0,0.877805486284289,0,0,0,-0.43640897755611,-0.785536159600998,0,0,0,0,0,0,0,0,0,0,0,0,-0.269326683291771,0,0,0,0.967581047381546,0,0,0,0,0,0,0,0,0,0,0.668329177057357,0,0,0,0,0
"Il1rapl2",0.927680798004987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.842892768079801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86783042394015,0,0,0,0,0,0,0,0,0,0,0,0.905236907730673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658354114713217,0,0,0,0,0,0
"Gda",0.758104738154613,0,0,0,0.950124688279302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912718204488778,0,0,0,0,0,0,0,0.728179551122195,0,-0.379052369077307,0,0,0,0,0,0.1571072319202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86783042394015,0,0,0,0,0.912718204488778,0,0,0,0,0,0.43640897755611,0,0,0,0,0,0,0,0,0.86783042394015,0,0,0,0,0,0,0,0,-0.516209476309227,0,0,0,0,0,0,0,0,0,0.927680798004987,0,0.471321695760599,0,0,0,0
"Trpc6",0,0,0,0,0,0,0.860349127182045,0,0,0,0,0,0,0.653366583541147,0,0,0.755610972568579,0,0,0,-0.154613466334165,0,0.478802992518703,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.576059850374065,0,0.922693266832918,0,0,0,0.86783042394015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785536159600998,0,0,0,0,0,0,0,0,0,0,0,0,0.768079800498753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523690773067332,-0.905236907730673,0,0,0,0,0
"Cd34",0,0.830423940149626,0,-0.361596009975062,0,0,0,-0.922693266832918,-0.783042394014963,0.423940149625935,0,0,0,0,0,0,-0.605985037406484,0,0,0,0.401496259351621,0,0,-0.890274314214464,0.551122194513716,0,0.945137157107232,0,0,0,0,0.895261845386534,0,0,0,0,0.576059850374065,0,0,0,0,0,-0.628428927680798,0.972568578553616,0.72069825436409,0,0,0,0,0,0,0,-0.770573566084788,0,0,0,0,0,0,0,-0.14713216957606,0,0,0,0,0,0,0,-0.805486284289277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plcl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723192019950125,0,0,0,0,0,0.875311720698254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159600997506234,0,0,0,0
"Rora",0.635910224438903,-0.608478802992519,0,0.753117206982544,0,0,0,0,0.503740648379052,0,0,0.897755610972569,0,0,0,0,0,0,0,0.905236907730673,-0.942643391521197,0,0.750623441396509,0,0,0,0,0,0,0,0.942643391521197,0,-0.905236907730673,-0.389027431421446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882793017456359,0,0.830423940149626,0,0,0,0,0,0,0,0,0.890274314214464,0,0,0,0,0,0,0,0,0.86284289276808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493765586034913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mecom",0,-0.830423940149626,0,0,0,0,0.41645885286783,0,0,-0.423940149625935,0,0,0,0.124688279301746,0,0,0,0,0,0,0,-0.309226932668329,0,0,0,-0.745635910224439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735660847880299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rnf220",0,0.830423940149626,0,0,0,0.760598503740648,0,-0.735660847880299,-0.177057356608479,0,0.930174563591022,0,0,0,0.635910224438903,0,0,0,0,0,0.541147132169576,0,0,0,0,0.912718204488778,0.770573566084788,0,0,0,-0.0947630922693267,0,0,0.713216957605985,0,0.965087281795511,0,0,-0.361596009975062,-0.880299251870324,0.865336658354115,0,0,0,0.72069825436409,0,0,0,0,0,0,0,0,-0.723192019950125,0,0,0,0,0,0,0,0,0,0,0.71072319201995,0.877805486284289,0,0.354114713216958,0,0,0,0,0,0,0.86783042394015,0,-0.755610972568579,0,0,0,0,0,0,0,0.945137157107232,0,0,0.0673316708229426,0,0,0,0,0.922693266832918,0,0,0,0,0,0,0,0,0,0,0
