"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",1.39220814446507,1.26108053660109,1.0702111972827,0.973925361818726,0.735840996490011,0.983637871459873,0.659519612791874,1.01274355206607,0.853388642174917,0.592543741446345,0.842655595308328,0.69443100612088,0.74993011460404,0.684729112585479,0.414528760480167,0.466875404146511,0.481504631825695,0.588512898050507,0.458948379938079,0.228586755305556,0.180821003624333,0.138176253493389,0.130249229284956,0,0.0904105018121667,0.228586755305556,0.120547335749556,0.0301368339373889,0.0904105018121667,0.0301368339373889,0.0477657516812222,0,0.0301368339373889,0.0301368339373889,0.0301368339373889,0.0602736678747778,0.0602736678747778,0.0301368339373889,0,0,0,0,0,0.0301368339373889,0.0301368339373889,0.0602736678747778,0.0301368339373889,0.0602736678747778,0,0,0,0.0301368339373889,0.0301368339373889,0,0,0.0301368339373889,0.0301368339373889,0,0,0,0,0,0,0.0301368339373889,0.0602736678747778,0,0.0602736678747778,0.0301368339373889,0.0477657516812222,0,0.0301368339373889,0,0.0630133800509041,0.0630133800509041,0.031506690025452,0.0814436122376389,0.031506690025452,0,0.031506690025452,0.0630133800509041
"Cdk6",0.258723589242945,0.479923429905222,0.311610342474444,0.210957837561722,0.366763008798945,0.247990542376357,0.479923429905222,0.241094671499111,0.594318610773313,0.336626174861556,0.587962849461222,0.258723589242944,0.402020844286611,0.510060263842611,0.341747176411833,0.444665594417556,0.288860423180333,0.354255092605389,0.384391926542778,0.424230654015567,0.643115515785722,0.639769383562412,0.371884010349222,0.541971967106968,0.566987799494079,0.69777713834419,0.640309493127567,1.10383876505077,1.07882293266366,1.27181358346768,0.868356138867968,0.866090225774967,1.01308999422473,1.41140832510524,1.23252490458417,1.15162262890091,1.02603931787325,1.0388396035835,1.2078374021868,1.24925733158006,1.31923289299024,1.22773223302363,1.14017681966874,1.34233919346714,1.52149840522973,1.26266173852156,1.20326644922581,1.2177020094985,1.50639971890253,1.48454629035637,1.42885351446671,1.25383822356519,1.5434423627413,1.58565014174818,1.48366791177735,1.69025290011546,1.486667601842,1.41476439635269,1.36596749134028,1.47125496088009,1.31875178824834,1.34435186381844,1.22247656889011,1.14614524616784,1.34321757204617,1.48386157918384,1.44209520763192,1.30691864420318,1.32312907380284,1.48342460805977,1.41476439635268,1.46673018093242,1.25225295950992,1.46064163672744,1.56530459549989,1.41257919517004,1.58652761321949,1.62610024081582,1.52680999184071,1.33111664748308
"Il1rapl2",0.936065787185146,0.833638412945456,0.466875404146512,0.545318099330277,0.6027857445469,0.600470765654778,0.634503780404762,0.594858720338467,0.419649762030444,0.544777989765123,0.715762437270813,0.416303629807134,0.479923429905222,0.484504321890345,0.3792709249925,0.483819610717817,0.336626174861556,0.306489340924167,0.381045794319468,0.168313087430778,0.150684169686945,0.150684169686945,0.353030271867706,0.0602736678747778,0.120547335749556,0.120547335749556,0.180821003624333,0.108039419556,0.0904105018121667,0,0,0.0602736678747778,0.0904105018121667,0.0602736678747778,0.0301368339373889,0,0,0.0602736678747778,0.0904105018121667,0,0,0.0301368339373889,0,0,0.0301368339373889,0,0,0.0904105018121667,0.0301368339373889,0.130249229284956,0.0301368339373889,0,0,0,0,0.0301368339373889,0.0301368339373889,0.0301368339373889,0,0.0301368339373889,0,0,0.0477657516812222,0.0301368339373889,0.0602736678747778,0,0,0,0,0,0.0301368339373889,0.031506690025452,0.031506690025452,0.031506690025452,0.031506690025452,0,0.0630133800509041,0.031506690025452,0.031506690025452,0.031506690025452
"Gda",0.688075244808789,0.605051657639901,0.732841306425361,0.5498989913154,0.502133239634178,0.411722737822012,0.535076096229722,0.414528760480167,0.535076096229723,0.427036676673722,0.409407758929889,0.3792709249925,0.4418595717594,0.280933398971901,0.396899842736333,0.361642007248667,0.361642007248667,0.41910965246529,0.324118258668,0.258723589242945,0.198449921368167,0.306489340924167,0.150684169686945,0.138176253493389,0.138176253493389,0.241094671499111,0.120547335749556,0.168313087430778,0,0.120547335749556,0.0904105018121667,0.168313087430778,0.185942005174611,0.0301368339373889,0.0301368339373889,0.0301368339373889,0.108039419556,0.0301368339373889,0,0.0301368339373889,0.150684169686945,0.0602736678747778,0,0,0.0301368339373889,0,0,0.0602736678747778,0.120547335749556,0,0,0.0602736678747778,0.0301368339373889,0.0301368339373889,0.0301368339373889,0,0,0,0,0.0602736678747778,0.0301368339373889,0.0602736678747778,0.0602736678747778,0,0,0,0,0,0.0904105018121667,0.0602736678747778,0.0602736678747778,0.031506690025452,0.031506690025452,0.0499369222121868,0,0.126026760101808,0.0630133800509041,0.031506690025452,0,0
"Trpc6",0.838759414495733,0.863775246882845,0.713091077195901,0.771098831977678,0.700583161002345,0.730719994939734,0.617559573833456,0.7130910771959,0.673252349723111,0.444665594417555,0.5498989913154,0.4873103445485,0.610172659190178,0.494206215425745,0.497012238083901,0.592543741446345,0.499818260742056,0.652817409321123,0.288860423180333,0.569793822152234,0.366763008798945,0.414528760480167,0.210957837561722,0.497552347649055,0.444665594417556,0.358835984590512,0.384391926542778,0.228586755305556,0.198449921368167,0.150684169686945,0.228586755305556,0.180821003624333,0.336626174861556,0.120547335749556,0.168313087430778,0.120547335749556,0.0602736678747778,0.180821003624333,0.120547335749556,0.0301368339373889,0.180821003624333,0.0904105018121667,0.120547335749556,0.246215673049389,0.0602736678747778,0,0.0904105018121667,0.150684169686945,0.150684169686945,0.0602736678747778,0.150684169686945,0.0301368339373889,0.185942005174611,0.0602736678747778,0.0779025856186111,0.0301368339373889,0.120547335749556,0.100112395347567,0,0.0779025856186111,0,0.0904105018121667,0.108039419556,0.0602736678747778,0.155805171237222,0.0301368339373889,0.0602736678747778,0.0904105018121667,0.138176253493389,0.185942005174611,0.190522897159734,0.15753345012726,0.19439391450073,0.19439391450073,0.15753345012726,0.189040140152712,0.15753345012726,0.0945200700763561,0.0630133800509041,0.0630133800509041
"Cd34",0.0301368339373889,0.180821003624333,0.0904105018121667,0.0602736678747778,0.138176253493389,0.120547335749556,0.0904105018121667,0.120547335749556,0.138176253493389,0.0301368339373889,0.0904105018121667,0.241094671499111,0.120547335749556,0.150684169686945,0.0904105018121667,0.0301368339373889,0.0904105018121667,0.180821003624333,0.0602736678747778,0.0779025856186111,0.168313087430778,0.180821003624333,0.150684169686945,0.198449921368167,0.336626174861556,0.402020844286611,0.371884010349222,0.524149381956639,0.504939262292334,0.479923429905222,0.504939262292334,0.474802428354945,0.574914823702512,0.582841847910945,0.685269222150634,0.683494352823667,0.504939262292334,0.7108251641029,0.665865435079833,0.689656446729262,0.577720846360667,0.566987799494079,0.730719994939734,0.96600895371604,0.63518849157729,0.75292980466869,0.840534283822701,0.722792970731301,0.582841847910945,0.575454933267666,0.777945637055801,0.748348912683567,0.648236517336,0.852357488843729,0.617559573833456,0.848461308031134,0.710285054537745,0.565212930167111,0.871702271091278,0.623220684948889,0.721018101404334,0.710285054537745,0.773904854635833,0.688075244808789,0.643115515785722,0.564528218994583,0.622680575383734,0.572108801044356,0.587962849461222,0.751154935341722,0.678373351273389,0.464877666891081,0.574894400011555,0.401864286840177,0.690778271417262,0.693198476622663,0.76872365451235,0.661127126597277,0.711064048809464,0.677137153578611
"Plcl1",0.700583161002345,0.796114664364789,0.717671969181023,0.708510185210778,0.618099683398611,0.752245093496162,0.544777989765123,0.695462159452067,0.584423049831417,0.718212078746178,0.584616717237912,0.241094671499111,0.436053859036595,0.336626174861556,0.31107023290929,0.288860423180333,0.414528760480167,0.180821003624333,0.409407758929889,0.298562316715734,0.318997257117722,0.198449921368167,0.120547335749556,0.138176253493389,0.228586755305556,0.241094671499111,0.0602736678747778,0.0779025856186111,0.138176253493389,0.150684169686945,0.0301368339373889,0.0602736678747778,0.0904105018121667,0.0904105018121667,0.0602736678747778,0.150684169686945,0.155805171237222,0,0.0301368339373889,0.0301368339373889,0.0477657516812222,0.0301368339373889,0,0.0602736678747778,0.0301368339373889,0.0602736678747778,0,0.0904105018121667,0.0301368339373889,0.0904105018121667,0.120547335749556,0.150684169686945,0.0301368339373889,0.120547335749556,0.0301368339373889,0.0779025856186111,0,0.0602736678747778,0.0301368339373889,0.0301368339373889,0.0301368339373889,0.0602736678747778,0.0602736678747778,0,0,0.0904105018121667,0.0602736678747778,0.138176253493389,0.150684169686945,0,0.0602736678747778,0,0.0630133800509041,0.126026760101808,0.112950302263091,0.031506690025452,0.0630133800509041,0.112950302263091,0.0630133800509041,0.0630133800509041
"Rora",0.692656136793912,0.611947528517146,0.672567638550584,0.652132698148595,0.644890385112689,0.605591767205055,0.600470765654778,0.710285054537745,0.462294512161389,0.755051116154317,0.65159258858344,0.5953497641045,0.388972818527901,0.667446637000306,0.509520154277456,0.494206215425745,0.479383320340067,0.366763008798945,0.419649762030444,0.246215673049389,0.439544592867278,0.439544592867278,0.388972818527901,0.371884010349222,0.396899842736333,0.288860423180333,0.246215673049389,0.299102426280889,0.210957837561722,0.180821003624333,0.246215673049389,0.108039419556,0.120547335749556,0.125668337299833,0.216078839112,0.108039419556,0.0904105018121667,0.130249229284956,0.198449921368167,0.108039419556,0.198449921368167,0.120547335749556,0.0301368339373889,0.108039419556,0.120547335749556,0,0.0602736678747778,0.0904105018121667,0.0301368339373889,0.120547335749556,0.0955315033624443,0,0.0602736678747778,0.0301368339373889,0.0904105018121667,0.0904105018121667,0,0.0301368339373889,0.0301368339373889,0.0904105018121667,0.0301368339373889,0.0301368339373889,0.0602736678747778,0.0301368339373889,0,0.120547335749556,0.0301368339373889,0.0904105018121667,0.0477657516812222,0.0602736678747778,0.228586755305556,0.031506690025452,0.0630133800509041,0.0814436122376389,0.131380534449826,0.112950302263091,0.189040140152712,0.0945200700763561,0.0630133800509041,0.031506690025452
"Mecom",1.71002403738133,1.58150622088712,1.46332793667166,1.37301613696969,1.52335386449797,1.31465200100512,1.1020638957238,1.18208779282804,1.23516821346603,1.23182208124272,1.23620930582135,1.36577382393378,1.01165339391163,1.1514108493255,1.18488319938045,1.63809548752472,1.22261123147336,0.995799345494769,1.12993481656819,1.2959919299301,1.01786455361635,0.966202621122535,1.11388710074483,0.953694704928979,1.09960431522431,1.03810582661185,1.08321015724229,1.03249378129553,0.96600895371604,1.0037263697032,0.975026136078912,0.690881267466945,0.817784364528591,0.652817409321123,0.845655285372979,0.855163511501885,0.817446095514723,0.719302236900618,0.838759414495734,0.587962849461222,0.655132388213245,0.4873103445485,0.562406907508956,0.582841847910945,0.426351965501195,0.565212930167111,0.479383320340067,0.524149381956639,0.532270073571567,0.620414662290733,0.246215673049389,0.685075554744139,0.403795713613579,0.467415513711667,0.341747176411833,0.346328068396956,0.562406907508956,0.554479883300523,0.276352506986778,0.474802428354945,0.529464050913412,0.293981424730611,0.391094130013528,0.381585903884623,0.384391926542778,0.730719994939734,0.723333080296456,0.803501579008067,0.366763008798945,0.678373351273389,0.582841847910945,0.522537272593968,0.656338012249193,0.614123773527707,0.587970857850272,0.480374329935199,0.390643374206926,0.598113746546373,0.438724751213646,0.388223169001525
"Rnf220",0.168313087430778,0.0904105018121667,0.241094671499111,0.258723589242945,0.180821003624333,0.246215673049389,0.168313087430778,0.120547335749556,0.138176253493389,0.263844590793222,0.391778841186056,0.0904105018121667,0.0904105018121667,0.268425482778345,0.150684169686945,0.138176253493389,0.168313087430778,0.120547335749556,0.138176253493389,0.406601736271734,0.276352506986778,0.198449921368167,0.228586755305556,0.336626174861555,0.394093820078178,0.306489340924167,0.54689930125075,0.335401354123873,0.593083851011499,0.306489340924167,0.273546484328623,0.494206215425745,0.4418595717594,0.709060233800063,0.569109110979706,0.574914823702512,0.647205364004812,0.71118154528569,0.517447178485889,0.76297814036275,0.790993662814512,0.772680033898151,0.627801576934011,0.872792429245717,0.775679723962801,1.01835559738238,1.01230658094201,0.629382778854484,0.747808803118413,0.958081929507607,0.866090225774967,0.681729422520829,0.758050806218967,0.840880725981361,1.07055763944136,1.13944304269709,0.936065787185145,1.28717658811851,0.782035485274892,0.918896389065192,1.09857316189312,0.868211537260595,0.865550116209813,0.880034742281623,0.70447934181494,0.86096922422469,0.775486056556305,0.91050984523288,0.855163511501884,0.793308641706634,0.975026136078912,0.733365090466212,0.883891691510415,0.81238849749845,0.826947920215171,0.948760616766785,0.884094161980842,0.976980092771486,1.04435871078029,1.10641228424405
