"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",1.86691304347826,1.64826086956522,1.40521739130435,1.93504347826087,1.36308695652174,1.6315652173913,1.4804347826087,1.4934347826087,1.47213043478261,1.46713043478261,1.41621739130435,1.99160869565217,1.72278260869565,2.00313043478261,1.40178260869565,1.49878260869565,1.17673913043478,1.674,1.44908695652174,0.999695652173913,1.11130434782609,0.766695652173913,0.731347826086957,0.880391304347826,0.939739130434783,0.849782608695652,0.772304347826087,0.888,0.680739130434783,0.668869565217391,0.883347826086957,0.758130434782609,0.795695652173913,0.698391304347826,0.79304347826087,0.714652173913043,0.857217391304348,0.648739130434783,0.891347826086957,0.733304347826087,0.557782608695652,0.586608695652174,0.588347826086957,0.45004347826087,0.853826086956522,0.769391304347826,0.649217391304348,0.704260869565217,0.651086956521739,0.677217391304348,0.69904347826087,0.779391304347826,0.573782608695652,0.548,0.641130434782609,0.604304347826087,0.699826086956522,0.555608695652174,0.814913043478261,0.788652173913043,0.666869565217391,0.633739130434783,0.555217391304348,0.712304347826087,0.822565217391304,0.726521739130435,0.707173913043478,0.683217391304348,0.885,0.792695652173913,0.852130434782609,0.911454545454545,0.612045454545455,0.719363636363636,0.684636363636364,0.862636363636364,0.691318181818182,0.755954545454545,0.6545,0.691272727272727
"Cdk6",0.808826086956522,0.898521739130435,0.778869565217391,1.03604347826087,0.668173913043478,1.08586956521739,1.079,0.821695652173913,0.96495652173913,0.837478260869565,0.887478260869565,0.926608695652174,0.890347826086957,0.977826086956522,0.763086956521739,0.863304347826087,0.890521739130435,0.902826086956522,0.837086956521739,1.12382608695652,1.00673913043478,1.12013043478261,0.903913043478261,0.993434782608696,1.61330434782609,1.37769565217391,1.38721739130435,1.54826086956522,1.71147826086957,1.92439130434783,1.58569565217391,1.86073913043478,1.6634347826087,1.81969565217391,1.72360869565217,2.01452173913043,1.92813043478261,2.09021739130435,1.82630434782609,2.00452173913043,1.63595652173913,1.87939130434783,1.93969565217391,1.84760869565217,2.61095652173913,2.13504347826087,1.97873913043478,2.25034782608696,2.20630434782609,2.0704347826087,2.19447826086957,1.88060869565217,2.47865217391304,2.56586956521739,2.66991304347826,2.75026086956522,2.39330434782609,2.22052173913043,2.34760869565217,2.14560869565217,2.185,2.248,2.41726086956522,2.56169565217391,2.06726086956522,2.40804347826087,2.51469565217391,1.99995652173913,2.18,2.092,2.18113043478261,2.2645,2.10245454545455,2.33922727272727,2.36018181818182,2.24331818181818,2.37613636363636,2.45654545454545,2.26790909090909,2.09763636363636
"Il1rapl2",0.625826086956522,0.733304347826087,0.404913043478261,0.427695652173913,0.572130434782609,0.584913043478261,0.487782608695652,0.465695652173913,0.448478260869565,0.453434782608696,0.582130434782609,0.395695652173913,0.386826086956522,0.515608695652174,0.575217391304348,0.562739130434783,0.374260869565217,0.421,0.527391304347826,0.44595652173913,0.464739130434783,0.654391304347826,0.505391304347826,0.324521739130435,0.37304347826087,0.243782608695652,0.223347826086957,0.396869565217391,0.21,0.341217391304348,0.377739130434783,0.32595652173913,0.210869565217391,0.255608695652174,0.368434782608696,0.319391304347826,0.396826086956522,0.20595652173913,0.357521739130435,0.341434782608696,0.242652173913044,0.367739130434783,0.529826086956522,0.300478260869565,0.26804347826087,0.258434782608696,0.356173913043478,0.421304347826087,0.288652173913043,0.232695652173913,0.285,0.241130434782609,0.341304347826087,0.385608695652174,0.354,0.405695652173913,0.301086956521739,0.28,0.313434782608696,0.265608695652174,0.337130434782609,0.387,0.371565217391304,0.344826086956522,0.349391304347826,0.428217391304348,0.389565217391304,0.355826086956522,0.309565217391304,0.427130434782609,0.444478260869565,0.345818181818182,0.381863636363636,0.345727272727273,0.403272727272727,0.533272727272727,0.453136363636364,0.429045454545455,0.440954545454545,0.276409090909091
"Gda",0.759391304347826,0.732695652173913,1.01578260869565,0.665217391304348,0.909,0.819608695652174,0.578826086956522,0.636565217391304,0.692478260869565,0.918521739130435,0.887565217391304,0.768565217391304,0.847608695652174,0.548695652173913,0.768695652173913,0.652869565217391,0.879739130434783,0.68895652173913,0.804434782608696,0.626782608695652,0.63404347826087,0.776695652173913,0.461913043478261,0.413695652173913,0.39504347826087,0.506521739130435,0.415869565217391,0.453347826086957,0.441652173913043,0.414086956521739,0.359565217391304,0.438565217391304,0.372652173913043,0.377173913043478,0.323565217391304,0.308565217391304,0.366347826086957,0.413173913043478,0.264565217391304,0.293391304347826,0.555652173913043,0.269478260869565,0.320826086956522,0.258695652173913,0.265260869565217,0.167565217391304,0.31195652173913,0.315434782608696,0.241304347826087,0.210086956521739,0.342695652173913,0.199565217391304,0.296608695652174,0.26604347826087,0.178565217391304,0.324,0.250565217391304,0.280260869565217,0.279347826086957,0.192086956521739,0.292652173913043,0.306565217391304,0.380260869565217,0.34604347826087,0.336521739130435,0.310086956521739,0.368173913043478,0.294260869565217,0.528869565217391,0.379217391304348,0.383608695652174,0.267136363636364,0.329636363636364,0.349272727272727,0.347681818181818,0.425818181818182,0.304909090909091,0.321863636363636,0.1975,0.329863636363636
"Trpc6",0.516217391304348,0.48504347826087,0.803173913043478,0.498869565217391,0.613173913043478,0.533608695652174,0.540565217391304,0.435913043478261,0.479608695652174,0.396173913043478,0.479565217391304,0.538913043478261,0.443869565217391,0.417434782608696,0.658347826086957,0.455,0.525826086956522,0.541260869565217,0.597782608695652,0.487391304347826,0.520478260869565,0.461652173913043,0.387608695652174,0.302173913043478,0.261260869565217,0.343913043478261,0.35795652173913,0.287391304347826,0.286782608695652,0.254869565217391,0.209869565217391,0.373217391304348,0.326652173913043,0.265086956521739,0.321086956521739,0.421173913043478,0.244913043478261,0.388217391304348,0.232173913043478,0.328130434782609,0.211695652173913,0.266173913043478,0.203434782608696,0.345217391304348,0.376565217391304,0.265913043478261,0.272739130434783,0.293304347826087,0.235782608695652,0.192391304347826,0.230521739130435,0.181521739130435,0.264608695652174,0.305260869565217,0.167913043478261,0.160086956521739,0.199130434782609,0.258913043478261,0.162782608695652,0.184565217391304,0.198347826086957,0.205260869565217,0.256130434782609,0.274,0.239304347826087,0.207260869565217,0.329,0.205521739130435,0.106869565217391,0.201347826086957,0.258260869565217,0.286136363636364,0.238181818181818,0.336909090909091,0.201818181818182,0.268318181818182,0.215818181818182,0.214136363636364,0.278545454545455,0.222954545454545
"Cd34",0.309173913043478,0.35195652173913,0.278260869565217,0.216173913043478,0.203521739130435,0.323347826086957,0.25395652173913,0.250391304347826,0.260304347826087,0.237826086956522,0.429608695652174,0.342695652173913,0.243,0.213913043478261,0.248217391304348,0.184,0.340565217391304,0.265565217391304,0.226782608695652,0.285521739130435,0.524391304347826,0.456,0.265478260869565,0.285652173913043,0.364304347826087,0.294521739130435,0.453086956521739,0.45604347826087,0.452347826086957,0.497173913043478,0.358347826086957,0.412869565217391,0.503478260869565,0.585,0.47,0.657217391304348,0.417565217391304,0.557086956521739,0.371391304347826,0.601217391304348,0.481913043478261,0.561869565217391,0.608826086956522,0.726826086956522,0.535304347826087,0.526,0.725869565217391,0.434,0.726652173913043,0.608,0.561739130434783,0.818913043478261,0.685173913043478,0.689782608695652,0.671173913043478,0.845652173913043,1.07921739130435,0.782869565217391,0.614565217391304,0.715,0.620478260869565,0.578,0.947521739130435,0.603869565217391,0.504478260869565,0.51295652173913,0.530913043478261,0.522782608695652,0.565565217391304,0.736,0.541217391304348,0.605,0.585954545454546,0.616409090909091,0.462090909090909,0.640363636363636,0.706681818181818,0.685409090909091,0.670772727272727,0.536863636363636
"Plcl1",1.58234782608696,1.5275652173913,1.37108695652174,1.17473913043478,1.241,1.51395652173913,1.19191304347826,1.19530434782609,1.489,1.3944347826087,1.0394347826087,1.23739130434783,1.69082608695652,1.38178260869565,1.0244347826087,1.09460869565217,1.31117391304348,0.994086956521739,1.02065217391304,1.29030434782609,0.907391304347826,0.814695652173913,0.906608695652174,0.798826086956522,1.10347826086957,0.584086956521739,0.795260869565217,0.857,0.941086956521739,0.659130434782609,0.779086956521739,0.574695652173913,0.660260869565217,0.695130434782609,0.73795652173913,0.643260869565217,0.489434782608696,0.628521739130435,0.853826086956522,0.576304347826087,0.398173913043478,0.447782608695652,0.677782608695652,0.671347826086957,0.605304347826087,0.580217391304348,0.443086956521739,0.470869565217391,0.634260869565217,0.596695652173913,0.666217391304348,0.597391304347826,0.525391304347826,0.811304347826087,0.437826086956522,0.671478260869565,0.661086956521739,0.518695652173913,0.619391304347826,0.611304347826087,0.528652173913044,0.583434782608696,0.494086956521739,0.767913043478261,0.618521739130435,0.636652173913044,0.869304347826087,0.826478260869565,0.602173913043478,0.621695652173913,0.45804347826087,0.679454545454545,0.750590909090909,0.555909090909091,0.566954545454545,0.650954545454545,0.562863636363636,0.612909090909091,0.527454545454546,0.454409090909091
"Rora",2.48569565217391,2.22360869565217,2.27752173913043,2.27947826086957,2.49265217391304,2.47795652173913,2.22108695652174,2.41926086956522,2.42865217391304,2.38108695652174,2.42769565217391,2.249,2.60665217391304,2.16804347826087,2.06791304347826,2.49734782608696,2.39334782608696,2.17878260869565,2.244,2.5915652173913,2.43486956521739,2.54934782608696,2.53878260869565,2.3955652173913,2.06752173913043,2.4775652173913,2.2505652173913,2.01369565217391,2.10273913043478,2.14913043478261,2.24569565217391,2.2544347826087,1.99773913043478,2.24482608695652,2.05108695652174,2.11539130434783,1.87717391304348,2.06913043478261,2.12804347826087,1.70591304347826,1.61130434782609,2.11939130434783,1.79160869565217,1.97695652173913,2.33452173913043,1.769,1.72273913043478,1.90747826086957,1.79878260869565,1.87517391304348,1.96508695652174,2.02782608695652,1.84408695652174,1.88708695652174,1.87052173913043,1.89639130434783,1.59630434782609,1.94652173913043,1.75352173913043,1.87873913043478,1.90052173913043,2.32473913043478,2.09217391304348,1.90113043478261,1.83295652173913,1.835,2.06804347826087,2.07260869565217,2.46152173913043,1.90165217391304,2.1255652173913,2.07409090909091,2.004,1.91627272727273,1.973,2.05659090909091,1.86681818181818,2.00890909090909,1.77913636363636,1.65068181818182
"Mecom",3.0814347826087,2.91917391304348,2.99552173913044,3.59130434782609,3.18069565217391,2.72721739130435,3.38686956521739,3.19852173913044,3.11204347826087,3.13252173913043,2.94695652173913,2.8504347826087,3.18491304347826,3.05091304347826,2.84808695652174,2.72395652173913,2.98630434782609,3.77921739130435,3.19721739130435,3.17204347826087,3.16721739130435,2.8604347826087,2.46447826086957,2.59273913043478,3.19486956521739,2.13713043478261,2.34995652173913,2.82726086956522,2.52973913043478,2.1745652173913,2.11534782608696,2.20760869565217,2.5064347826087,2.28173913043478,2.3555652173913,2.21439130434783,2.46052173913043,2.33952173913043,2.67552173913043,1.73821739130435,2.0604347826087,2.33860869565217,2.01165217391304,1.81095652173913,2.16734782608696,1.50860869565217,1.85982608695652,2.13573913043478,2.21447826086957,2.01834782608696,2.08878260869565,1.8824347826087,1.8574347826087,1.75708695652174,1.90121739130435,1.75091304347826,1.74513043478261,2.09617391304348,1.79317391304348,1.73147826086957,1.463,1.6304347826087,1.87021739130435,1.50608695652174,1.64682608695652,2.03317391304348,1.677,1.87269565217391,1.68669565217391,1.73826086956522,1.74930434782609,1.97459090909091,1.53090909090909,1.86018181818182,1.74740909090909,2.03959090909091,1.87886363636364,1.84304545454545,2.1645,1.675
"Rnf220",1.22930434782609,1.10417391304348,1.27221739130435,1.21726086956522,1.04639130434783,1.17147826086957,1.2785652173913,1.41747826086957,1.101,1.35026086956522,1.3064347826087,1.17552173913043,1.03469565217391,1.17952173913043,1.26982608695652,0.992347826086957,1.15839130434783,1.08039130434783,1.10895652173913,1.26721739130435,1.28347826086957,1.38260869565217,1.387,1.248,1.19552173913043,1.27913043478261,1.35313043478261,1.34586956521739,1.41234782608696,1.391,1.52117391304348,1.36873913043478,1.69360869565217,1.54026086956522,1.87217391304348,1.78117391304348,1.576,1.63039130434783,1.444,1.45165217391304,1.793,1.67086956521739,1.92213043478261,1.88652173913043,1.99504347826087,2.01969565217391,1.99491304347826,1.79178260869565,1.63465217391304,1.83939130434783,1.91230434782609,1.79030434782609,1.942,1.72678260869565,2.24017391304348,1.75039130434783,1.77186956521739,1.71152173913043,2.04021739130435,1.99165217391304,2.00517391304348,1.72491304347826,1.57430434782609,1.73317391304348,1.95613043478261,1.82778260869565,1.92252173913043,1.96395652173913,1.59282608695652,1.8745652173913,1.863,1.73381818181818,1.52168181818182,1.70931818181818,2.03613636363636,1.818,1.97472727272727,1.80904545454545,2.08686363636364,2.09731818181818
