"","Chrm3","Cdk6","Il1rapl2","Gda","Trpc6","Cd34","Plcl1","Rora","Mecom","Rnf220","Dock10","Sult1a1","Magi2","Dlg2","H2afy","Slco3a1","Tox","Itsn1","Txnip","Plxdc2","Flt3","Slc22a3","Pbx1","Mmrn1","2610307P16Rik","Maml3","Ptpre","Eya4","Mdga1","Prkg1","Mllt3","Arhgap15","Sox4","Tespa1","Med12l","Satb1","Pitpnc1","Clnk","Exoc6b","Mpl","Fam117a","Alcam","St3gal1","Vav3","Pan3","Top2a","Sgms1","Tbxas1","Rad51b","Stmn1","Dnmt1","Ncam2","Abcg3","Prdm16","C530008M17Rik","Airn","Tgm2","Plac8","Samd12","Nbea","Vwf","Hacd4","Pdgfd","Cavin2","Mpo","Atp8b4","Grb10","Sell","Plxnc1","Lhcgr","9530026P05Rik","Myof","Kcnb2","Slc9a9","BC035044","Hdac9","Pdzk1ip1","Csgalnact1","Cacnb2","Car2","Cysltr2","Apoe","Tgfbr3","Neat1","Irf2bp2","Nfia","Parp8","Cmtm7","Plscr4","Pard3b","Dst","Adgrg3","Tmsb10","Prkn","Dennd4a","Hlf","Ifitm1","Clec2d","Ikzf2","Oxr1","Meis1","Pcdh7","Slc18a2","Dach1"
"Chrm3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531172069825436,0.960099750623441,0.608478802992519,0,0,0,0,0,0,0,0,0,0.084788029925187,0,0,0,0,0,0.658354114713217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224438902743142,0,0,0,0,0,0,0,0,0,0.249376558603491,0,0,0,0
"Cdk6",0,0,0,0,0,0,0,0,0,0.812967581047382,0,0,0,0,0,0.842892768079801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.670822942643391,0.880299251870324,0,0,0,0.586034912718205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249376558603491,0,0.638403990024938,0,0,0,0,-0.548628428927681,0,0,0,0,0.890274314214464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il1rapl2",0.790523690773067,0,0,0,0,0,0.735660847880299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805486284289277,0,0,0,0,-0.635910224438903,0,0.27431421446384,0,0,-0.0523690773067332,0,0,0,0,0,0,0,0,0,0,0,-0.112219451371571,0,0.880299251870324,0,0,-0.406483790523691,0.685785536159601,0,0.187032418952618,0,0,0.947630922693267,0,0.600997506234414,0,0,0,0,0.905236907730673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937655860349127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832917705735661,0,0,0,0.0324189526184539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85286783042394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640897755610973,0,0,0,0,0,0,0,0,0
"Trpc6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.855361596009975,0,0,0,0,0,0,0,0,0,0,0.249376558603491,0,0,0,0,0,0,0,0,0.0872817955112219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0448877805486284,0,0,0,0,0,0,0,0,0,0,0,0
"Cd34",0,0.633416458852868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43142144638404,0,0,0,0,0.728179551122195,0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,-0.391521197007481,0,0,0,0,0,0,-0.179551122194514,0,0,0,0,0.167082294264339,0,0,0,0,0,0,0,0,0,0,-0.251870324189526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922693266832918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plcl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326683291770574,0,0,0,-0.134663341645885,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249376558603491,0,0,0,0,0,0,0,0,0,0,0.740648379052369,0,0,0,0.685785536159601,0,0,0,0,0,0,0,0.189526184538653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rora",0,0,0,0,0,0,0,0,0,0,0,0,0,0.638403990024938,0,0,0,0,0.897755610972569,0.58354114713217,0,0,0,0,-0.668329177057357,0,0,0,0,0,0,0,-0.922693266832918,0,0,0,0,-0.86284289276808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690773067331671,0,0,0,0,0,0,0,0,0,0,0,0.832917705735661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mecom",0,-0.927680798004987,0,0,0.890274314214464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0598503740648379,0,0,0,0,0,0,-0.239401496259352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842892768079801,0,0,0,0,0,0,0,0,0,0,0,-0.905236907730673,0,-0.628428927680798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rnf220",0,0,0,0,0,0,0,0,0,0,0,-0.306733167082294,0,0,0,0.206982543640898,0,0,0,-0.00498753117206983,0.763092269326683,0,0,0,0,0,0,0,0,0,0,0,0.528678304239402,0,0,0,0,0,0,0,0.830423940149626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850374064837905,-0.85286783042394,0,0,0,0,0,0,0,0,0,0,-0.71571072319202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748129675810474,0,0,0,0,0.805486284289277,-0.773067331670823,0,0,0,0,0,0,0,0,0,0
