"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",0.454790634919731,0.236675384313149,0.223595864696756,0.163715284362381,0.182676144520514,0.361552836277919,0.231194770222975,0.0742769384836789,0.0742769384836789,0.0223595864696756,0.0851308816004921,0.0670787594090269,0.0223595864696756,0.0223595864696756,0.0354391060860681,0.0447191729393513,0.0447191729393513,0.0447191729393513,0,0.0223595864696756,0.0577986925557437,0.0223595864696756,0,0.0231049060186648,0,0,0,0.0462098120373297,0.0462098120373297,0.0462098120373297,0,0.0231049060186648,0,0,0,0,0.0231049060186648,0.0231049060186648,0,0,0.0462098120373297,0.0462098120373297,0,0.0231049060186648,0.0231049060186648,0,0,0,0.0231049060186648,0,0,0,0,0.0231049060186648,0,0,0,0.0231049060186648,0.0231049060186648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231049060186648,0,0,0.0231049060186648,0.0231049060186648,0,0,0
"Cdk6",0.561107953177935,0.40419012143864,0.275913943162326,0.396991942363987,0.53494891394515,0.352272769424636,0.464070701773014,0.629503551119874,0.568306132252587,0.61510719297057,0.577586199105871,0.464070701773014,0.710062556596859,0.758180455847754,0.60466135042,0.777141316005886,0.580984925417413,0.621797360530121,0.735820869378078,0.802899628787105,0.700646175137306,0.623622210578133,0.869121952980288,0.706700301276211,1.0822358141775,0.743320710898481,1.10168022466259,0.948699497028593,1.15072863031126,0.921830854162536,0.886149473772488,1.15977920149788,1.03478239629949,1.18544947555441,1.06951086146114,1.12588652425463,0.873158915401154,0.961838533744907,1.2285689743216,1.27693007039685,1.09167673824758,1.15611870596431,1.109643288272,1.2263863392487,1.29882272160982,1.35592088359124,1.08046099702687,1.26560346794382,1.11803432187754,1.46381736127027,1.34651039410782,1.36154272912558,1.2571887032218,1.41110846008802,1.15045540473779,1.02613202311665,1.10676520461127,1.23329324631589,1.14882906593214,1.34437013117542,1.27632945354676,1.47692218206094,1.46828229368726,1.21291607267625,1.20584053519023,1.37203167072347,1.09058161075188,1.29244024067899,1.05642332785366,1.32152742962471,1.37882823565425,1.32597847604552,1.30903764797666,1.37936080080502,1.10084443674419,1.30260034445339,1.41639529442724,1.20584053519023,1.4782718941061,1.13867710117215
"Il1rapl2",0.700973670990984,0.966106901634385,0.908816220593743,0.628851850883825,0.79374028505817,0.700789863858254,0.415044064555453,0.8061546663777,0.471669607299233,0.435829774761598,0.599945785575546,0.64806368482644,0.4527087471411,0.272114490399217,0.412962176776821,0.363270401262397,0.482122823964479,0.208434457301733,0.359470948499288,0.397800769381798,0.352272769424636,0.393192489600878,0.232823877337275,0.252002682167394,0.115524530093324,0.184839248149319,0.20228085294147,0.175249845734259,0.115524530093324,0.12904003369693,0.152144939715594,0.142555537300535,0.105935127678265,0.228897776148729,0.0924196240746593,0.12904003369693,0.175249845734259,0.0924196240746593,0.0693147180559945,0.12904003369693,0.188765349337865,0.0462098120373297,0.0231049060186648,0.0924196240746593,0.242413279752335,0.138629436111989,0.1826879641114,0.0963457252632055,0.115524530093324,0.059725315640935,0.0231049060186648,0.12904003369693,0.0693147180559945,0.0732408192445407,0.152144939715594,0.0828302216596,0.0693147180559945,0.0732408192445407,0.0462098120373297,0.0924196240746593,0.12904003369693,0.0693147180559945,0.0693147180559945,0.0231049060186648,0.0693147180559945,0.0998577424517997,0.0462098120373297,0.0597253156409352,0,0.1656604433192,0.0693147180559945,0.12904003369693,0.0597253156409352,0.0462098120373297,0.0597253156409352,0.0231049060186648,0.0693147180559945,0.105935127678265,0.115524530093324,0.105935127678265
"Gda",0.36155283627792,0.236675384313149,0.352272769424636,0.465788266757492,0.191956211373798,0.249754903929541,0.227395317459866,0.147237038434446,0.259034970782825,0.0894383458787026,0.20503573099019,0.124877451964771,0.147237038434446,0.0223595864696756,0.0801582790254193,0.147237038434446,0,0.134157518818054,0.0894383458787026,0.0801582790254193,0.0447191729393513,0.0670787594090269,0.0462098120373297,0,0.0231049060186648,0.0231049060186648,0.0462098120373297,0,0.0231049060186648,0.0366204096222703,0.0231049060186648,0.0462098120373297,0,0.0597253156409352,0,0,0.0231049060186648,0.0231049060186648,0.0231049060186648,0,0.0231049060186648,0.0693147180559945,0.0231049060186648,0.0597253156409352,0,0.0231049060186648,0,0.0231049060186648,0.0231049060186648,0.0231049060186648,0.0231049060186648,0,0.0462098120373297,0,0.0231049060186648,0.0462098120373297,0,0.0231049060186648,0.0231049060186648,0,0.0231049060186648,0.0231049060186648,0,0.0231049060186648,0.0231049060186648,0,0,0,0,0.0231049060186648,0.0231049060186648,0.0462098120373297,0.0231049060186648,0,0.0231049060186648,0,0.05364793041447,0.0231049060186648,0,0.0462098120373297
"Trpc6",0.678022176822334,0.517304892319929,0.454790634919731,0.662717080706362,0.545946545782912,0.652263864041116,0.651863137589549,0.642583070736266,0.623478521857185,0.536265752478062,0.642583070736266,0.337111362029612,0.557308500414826,0.635384891661614,0.550919148357985,0.544228980798434,0.456107473452643,0.430349160671424,0.458189361231274,0.365352289041029,0.564506679489478,0.52318623286167,0.46036092033533,0.560632746787081,0.510496833561205,0.519672151976313,0.560218662787129,0.469950322750389,0.466024221561843,0.364015195072124,0.354425792657065,0.458209636297411,0.242413279752335,0.321317400223389,0.446845416731724,0.560632746787081,0.643048884446729,0.258080067393859,0.492116199536831,0.3313208866384,0.317805383034794,0.355638047462761,0.327394785449854,0.4969813299576,0.523598253164859,0.396709503505848,0.373604597487183,0.231049060186648,0.325243501411935,0.21187025535653,0.340910289053459,0.20228085294147,0.234975161375194,0.12904003369693,0.29470047701613,0.244564563790254,0.152144939715594,0.21187025535653,0.198354751752924,0.30213859539327,0.142555537300535,0.281184973412524,0.21187025535653,0.327394785449854,0.2484906649788,0.298626578204676,0.175249845734259,0.188765349337865,0.175249845734259,0.105935127678265,0.152144939715594,0.115524530093324,0.105935127678265,0.0693147180559945,0.161734342130654,0.105935127678265,0.1656604433192,0.1656604433192,0.198354751752924,0.0231049060186648
"Cd34",0.236675384313149,0.240474837076258,0.272114490399217,0.249754903929541,0.285194010015609,0.314751775559937,0.316833663338568,0.272114490399217,0.262834423545934,0.262834423545934,0.365352289041029,0.393192489600878,0.419351528833663,0.495710355095973,0.40039066867553,0.497427920080451,0.503309260622192,0.497427920080451,0.41007146198038,0.648464411278006,0.417269641055032,0.525268120640301,0.656564388050334,0.544403396800625,0.581172284767875,0.54103985795701,0.578872522384977,0.762913599728552,0.68710741244614,0.793042540124405,0.676157276880405,0.70885158531413,0.680083378068952,0.646560901635324,0.635085820837318,0.619943978428064,0.716703787691222,0.63345948203167,0.743320710898481,0.69926218289907,0.666153790465394,1.03330453583882,0.815208416910846,0.739394609709935,0.802483464194484,0.840878690967382,0.862357258180399,0.850993038614713,0.845329737388199,0.785604421747264,0.766425616917146,0.819659463331664,0.777227274137901,0.666153790465394,0.88195014701047,0.869121952980289,0.947752847877871,1.05950737504613,0.729391123294924,0.796554557312999,0.823999648520162,0.911702620519031,0.874097944633378,0.883310880161145,0.862771342180351,0.878445749740376,0.729805207294875,0.961275971399975,0.734943563289117,0.850202487727469,1.06033554304603,0.813996162105151,0.858282678646874,0.850993038614713,0.835326250973188,0.856279872953934,0.927369408160555,0.910718354255648,0.86492262621827,0.800332180156565
"Plcl1",0.770351237497478,0.441711115303339,0.513762477287439,0.387711875510704,0.445109841614882,0.423150981596772,0.295790915401804,0.301672255943544,0.307553596485285,0.227395317459866,0.156517105287729,0.156517105287729,0.259034970782825,0.27708709297429,0.124877451964771,0.201236278227081,0.169596624904122,0.0801582790254193,0.182676144520514,0.20503573099019,0.111797932348378,0.182676144520514,0.12904003369693,0.115524530093324,0.175249845734259,0.12904003369693,0.12904003369693,0.0462098120373297,0.115524530093324,0.184839248149319,0.188765349337865,0.0693147180559945,0.142555537300535,0.0924196240746593,0.0693147180559945,0.0462098120373297,0.0924196240746593,0.0693147180559945,0.105935127678265,0.0693147180559945,0.0462098120373297,0.175249845734259,0.0924196240746593,0.138629436111989,0.11945063128187,0.0231049060186648,0.138629436111989,0.0462098120373297,0.0231049060186648,0.0693147180559945,0.146067554489129,0.0924196240746593,0,0.0693147180559945,0.0693147180559945,0.0462098120373297,0.0924196240746593,0.0366204096222703,0.0231049060186648,0.0231049060186648,0,0.12904003369693,0.0462098120373297,0.115524530093324,0.0693147180559945,0.0693147180559945,0.0462098120373297,0.0231049060186648,0.0231049060186648,0.0231049060186648,0.0924196240746593,0.0462098120373297,0.0231049060186648,0.0462098120373297,0.0924196240746593,0.0462098120373297,0.0597253156409352,0.0231049060186648,0.0693147180559945,0.0963457252632055
"Rora",1.04273013974199,0.729939528836337,0.629102824668308,0.70626310383375,0.707436253645714,0.557308500414826,0.605319114602185,0.668197694796537,0.512589327475475,0.555226612636195,0.497027193628885,0.477150221389407,0.519787506550127,0.378431808657421,0.426549707908315,0.523586959313236,0.406272009217271,0.448909294377991,0.387711875510704,0.236675384313149,0.249754903929541,0.454790634919731,0.317805383034794,0.275521672186011,0.21187025535653,0.242413279752335,0.321731484223341,0.258080067393859,0.234975161375194,0.146067554489129,0.240113517369436,0.188765349337865,0.0462098120373297,0.271595570997465,0.20228085294147,0.184839248149319,0.373604597487183,0.142555537300535,0.20228085294147,0.184839248149319,0.12904003369693,0.161734342130654,0.0693147180559945,0.161734342130654,0.188765349337865,0.105935127678265,0.0924196240746593,0.152144939715594,0.198354751752924,0.21187025535653,0.0828302216596,0.115524530093324,0.2484906649788,0.115524530093324,0.221459657771589,0.115524530093324,0.152144939715594,0.0597253156409352,0.0693147180559945,0.0924196240746593,0.12904003369693,0.12904003369693,0.0924196240746593,0.0462098120373297,0.0732408192445407,0.0462098120373297,0.0693147180559945,0.0231049060186648,0.0462098120373297,0.0963457252632055,0.0462098120373297,0.184839248149319,0.0462098120373297,0.0462098120373297,0.0462098120373297,0.0231049060186648,0.0693147180559945,0.105935127678265,0.0693147180559945,0.0693147180559945
"Mecom",1.84441064181385,1.60773210745289,1.56686888834242,1.54834887304763,1.5215381335788,1.65564209592426,1.53780388373296,1.37866835195964,1.46303418431441,1.55388927967488,1.44981097597707,1.53260622353962,1.38469338122233,1.23365689002477,1.18905106609509,1.39346543656051,1.53325463230436,1.19218538056134,1.37147017288499,1.49467383763737,1.21144836639072,1.34063934657984,1.27822139800738,1.44576751970953,1.41447199893164,1.25597644841611,1.28505549834742,1.2474127679566,1.12411170710401,1.07019817103456,1.29882272160982,1.23558538878029,1.0811406866818,0.971804403047258,1.12950178275705,1.16799973174786,0.921706106934042,0.810070060916604,0.976300686499236,0.991397291877329,0.837101068123815,0.834387221740965,0.909402858136133,0.977881788273724,0.950739919834192,1.21233200441665,0.990606740990085,1.10990889392698,0.916005188594869,0.644823701597356,0.877085016589701,0.965202072588522,0.679669294068999,0.702774200087664,0.99668412621655,0.677103926031129,1.04452027705953,0.754647313351507,0.901025710526769,0.76978915576076,0.83102368289735,0.507931465523334,0.747246812087027,0.860996525029724,0.768162816955113,0.629533380843124,0.62115623323376,0.887088503004711,0.667514523616069,0.661702744044577,0.527524354353405,0.666153790465394,0.656564388050335,0.469950322750389,0.644675223252377,0.471311055901064,0.585474852843713,0.623455995616658,0.543191141994929,0.415363363103696
"Rnf220",0.585957527992486,0.400791395127096,0.536666478929628,0.602027673354177,0.643031289714292,0.575504311327239,0.432431048450055,0.722340623310119,0.342992702571353,0.494029193768909,0.720515773262106,0.723914499573649,0.750982276773101,0.718941896998576,0.475068333610776,0.722340623310119,0.685477393627605,0.616424031503481,0.555226612636195,0.828657941568323,0.863188309687723,0.755954879348174,1.01612853670164,1.01621522942498,1.02810439422293,0.971279457814987,0.822912140942959,0.939797404186958,1.17140902671854,0.963841339437846,1.3144277236297,1.31356436601529,1.29721026880035,1.1093839486947,1.33220433961697,1.18557422278291,1.22694890159363,1.21854972897368,1.19211092904048,1.30988998448555,1.1593790034941,1.17262128152423,1.28599452757964,1.17912377185617,1.29180630715113,1.41488608293159,1.36798896132083,1.31012515555386,1.22577945632093,1.37018548238991,1.09655575466452,1.24707435557447,1.29112526365538,1.25545150318383,1.34828521125845,1.3749021344657,1.55078852525726,1.37482646284789,1.44490416209512,1.52746877809975,1.33913694344343,1.43135822390486,1.2378614200467,1.24638704600105,1.46826078777259,1.47741193767871,1.36362460762335,1.52096968895483,1.23196582984299,1.6266530969743,1.43395402652939,1.44798007027319,1.39113148445216,1.55099538803687,1.3602991232849,1.45269672234898,1.20456649476289,1.5481906301992,1.47914913771668,1.4294967140309
