"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",0.887516129032258,1.1281935483871,0.831516129032258,0.770354838709677,0.893161290322581,0.917322580645161,1.07290322580645,1.02125806451613,0.832064516129032,0.739967741935484,0.897290322580645,0.857290322580645,0.915161290322581,0.702645161290323,0.639709677419355,0.804258064516129,0.686193548387097,0.837,0.809709677419355,0.633129032258064,0.855387096774194,0.64341935483871,0.7164,0.629166666666667,0.654766666666667,0.660733333333333,0.8824,0.751866666666667,0.792766666666667,0.800233333333333,0.623533333333333,0.682733333333333,0.6194,0.761266666666667,0.688533333333333,0.812933333333333,0.674633333333333,0.7544,0.682166666666667,0.661366666666667,0.846233333333333,0.792533333333333,0.696766666666667,0.7602,0.708533333333333,0.767333333333333,0.798333333333333,0.773766666666667,0.821566666666667,0.5479,0.583833333333333,0.638833333333333,0.621966666666667,0.8629,0.742533333333333,0.771466666666667,0.599833333333333,0.769766666666667,0.728033333333333,0.837,0.6947,0.6888,0.692033333333333,0.6347,0.810733333333333,0.8403,0.695833333333333,0.7508,0.652933333333333,0.778966666666667,0.8086,0.745166666666667,0.782066666666667,0.905966666666667,0.610866666666667,0.734833333333333,0.627,0.737933333333333,0.798133333333333,0.597566666666667
"Cdk6",0.646677419354839,0.831612903225806,0.585,0.981129032258064,0.828774193548387,0.993387096774194,0.852354838709677,0.839451612903226,0.870935483870968,0.778354838709677,0.970161290322581,0.832741935483871,1.00696774193548,1.00309677419355,1.26854838709677,1.16767741935484,1.05883870967742,1.11929032258065,1.214,1.07625806451613,1.20741935483871,1.04041935483871,1.22073333333333,1.02223333333333,1.25173333333333,1.21476666666667,1.1413,1.20683333333333,1.2863,1.0478,1.1624,1.19426666666667,1.2688,1.265,1.44053333333333,1.41343333333333,1.5273,1.28566666666667,1.40293333333333,1.50156666666667,1.3979,1.54886666666667,1.5957,1.6132,1.6345,1.763,1.5881,1.5207,1.49256666666667,1.74203333333333,1.6401,2.0438,1.93363333333333,1.71243333333333,1.46093333333333,1.4747,1.48,1.41846666666667,1.5201,1.4242,1.55886666666667,2.03683333333333,1.5671,2.3285,1.39353333333333,1.86586666666667,1.58043333333333,1.66606666666667,1.6566,1.76826666666667,1.90253333333333,1.6804,1.72473333333333,1.5728,1.6816,2.00063333333333,1.97576666666667,1.89963333333333,1.6968,1.5689
"Il1rapl2",0.498677419354839,0.542258064516129,0.553387096774194,0.559354838709677,0.62,0.753870967741936,0.428774193548387,0.435387096774194,0.572645161290323,0.41441935483871,0.51841935483871,0.474354838709677,0.393290322580645,0.366709677419355,0.398806451612903,0.423709677419355,0.522032258064516,0.418064516129032,0.451774193548387,0.350967741935484,0.440322580645161,0.37441935483871,0.3982,0.400233333333333,0.554533333333333,0.464566666666667,0.531966666666667,0.269033333333333,0.379433333333333,0.405233333333333,0.352,0.363866666666667,0.311566666666667,0.540766666666667,0.387433333333333,0.4904,0.386433333333333,0.338133333333333,0.2975,0.433266666666667,0.448333333333333,0.392866666666667,0.4383,0.352266666666667,0.2937,0.3097,0.322433333333333,0.501533333333333,0.409366666666667,0.535533333333333,0.306266666666667,0.27,0.2711,0.4025,0.299533333333333,0.358133333333333,0.302166666666667,0.399,0.2769,0.549866666666667,0.2735,0.296633333333333,0.3755,0.353333333333333,0.361633333333333,0.3737,0.3476,0.4046,0.384466666666667,0.326466666666667,0.4384,0.4944,0.357533333333333,0.345866666666667,0.2392,0.448466666666667,0.295366666666667,0.367666666666667,0.329133333333333,0.428233333333333
"Gda",0.681870967741935,0.55758064516129,0.566935483870968,0.463129032258065,0.589451612903226,0.545903225806452,0.400129032258065,0.51441935483871,0.47858064516129,0.45358064516129,0.516322580645161,0.363193548387097,0.366935483870968,0.362709677419355,0.409548387096774,0.339387096774194,0.469193548387097,0.377709677419355,0.400806451612903,0.301709677419355,0.371096774193548,0.245677419354839,0.359133333333333,0.291833333333333,0.2378,0.386433333333333,0.2137,0.336666666666667,0.338566666666667,0.2922,0.243766666666667,0.252966666666667,0.266266666666667,0.3138,0.319266666666667,0.2714,0.202033333333333,0.3664,0.228066666666667,0.2237,0.2983,0.352833333333333,0.2958,0.245766666666667,0.182866666666667,0.259566666666667,0.226366666666667,0.2156,0.2323,0.2633,0.1678,0.2695,0.2211,0.258266666666667,0.162633333333333,0.2117,0.1666,0.2318,0.205066666666667,0.160066666666667,0.196566666666667,0.207166666666667,0.2554,0.246866666666667,0.1803,0.1839,0.185133333333333,0.154266666666667,0.187933333333333,0.1988,0.259733333333333,0.137866666666667,0.265033333333333,0.259566666666667,0.164833333333333,0.152233333333333,0.2458,0.209966666666667,0.181566666666667,0.197533333333333
"Trpc6",0.394645161290323,0.533258064516129,0.437322580645161,0.632096774193548,0.435645161290323,0.610870967741935,0.430806451612903,0.526741935483871,0.568548387096774,0.533709677419355,0.436741935483871,0.508387096774194,0.492677419354839,0.447870967741936,0.423,0.473709677419355,0.531774193548387,0.552354838709677,0.475193548387097,0.49,0.418225806451613,0.543451612903226,0.5195,0.419866666666667,0.502733333333333,0.359833333333333,0.444,0.457366666666667,0.3611,0.4882,0.4745,0.4341,0.480833333333333,0.370966666666667,0.491,0.484933333333333,0.4092,0.3576,0.606266666666667,0.350133333333333,0.324766666666667,0.400466666666667,0.344433333333333,0.4429,0.4851,0.347933333333333,0.313733333333333,0.4609,0.452733333333333,0.272933333333333,0.315366666666667,0.3832,0.361033333333333,0.3445,0.347333333333333,0.324366666666667,0.422066666666667,0.364433333333333,0.390966666666667,0.227933333333333,0.325733333333333,0.377233333333333,0.317,0.326,0.365166666666667,0.2619,0.335466666666667,0.3181,0.2749,0.394233333333333,0.276133333333333,0.310766666666667,0.264366666666667,0.289066666666667,0.357633333333333,0.3049,0.423433333333333,0.3745,0.249633333333333,0.366
"Cd34",0.244129032258065,0.22958064516129,0.422032258064516,0.238741935483871,0.268322580645161,0.356838709677419,0.356741935483871,0.33658064516129,0.462096774193548,0.429064516129032,0.353,0.438838709677419,0.429,0.349741935483871,0.399645161290323,0.35841935483871,0.358096774193548,0.51541935483871,0.545483870967742,0.338258064516129,0.453516129032258,0.643741935483871,0.559666666666667,0.493466666666667,0.454,0.468666666666667,0.611633333333333,0.587166666666667,0.4175,0.5749,0.753266666666667,0.638433333333333,0.595633333333333,0.545133333333333,0.522833333333333,0.6608,0.699066666666667,0.730233333333333,0.772066666666667,0.637133333333333,0.723766666666667,0.5819,0.611533333333333,0.496033333333333,0.625733333333333,0.6523,0.588533333333333,0.689,0.5497,0.799566666666667,0.547533333333333,0.5601,0.668466666666667,0.511333333333333,0.8343,0.9258,0.707866666666667,0.718266666666667,0.68,0.414033333333333,0.586333333333333,0.7083,0.711966666666667,0.698733333333333,0.822533333333333,0.699466666666667,0.772533333333333,0.7954,0.603633333333333,0.7657,0.9068,0.751566666666667,0.801366666666667,0.5871,0.763066666666667,0.9817,0.6979,0.721533333333333,0.759066666666667,0.6669
"Plcl1",0.95641935483871,1.02670967741935,1.13806451612903,0.946129032258064,1.29112903225806,0.89058064516129,0.952161290322581,0.900161290322581,0.796064516129032,0.817193548387097,0.873129032258064,0.860387096774194,0.90841935483871,0.563677419354839,0.653032258064516,0.749709677419355,0.708096774193548,0.613290322580645,0.634870967741936,0.628258064516129,0.814064516129032,0.628903225806452,0.764066666666667,0.5657,0.6185,0.657833333333333,0.8307,0.6532,0.617566666666667,0.6648,0.5325,0.602666666666667,0.6233,0.6811,0.6411,0.7144,0.611333333333333,0.726433333333333,0.630533333333333,0.665366666666667,0.662533333333333,0.647566666666667,0.617566666666667,0.612233333333333,0.5478,0.4817,0.651566666666667,0.6079,0.567366666666667,0.624366666666667,0.634233333333333,0.6666,0.525033333333333,0.564666666666667,0.5447,0.644533333333333,0.531166666666667,0.600166666666667,0.487366666666667,0.673233333333333,0.5872,0.5315,0.5605,0.485,0.689766666666667,0.460566666666667,0.585533333333333,0.633766666666667,0.565333333333333,0.571533333333333,0.727833333333333,0.566033333333333,0.540566666666667,0.540066666666667,0.6247,0.564933333333333,0.564433333333333,0.472466666666667,0.574566666666667,0.565233333333333
"Rora",2.25858064516129,2.46503225806452,2.47541935483871,2.56112903225806,2.58,2.31254838709677,2.40890322580645,2.56390322580645,2.37561290322581,2.34529032258065,2.39596774193548,2.27003225806452,2.2461935483871,2.37038709677419,2.31796774193548,2.40445161290323,2.16058064516129,2.49093548387097,2.28003225806452,2.14454838709677,2.12948387096774,2.59445161290323,2.25656666666667,2.28683333333333,2.0859,2.49993333333333,2.2195,2.42296666666667,1.95133333333333,2.21453333333333,2.34256666666667,2.36233333333333,2.40323333333333,2.41776666666667,2.4116,2.20416666666667,2.42973333333333,2.0831,2.284,2.0923,2.22523333333333,2.19096666666667,1.94036666666667,1.93286666666667,1.92266666666667,2.12743333333333,2.30676666666667,2.29576666666667,2.19013333333333,2.39233333333333,2.34116666666667,2.17983333333333,2.02083333333333,2.21833333333333,2.13523333333333,1.98433333333333,2.0187,2.11016666666667,1.99476666666667,2.2807,2.4372,2.2908,2.15983333333333,2.20676666666667,2.11076666666667,2.0845,2.1011,2.1091,2.25103333333333,1.86613333333333,2.2389,2.08056666666667,2.1446,1.86986666666667,1.75206666666667,1.9729,1.95063333333333,1.9767,1.92146666666667,1.79436666666667
"Mecom",3.09361290322581,2.85696774193548,2.87122580645161,2.68606451612903,2.84674193548387,2.68448387096774,2.70796774193548,2.85367741935484,2.24522580645161,2.66606451612903,2.65861290322581,2.63996774193548,2.67287096774194,2.24648387096774,2.79712903225806,2.54164516129032,2.44351612903226,2.20606451612903,2.38587096774194,2.45912903225806,2.39193548387097,2.48835483870968,2.1484,2.33063333333333,2.46683333333333,2.2153,2.6452,2.34013333333333,2.0595,2.53506666666667,2.35546666666667,2.2511,2.4075,2.28013333333333,2.1462,2.2394,2.0292,2.18076666666667,2.0825,2.3992,2.31003333333333,2.17763333333333,2.32453333333333,2.14173333333333,1.9424,1.85236666666667,2.1898,2.344,2.02956666666667,2.22303333333333,2.01563333333333,2.15786666666667,1.89613333333333,1.96103333333333,1.93386666666667,2.016,1.9704,2.2648,2.0808,1.9613,1.9544,1.85923333333333,1.9803,1.72036666666667,2.018,1.74373333333333,1.95453333333333,2.0566,1.78283333333333,1.82736666666667,1.6319,2.09516666666667,2.04976666666667,1.6827,1.82376666666667,1.99616666666667,1.58893333333333,1.61896666666667,1.66136666666667,1.3445
"Rnf220",1.48138709677419,1.22103225806452,1.31112903225806,1.32351612903226,1.59132258064516,1.55822580645161,1.31877419354839,1.61870967741935,1.36312903225806,1.60209677419355,1.47012903225806,1.43383870967742,2.04661290322581,1.46974193548387,1.53603225806452,1.6218064516129,1.47893548387097,1.69325806451613,1.57487096774194,1.74748387096774,2.02945161290323,1.64774193548387,1.57303333333333,1.40856666666667,2.0397,1.7294,1.70613333333333,1.66163333333333,1.78956666666667,1.59313333333333,1.79146666666667,1.64633333333333,1.89516666666667,1.6351,1.88256666666667,1.80103333333333,1.67846666666667,1.79633333333333,1.73086666666667,1.89376666666667,1.8618,2.07563333333333,1.9848,2.32503333333333,1.6262,2.18966666666667,1.8404,1.85356666666667,1.91036666666667,2.20736666666667,1.70816666666667,2.12443333333333,2.04273333333333,1.8976,1.82903333333333,1.9713,2.2494,1.97956666666667,1.8384,2.16856666666667,1.82716666666667,1.8594,1.94123333333333,1.90993333333333,2.04143333333333,2.0692,2.06306666666667,1.9082,2.221,1.88123333333333,1.8035,1.8096,1.7804,2.22746666666667,1.96233333333333,1.93716666666667,2.04706666666667,1.90013333333333,2.10803333333333,2.20333333333333
