"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",0.550919148357984,0.221513976918125,0.32403184241322,0.0223595864696756,0.137956971581163,0.134157518818054,0.0447191729393513,0.0894383458787026,0.0354391060860681,0.0447191729393513,0.0670787594090269,0.0801582790254193,0.0447191729393513,0.0223595864696756,0.0447191729393513,0.0894383458787026,0,0.0894383458787026,0.0447191729393513,0.0670787594090269,0.0223595864696756,0.0223595864696756,0,0,0.0231049060186648,0.0231049060186648,0.0462098120373297,0,0,0,0,0,0,0.0462098120373297,0.0231049060186648,0,0.0693147180559945,0.0231049060186648,0,0,0.0231049060186648,0.0462098120373297,0,0,0.0231049060186648,0.0462098120373297,0,0.0231049060186648,0,0.0231049060186648,0,0.0366204096222703,0,0,0,0,0.0462098120373297,0,0,0,0.0462098120373297,0,0,0.0231049060186648,0,0.0231049060186648,0,0.0231049060186648,0.0231049060186648,0,0,0,0.0231049060186648,0.0597253156409352,0,0.0231049060186648,0.0231049060186648,0.0231049060186648,0,0.0231049060186648
"Cdk6",0.374632355894312,0.436230501213165,0.521869394328758,0.680104064600966,0.516388780238584,0.394910054585356,0.368751015352571,0.461988813994383,0.359470948499288,0.727313225885192,0.41007146198038,0.653179976122461,0.691101696438727,0.594064445033806,0.658145204582856,0.601519661839076,0.506707986933735,0.586358254444053,0.575360622606291,0.94962865570645,0.747182824009992,1.02898548182874,0.588610403145015,1.07637879757485,1.02586641746168,0.822646535287987,0.975730504235804,0.927369408160556,1.09654186866835,1.07276353907243,1.24638704600105,1.15242777584407,1.07422751353693,1.00182248221079,0.993172109027956,0.972077628620731,1.08936935594618,1.01126340628087,0.96890402381427,1.22286043606393,1.15382996468692,1.17586007313936,1.32125420405123,1.12112463514768,1.08979105986463,1.07926262821735,1.31532529716975,1.06196188185168,1.21190978140229,1.33289164919039,1.3634270536677,1.03409508672606,1.31545004439824,1.2796515366982,1.42677524772955,1.18829909027128,1.1619304855358,1.1492431499321,1.34431335394283,0.96750183497142,1.13898794385829,1.42479394795128,1.33042952246634,1.31302553478685,1.35300948325273,1.25777277148141,1.16099145630357,1.0938280222855,1.37542707969798,1.31449712916984,1.36625938120137,1.33153091603972,1.2785564092025,1.34881015649072,1.20180357276936,1.40503107486156,1.3526981214707,1.41873651250232,1.3080119260211,1.41478284161777
"Il1rapl2",1.03395808440381,0.913280811653714,0.759353605659717,0.89573670097735,0.753872991569543,0.685985405142706,0.875459002286306,0.509455013009228,0.407989574201749,0.424467820129684,0.499001796343981,0.497427920080451,0.124877451964771,0.404590847890206,0.637874880006489,0.512589327475475,0.458189361231274,0.340510088341155,0.176794803978774,0.355671495736179,0.31972437813501,0.182676144520514,0.30213859539327,0.188765349337865,0.207944154167984,0.152144939715594,0.1656604433192,0.327394785449854,0.0693147180559945,0.0693147180559945,0.13647815207407,0.271595570997465,0.124588987276112,0.0828302216596,0.0231049060186648,0.115524530093324,0.159583058092735,0.161734342130654,0.146481638489081,0.105935127678265,0.0597253156409352,0.17309856169634,0.0693147180559945,0,0.0693147180559945,0.12904003369693,0.184839248149319,0.0963457252632055,0.138629436111989,0.0462098120373297,0.0231049060186648,0.161734342130654,0.0231049060186648,0.0924196240746593,0.0231049060186648,0.0462098120373297,0.0231049060186648,0.105935127678265,0.0924196240746593,0.11945063128187,0.0231049060186648,0.0693147180559945,0.115524530093324,0.0366204096222703,0.0462098120373297,0.115524530093324,0.0693147180559945,0,0.161734342130654,0.0462098120373297,0.0693147180559945,0.132966134885476,0,0.0693147180559945,0.0693147180559945,0.126139654463942,0.1656604433192,0.0924196240746593,0.11945063128187,0.221459657771589
"Gda",0.494029193768908,0.288592736327152,0.450991182156622,0.160316558050839,0.141355697892706,0.231194770222975,0.223595864696756,0.111797932348378,0.124877451964771,0.214315797843473,0.156517105287729,0.160316558050839,0.124877451964771,0.147237038434446,0.0577986925557437,0.0223595864696756,0.102517865495095,0.0670787594090269,0.0223595864696756,0.169596624904122,0.0223595864696756,0.0223595864696756,0,0.0231049060186648,0.0597253156409352,0.0462098120373297,0.0693147180559945,0.0693147180559945,0.0231049060186648,0,0,0.0231049060186648,0,0.0231049060186648,0.0366204096222703,0.0462098120373297,0.0231049060186648,0.0231049060186648,0.0231049060186648,0.0231049060186648,0,0,0,0.0462098120373297,0.0231049060186648,0.0462098120373297,0.0231049060186648,0.0693147180559945,0,0.0462098120373297,0.0231049060186648,0.0924196240746593,0.0693147180559945,0,0,0.0231049060186648,0.0231049060186648,0.0231049060186648,0.0231049060186648,0,0,0,0.0693147180559945,0,0.0231049060186648,0.0231049060186648,0,0.0366204096222703,0,0,0,0.0231049060186648,0.0231049060186648,0.0231049060186648,0.0231049060186648,0.0231049060186648,0.0828302216596,0,0.0231049060186648,0
"Trpc6",0.877176567270784,0.592747606500894,0.699981036840443,0.805646654862599,0.638783617973157,0.586358254444052,0.828657941568323,0.480949674152516,0.659061316664201,0.569987293579652,0.542147093019803,0.493628467317342,0.538347640256693,0.428267272892793,0.45859008768284,0.407989574201749,0.499509807859083,0.515988053787018,0.547119695594875,0.394910054585356,0.443428680287817,0.454790634919731,0.340910289053459,0.433329913128119,0.437256014316665,0.308215980619735,0.446845416731724,0.446845416731724,0.56750830281929,0.383193999902243,0.279033689374605,0.398070236656524,0.377530698675729,0.29470047701613,0.271595570997465,0.477802525127481,0.300363778242643,0.377116614675778,0.29470047701613,0.354425792657065,0.2484906649788,0.340910289053459,0.271595570997465,0.262006168582405,0.28511107460107,0.2484906649788,0.327394785449854,0.184839248149319,0.391046202279335,0.234975161375194,0.221459657771589,0.1656604433192,0.279033689374605,0.105935127678265,0.146067554489129,0.21187025535653,0.175249845734259,0.344836390242006,0.0693147180559945,0.340910289053459,0.1656604433192,0.225385758960135,0.20228085294147,0.242413279752335,0.115524530093324,0.304289879431189,0.254153966205313,0.234975161375194,0.352274508619146,0.138629436111989,0.234975161375194,0.11945063128187,0.234975161375194,0.336984187864913,0.0924196240746593,0.225385758960135,0.21187025535653,0.423740510713059,0.500493347146194,0.600765173597946
"Cd34",0.191956211373798,0.191956211373798,0.275913943162326,0.310952322796828,0.419351528833663,0.307553596485285,0.440029953976274,0.288993462778719,0.350190881646005,0.404590847890206,0.428631595686946,0.370832903131203,0.454790634919731,0.599945785575546,0.530240723215374,0.342992702571353,0.653945025368181,0.631986165350072,0.543720969283333,0.631221116104352,0.724823237540317,0.650546299056638,0.63074563564882,0.666153790465394,0.668305074503313,0.680083378068951,0.695336081710524,0.609415546780782,0.856693956953886,0.792894061779425,0.926008675009881,0.691409980521978,0.856279872953934,0.766011532917194,0.7114245732705,0.77737575248288,0.783039053709393,0.825736848558129,0.727091360912025,0.927745875047848,0.653999020012464,0.742906626898529,0.794817357275032,0.724141906068362,0.838838268161782,0.700622916049745,0.912493171406275,0.697110898861151,0.748984012124994,0.844953270500908,0.841403636199653,0.804258281345112,0.81399616210515,0.95247711987216,0.865869275368993,0.666153790465394,0.656564388050335,0.812221344954523,0.966931652707988,0.69926218289907,0.719801720879864,0.721428059685512,0.760348231690681,0.785190337747313,0.675743192880453,0.613866593201599,0.827511665708756,0.773449651294334,0.666153790465394,0.8770850165897,0.858845240991805,0.641274067296102,0.893314366576156,0.754122368119236,0.702774200087664,0.836162038891592,0.725879106106329,0.571582882352816,0.837366673778788,0.670493975653892
"Plcl1",0.764977908470839,0.515480042271916,0.605827126117287,0.454790634919731,0.433604198262019,0.334885785530033,0.288592736327152,0.169596624904122,0.186074870832057,0.249754903929541,0.151036491197555,0.111797932348378,0.0894383458787026,0.134157518818054,0.19915439044845,0.182676144520514,0.160316558050839,0.111797932348378,0.227395317459866,0.249754903929541,0.147237038434446,0.169596624904122,0.0924196240746593,0.105935127678265,0.0924196240746593,0.0462098120373297,0.1656604433192,0.0693147180559945,0.0693147180559945,0.12904003369693,0.0693147180559945,0.0462098120373297,0.0924196240746593,0.152144939715594,0.0462098120373297,0.0924196240746593,0.0924196240746593,0.0462098120373297,0.138629436111989,0.0462098120373297,0.0231049060186648,0.0462098120373297,0.0231049060186648,0.0231049060186648,0.0693147180559945,0.0693147180559945,0.188765349337865,0.0231049060186648,0.0231049060186648,0.138629436111989,0.0462098120373297,0.138629436111989,0.161734342130654,0.0231049060186648,0.0462098120373297,0.0924196240746593,0.0828302216596,0.0462098120373297,0.0231049060186648,0.105935127678265,0.138629436111989,0.0597253156409352,0.115524530093324,0.0693147180559945,0.115524530093324,0.0462098120373297,0.0462098120373297,0.0693147180559945,0.12904003369693,0.11945063128187,0.115524530093324,0.115524530093324,0.0462098120373297,0.0924196240746593,0.0693147180559945,0.0693147180559945,0.105935127678265,0.105935127678265,0.105935127678265,0.152144939715594
"Rora",1.19716535725109,0.828657941568323,0.817152298215461,0.52906757340341,0.739219595689621,0.937057147605159,0.654345751819747,0.525268120640301,0.477150221389407,0.45859008768284,0.773606275088073,0.352272769424636,0.394910054585356,0.348473316661527,0.441711115303339,0.346792155334462,0.231194770222975,0.525668847091867,0.419351528833663,0.2813945572525,0.2813945572525,0.208434457301733,0.258080067393859,0.0924196240746593,0.0924196240746593,0.175249845734259,0.0462098120373297,0.261067139350182,0.20228085294147,0.271595570997465,0.258080067393859,0.0924196240746593,0.175249845734259,0.21187025535653,0.198354751752924,0.175249845734259,0.138629436111989,0.175249845734259,0.1656604433192,0.152144939715594,0.0924196240746593,0.0597253156409352,0.0924196240746593,0.12904003369693,0.138629436111989,0.12904003369693,0.152144939715594,0.169586544507746,0.2484906649788,0.105935127678265,0.234975161375194,0.0828302216596,0.115524530093324,0.0366204096222703,0.12904003369693,0.0924196240746593,0.152144939715594,0.12904003369693,0.0924196240746593,0.12904003369693,0.179175946922806,0.0693147180559945,0.115524530093324,0.105935127678265,0.0366204096222703,0.12904003369693,0.0924196240746593,0.152144939715594,0.0924196240746593,0.0462098120373297,0.0924196240746593,0.0963457252632055,0.0693147180559945,0.198354751752924,0.0231049060186648,0.142555537300535,0.221459657771589,0.271595570997465,0.152144939715594,0.258080067393859
"Mecom",1.85506418968931,1.68375314984852,1.7050828976542,1.62294264179901,1.56985951408772,1.69373160860827,1.58751090982762,1.7343505132818,1.5373245608589,1.43714562087306,1.51166009508041,1.50540289591865,1.31158959255061,1.5421265985914,1.47201343566499,1.42536212761409,1.23482266572206,1.20829930369512,1.42803592309169,1.2352307662883,1.14001099081672,1.25230091991521,1.07113720026679,1.23517130478034,1.15423302758136,1.05573601828023,1.15018979908282,1.07773953072552,0.986680639801539,1.05237247943662,1.00370816059374,0.990271729794969,1.12085902949271,0.950474314179221,0.94303619580208,0.898452722570398,0.710212318464805,0.743742414816933,0.764650799766519,0.946134128990723,0.931671976236394,0.889809969306062,0.719801720879864,0.752496029313588,0.637385583220216,0.93559807742494,0.718862691647641,0.69454553082328,0.93344679338702,0.810070060916604,0.707912556081906,0.626443067572982,0.667514523616069,0.554555361560616,0.80655804372801,0.889388265387611,0.800894742501497,0.721428059685512,0.500493347146194,0.745893698854852,0.892900282576204,0.673066963610263,0.816561530143021,0.783304659364366,0.674005992842486,0.850202487727469,0.905742362602559,0.718440987729189,1.02436482588453,0.876145987357477,0.824797819325905,0.97609883210869,0.764547558452699,0.880220566891002,0.722788792836187,0.838313322929511,1.06328499788969,0.891539549425529,1.29029709565548,1.16537309718425
"Rnf220",0.527978319775319,0.592747606500894,0.704445627900415,0.44302795383625,0.603344511887089,0.545946545782912,0.751246688618398,0.899476361203384,0.588583830943632,0.992229537209757,0.833630544143396,0.852591404301528,0.620079795545642,0.869069650229464,0.772833851727676,0.716860009219945,0.884231057624488,1.04743833047177,0.873861737143114,1.18156639646402,1.18042269947786,1.15806311300818,1.05369559547463,1.45706995365357,0.875872761784004,1.03788032948813,1.04735887067087,1.07560213268378,1.40978534405001,1.23842398239163,1.26640163874957,1.14945458988392,1.21667980952364,1.30747309479266,1.22612073359372,1.30807711282976,1.35609927742697,1.22852373729044,1.38473511752516,1.53013686835554,1.11463316592127,1.04144384978556,1.21897957190654,1.21667980952364,1.37517536003918,1.37185327688774,1.32083198103688,1.24072374477453,1.33646885318765,1.29833923206972,1.30159952959952,1.18745228124735,1.36601947230567,1.51625303687904,1.20421419638458,1.26545498959885,1.2158816387179,1.23113434235947,1.44010421848302,1.11855926710981,1.18032500555635,1.04128148544441,1.20226673237999,1.22558190236528,1.06831249265162,1.26740703077566,1.12263384664334,1.21344101790852,1.4007699624779,1.30072228598894,1.27613189959111,1.43464133610281,1.23978471554231,1.00261303309804,1.03282104629872,1.09073008909686,0.924804040122685,0.990192656990133,1.0424937402501,1.33598196246053
