"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",1.05825806451613,0.993612903225806,0.972516129032258,0.830741935483871,0.838935483870968,0.793,0.708483870967742,0.703258064516129,0.611967741935484,0.836935483870968,0.796806451612903,0.932290322580645,0.949,0.66741935483871,0.689516129032258,0.850935483870968,0.894967741935484,0.732387096774194,0.769677419354839,0.634709677419355,0.526645161290323,0.674806451612903,0.654833333333333,0.632733333333333,0.699933333333333,0.7462,0.614533333333333,0.677633333333333,0.697866666666667,0.631666666666667,0.8282,0.693966666666667,0.866166666666667,0.732533333333333,0.717366666666667,0.721666666666667,0.7651,0.693466666666667,0.6255,0.756133333333333,0.774633333333333,0.644433333333333,0.772333333333333,0.6755,0.7123,0.601966666666667,0.799666666666667,0.7367,0.771266666666667,0.7104,0.7553,0.732033333333333,0.750566666666667,0.7931,0.545866666666667,0.794433333333333,0.774766666666667,0.704266666666667,0.823166666666667,0.734333333333333,0.7384,0.7607,0.6977,0.6919,0.8233,0.755333333333333,0.7334,0.8211,0.889133333333333,0.9465,0.701933333333333,0.8293,0.813633333333333,0.879633333333333,0.719533333333333,0.7535,0.8075,0.742333333333333,0.762366666666667,0.8157
"Cdk6",0.758387096774193,0.762451612903226,0.75941935483871,0.998258064516129,0.894709677419355,1.08954838709677,0.944806451612903,0.720096774193548,0.665258064516129,0.937322580645161,0.809290322580645,0.944903225806452,1.10396774193548,1.12429032258065,1.08764516129032,1.11038709677419,0.983838709677419,1.07148387096774,1.37196774193548,1.15322580645161,0.925193548387097,1.16096774193548,1.08153333333333,1.23183333333333,1.20903333333333,1.0667,1.21886666666667,1.2149,1.34746666666667,1.35936666666667,1.2785,1.25246666666667,1.7675,1.51823333333333,1.2666,1.6642,1.43303333333333,1.33486666666667,1.14796666666667,1.6801,1.99083333333333,1.425,1.3626,1.40273333333333,1.4941,1.41683333333333,1.6934,1.39076666666667,1.34266666666667,1.65863333333333,1.7954,1.58293333333333,1.54006666666667,1.8231,1.7553,1.84336666666667,1.64196666666667,1.7575,1.67773333333333,1.4833,1.76086666666667,1.70723333333333,1.6208,1.86763333333333,1.88033333333333,1.54366666666667,1.84026666666667,1.5853,1.81386666666667,1.57403333333333,1.54323333333333,1.8328,1.7089,1.46043333333333,1.7192,1.74033333333333,1.45423333333333,1.80613333333333,1.58176666666667,1.58083333333333
"Il1rapl2",0.515064516129032,0.535709677419355,0.462870967741935,0.421903225806452,0.445870967741936,0.361741935483871,0.581,0.53141935483871,0.544451612903226,0.300193548387097,0.589225806451613,0.32741935483871,0.398193548387097,0.377322580645161,0.451290322580645,0.449096774193548,0.467290322580645,0.385064516129032,0.290064516129032,0.338709677419355,0.499741935483871,0.435032258064516,0.3156,0.418066666666667,0.355233333333333,0.4374,0.4388,0.3961,0.356533333333333,0.442133333333333,0.3373,0.5769,0.395233333333333,0.4591,0.3603,0.366266666666667,0.4055,0.325466666666667,0.326533333333333,0.3458,0.3406,0.275433333333333,0.3182,0.361733333333333,0.271066666666667,0.3837,0.407166666666667,0.2495,0.3086,0.3412,0.4971,0.267866666666667,0.439833333333333,0.4097,0.285066666666667,0.367933333333333,0.286566666666667,0.443833333333333,0.3979,0.339733333333333,0.395966666666667,0.414466666666667,0.394133333333333,0.4341,0.466133333333333,0.4862,0.41,0.4415,0.369,0.392133333333333,0.4066,0.400533333333333,0.341433333333333,0.536166666666667,0.559833333333333,0.409033333333333,0.629533333333333,0.469166666666667,0.424633333333333,0.383933333333333
"Gda",0.555064516129032,0.648129032258065,0.581935483870968,0.516612903225806,0.446677419354839,0.370870967741935,0.456870967741935,0.340451612903226,0.297032258064516,0.371129032258065,0.48058064516129,0.380354838709677,0.505032258064516,0.349741935483871,0.372516129032258,0.343096774193548,0.341806451612903,0.316645161290323,0.368290322580645,0.251290322580645,0.278,0.250322580645161,0.332833333333333,0.252566666666667,0.282466666666667,0.335333333333333,0.375033333333333,0.256966666666667,0.300866666666667,0.205266666666667,0.200766666666667,0.246366666666667,0.197566666666667,0.256266666666667,0.3196,0.2449,0.228733333333333,0.177566666666667,0.177533333333333,0.230433333333333,0.2641,0.211133333333333,0.288233333333333,0.220866666666667,0.253033333333333,0.223566666666667,0.226866666666667,0.2194,0.152,0.286366666666667,0.266166666666667,0.2287,0.209266666666667,0.2228,0.197033333333333,0.215533333333333,0.193933333333333,0.287766666666667,0.186566666666667,0.287333333333333,0.2117,0.288633333333333,0.190333333333333,0.322366666666667,0.316766666666667,0.3087,0.276066666666667,0.311366666666667,0.2874,0.2942,0.2849,0.261733333333333,0.228633333333333,0.2575,0.280633333333333,0.339566666666667,0.329133333333333,0.282133333333333,0.234433333333333,0.258966666666667
"Trpc6",0.516225806451613,0.540290322580645,0.467290322580645,0.516096774193548,0.500322580645161,0.50558064516129,0.487548387096774,0.496838709677419,0.540322580645161,0.442096774193548,0.601645161290323,0.492161290322581,0.426709677419355,0.477322580645161,0.338322580645161,0.545193548387097,0.484806451612903,0.528645161290323,0.49558064516129,0.488451612903226,0.527741935483871,0.39141935483871,0.466933333333333,0.329766666666667,0.352266666666667,0.377866666666667,0.536,0.422766666666667,0.4311,0.449966666666667,0.396566666666667,0.395466666666667,0.3333,0.3671,0.432033333333333,0.320266666666667,0.387166666666667,0.333833333333333,0.4641,0.453,0.4021,0.310233333333333,0.3236,0.347,0.509933333333333,0.369233333333333,0.371033333333333,0.347566666666667,0.4108,0.445933333333333,0.303833333333333,0.468066666666667,0.368866666666667,0.369433333333333,0.3052,0.369933333333333,0.351733333333333,0.3296,0.2782,0.454333333333333,0.409833333333333,0.4418,0.2969,0.335933333333333,0.420866666666667,0.2719,0.404766666666667,0.423233333333333,0.2866,0.419733333333333,0.207166666666667,0.3047,0.2837,0.372766666666667,0.355166666666667,0.3093,0.5132,0.3754,0.385166666666667,0.436433333333333
"Cd34",0.292290322580645,0.249935483870968,0.295161290322581,0.52858064516129,0.302870967741935,0.309387096774194,0.314677419354839,0.353774193548387,0.468870967741935,0.439709677419355,0.344129032258065,0.445516129032258,0.460161290322581,0.395612903225806,0.316,0.342741935483871,0.525064516129032,0.427774193548387,0.518258064516129,0.617935483870968,0.386258064516129,0.542516129032258,0.5378,0.634933333333333,0.575333333333333,0.555033333333333,0.611233333333333,0.644533333333333,0.611033333333333,0.597433333333333,0.687833333333333,0.582633333333333,0.548333333333333,0.664433333333333,0.5815,0.8495,0.581066666666667,0.7178,0.678066666666667,0.749433333333333,0.659066666666667,0.483533333333333,0.745366666666667,0.682966666666667,0.666033333333333,0.6855,0.801833333333333,0.739766666666667,0.602966666666667,0.5867,0.5587,0.679533333333333,0.79,0.721966666666667,0.588266666666667,0.773333333333333,0.639066666666667,0.694333333333333,0.8045,0.5535,0.747,0.593966666666667,0.6078,0.5551,0.6696,0.697166666666667,0.779966666666667,0.630433333333333,0.835266666666667,0.669033333333333,0.5125,0.578866666666667,0.669833333333333,0.848966666666667,0.727233333333333,0.605433333333333,0.522,0.552733333333333,0.633566666666667,0.746033333333333
"Plcl1",1.34396774193548,1.04929032258065,0.925903225806452,0.834451612903226,0.869096774193548,0.829354838709677,0.820935483870968,0.786838709677419,0.880870967741935,0.933451612903226,0.918161290322581,1.02858064516129,0.844032258064516,0.683612903225806,0.738903225806452,0.697612903225806,0.815677419354839,0.617741935483871,0.546774193548387,0.609774193548387,0.688741935483871,0.736161290322581,0.5557,0.516566666666667,0.533233333333333,0.550733333333333,0.459633333333333,0.6287,0.614766666666667,0.663066666666667,0.585233333333333,0.662833333333333,0.635433333333333,0.469266666666667,0.695866666666667,0.523566666666667,0.767566666666667,0.709133333333333,0.653433333333333,0.577033333333333,0.611,0.456966666666667,0.690733333333333,0.462666666666667,0.502666666666667,0.531833333333333,0.8162,0.508633333333333,0.727666666666667,0.629633333333333,0.6215,0.5328,0.642666666666667,0.560933333333333,0.527333333333333,0.4908,0.572033333333333,0.820966666666667,0.648466666666667,0.636566666666667,0.625933333333333,0.6315,0.6237,0.537633333333333,0.6468,0.5819,0.685066666666667,0.6391,0.6073,0.590966666666667,0.580233333333333,0.5414,0.619733333333333,0.629766666666667,0.691866666666667,0.6712,0.663333333333333,0.6478,0.6163,0.6351
"Rora",2.48309677419355,2.34303225806452,2.3958064516129,2.65887096774194,2.40496774193548,2.23951612903226,2.38096774193548,2.14177419354839,2.24516129032258,2.22964516129032,2.21264516129032,2.62493548387097,2.53883870967742,2.28587096774194,2.31870967741935,2.29622580645161,2.29974193548387,2.08709677419355,2.25254838709677,2.40964516129032,1.77916129032258,2.21483870967742,2.46803333333333,2.0278,1.96436666666667,2.20316666666667,2.10126666666667,2.2944,2.1959,2.1209,2.32436666666667,2.4217,2.407,2.5615,2.24826666666667,2.27766666666667,2.20303333333333,2.11353333333333,2.06596666666667,2.2532,1.878,2.01806666666667,2.2168,2.0515,2.11326666666667,2.2604,2.06936666666667,1.9841,2.01196666666667,2.2077,2.36423333333333,2.1991,2.057,2.0457,2.4528,2.1086,2.18693333333333,2.2055,2.12316666666667,2.068,2.02876666666667,2.28556666666667,2.2117,2.3074,2.37743333333333,2.2992,2.2683,1.95863333333333,2.00886666666667,2.3269,2.28133333333333,2.14613333333333,2.23123333333333,1.88936666666667,2.135,1.9211,2.17346666666667,2.10853333333333,2.2707,2.34433333333333
"Mecom",2.76241935483871,2.86790322580645,2.86445161290323,3.06806451612903,2.582,2.46625806451613,2.64022580645161,2.78854838709677,2.49164516129032,2.5491935483871,2.89761290322581,2.76467741935484,2.54593548387097,2.72464516129032,2.39290322580645,2.69932258064516,2.4958064516129,2.51787096774194,2.48306451612903,2.38412903225806,2.55867741935484,2.12864516129032,2.4561,2.14636666666667,2.1781,2.0864,2.2935,2.5304,2.2185,2.28303333333333,2.14316666666667,1.97636666666667,2.338,2.0961,1.97283333333333,2.0799,2.09493333333333,2.21286666666667,2.0591,2.194,2.02453333333333,2.1327,2.14753333333333,2.2253,1.9155,2.0401,1.91693333333333,2.2067,1.90446666666667,2.01236666666667,1.97386666666667,1.87063333333333,1.77483333333333,1.874,1.96743333333333,1.654,1.95656666666667,2.1927,1.9959,1.8546,1.9884,1.97246666666667,1.9068,2.06403333333333,1.73713333333333,2.07266666666667,1.8514,1.9825,1.9128,1.80246666666667,1.79076666666667,1.86076666666667,1.97923333333333,1.8701,1.93396666666667,2.05593333333333,2.2187,2.49813333333333,2.33473333333333,2.22466666666667
"Rnf220",1.50412903225806,1.36793548387097,1.66767741935484,1.58212903225806,1.40793548387097,1.44912903225806,1.66806451612903,1.77683870967742,1.55803225806452,1.56067741935484,1.77729032258065,1.70738709677419,1.47977419354839,1.9258064516129,1.54825806451613,1.5491935483871,1.52867741935484,1.81496774193548,1.98096774193548,1.8621935483871,1.84174193548387,1.66925806451613,1.80056666666667,1.97483333333333,1.78283333333333,1.7075,1.55786666666667,1.65666666666667,1.7742,1.85303333333333,1.87733333333333,1.63456666666667,1.86773333333333,1.72073333333333,1.71946666666667,1.93496666666667,1.76476666666667,1.852,1.87643333333333,1.944,2.2901,1.73283333333333,1.8072,2.24293333333333,1.84853333333333,1.78353333333333,1.62933333333333,1.9767,1.9229,1.83116666666667,1.911,1.6997,1.8442,1.9164,1.89036666666667,2.18506666666667,2.10766666666667,1.87093333333333,2.50143333333333,1.82406666666667,1.86563333333333,1.84486666666667,1.67916666666667,2.1561,1.666,1.77653333333333,2.2689,1.7083,1.86556666666667,1.80376666666667,2.15646666666667,2.06653333333333,2.0208,1.78746666666667,1.87826666666667,1.76803333333333,1.61566666666667,1.78573333333333,1.71906666666667,1.7303
