"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",0,0.0433216987849966,0.0216608493924983,0,0.0649825481774948,0.0433216987849966,0.0343316340208784,0,0.0559924834133767,0.0216608493924983,0.0559924834133767,0.0433216987849966,0.0866433975699931,0.0216608493924983,0,0.077653332805875,0.0343316340208784,0.0866433975699931,0.0993141821983733,0.0216608493924983,0.0216608493924983,0.0649825481774948,0.0343316340208784,0.0433216987849966,0.0433216987849966,0.0433216987849966,0,0.0216608493924983,0.0649825481774948,0,0.0433216987849966,0,0,0.0216608493924983,0,0,0.0433216987849966,0.173396077667231,0.0223595864696756,0.0223595864696756,0,0,0.0223595864696756,0.0223595864696756,0.0223595864696756,0.0223595864696756,0,0.0223595864696756,0,0,0,0.0223595864696756,0,0,0,0,0,0,0,0,0.0670787594090269,0,0,0,0,0.0223595864696756,0.0223595864696756,0.0223595864696756,0.0223595864696756,0,0,0.0223595864696756,0,0,0,0.0223595864696756,0.0223595864696756,0,0,0
"Cdk6",0.462239276970988,0.474910061599368,0.624519178561307,0.393083872773977,0.530902545012745,0.640482479303994,0.53547074845581,0.611356257777672,0.783506564037319,0.862684589473488,0.694069930181867,0.561553459169361,0.74146055258108,0.627811694675614,0.826440059072361,0.67190980096052,0.747122835187773,0.600702301934841,0.766802121837841,0.800606353660346,0.631492414539876,0.834688982379688,0.643143660814629,0.834196846224433,0.792891976224986,0.909298804372792,0.947745370392895,0.806303902310157,0.707128918560202,0.880415713700188,0.998998730876968,1.02707762192865,0.729530909409491,0.902076563092686,0.978849555993353,0.903601255722981,1.1389734303497,1.08247671010627,0.981389032153756,1.02690359405011,1.03450249957632,0.979694432765879,0.868812612498846,0.931840945360281,0.979694432765879,0.997746554957344,0.86278020912148,1.004944734032,1.03029494624697,1.36350694456462,0.928950230563839,1.11167015285644,0.864945993083984,0.973161391988089,1.13778541431714,0.954708543345057,1.16709958019166,0.928041492597171,1.05671839732505,1.05595334807933,1.2879970637319,1.1644598391797,1.09828981773734,1.03815826361848,0.976295706454336,1.16734317986147,1.05083705678331,0.998254566472445,0.914189549620382,0.972760665536523,1.13322091230831,1.21927396993628,1.13322091230831,1.07633095771923,1.12799733594875,1.23991599142148,1.1982177839387,1.21586180556393,0.926467616333641,1.1568973373109
"Il1rapl2",0.189638299632628,0.176967515004248,0.16797745024013,0.12996509635499,0.12996509635499,0.245630783046005,0.077653332805875,0.0719557841560639,0.14263588098337,0.15530666561175,0.133645816219252,0.236252514531932,0.149609116961939,0,0.0433216987849966,0.220289213789245,0.120975031590872,0.0903241174342552,0.176967515004248,0.180260031118555,0.20712629300561,0.0649825481774948,0.279574213316929,0.120975031590872,0.0993141821983733,0.0649825481774948,0.0433216987849966,0.0866433975699931,0.133645816219252,0.0502949347635656,0.108304246962491,0.0936166335485622,0.102994902062635,0.077653332805875,0.0433216987849966,0,0.077653332805875,0.147237038434446,0.0577986925557437,0.0577986925557437,0.0801582790254193,0.0577986925557437,0.0223595864696756,0.0447191729393513,0.0354391060860681,0.0577986925557437,0.0577986925557436,0.0223595864696756,0,0.0223595864696756,0.0223595864696756,0.0801582790254193,0.0447191729393513,0.0223595864696756,0.0670787594090269,0.0801582790254193,0.0223595864696756,0.0447191729393513,0.0447191729393513,0.0447191729393513,0.0223595864696756,0.0447191729393513,0.124877451964771,0.0354391060860681,0.111797932348378,0.0223595864696756,0,0.0447191729393513,0.0223595864696756,0,0.0223595864696756,0.0223595864696756,0,0.0223595864696756,0.0223595864696756,0.0223595864696756,0.0670787594090269,0.0447191729393513,0.0447191729393513,0.0223595864696756
"Gda",0.164296730375868,0.14263588098337,0.0993141821983733,0.185957579768366,0.151625945747488,0.136938332333559,0.0993141821983733,0.120975031590872,0.16797745024013,0.0433216987849966,0.158599181726057,0.0993141821983733,0.0433216987849966,0.108304246962491,0.164296730375868,0.306932611359238,0.164296730375868,0.0993141821983733,0.176967515004248,0.12996509635499,0.164296730375868,0.133645816219252,0.171269966354437,0.15530666561175,0.146316600847632,0.0686632680417569,0.0216608493924983,0.108304246962491,0.185957579768366,0.0216608493924983,0.0649825481774948,0.0216608493924983,0.120975031590872,0.14263588098337,0.0649825481774948,0,0.151625945747488,0.102517865495095,0.0577986925557437,0.0447191729393513,0.0447191729393513,0,0.0932377986418118,0.11899611142303,0.0577986925557437,0,0.0670787594090269,0.0670787594090269,0.0447191729393513,0.0447191729393513,0.0223595864696756,0.0670787594090269,0.0447191729393513,0.0670787594090269,0.0894383458787026,0.0223595864696756,0.0447191729393513,0,0.0354391060860681,0,0,0.0670787594090269,0.0223595864696756,0,0.0447191729393513,0.0223595864696756,0.0223595864696756,0.0447191729393513,0.0223595864696756,0,0,0,0.0223595864696756,0.0223595864696756,0.102517865495095,0.0223595864696756,0.0223595864696756,0.0670787594090269,0,0.0894383458787026
"Trpc6",0.626536007346856,0.447551663557059,0.548882674540981,0.440190223828535,0.366605814636877,0.220289213789245,0.357227546122803,0.436897707714228,0.371915159536733,0.490873362342055,0.29794254659512,0.294261826730858,0.597021582070579,0.409927513421873,0.496570910991866,0.304915782573689,0.378888395515302,0.185957579768366,0.211299149025127,0.355210717337255,0.176967515004248,0.173286795139986,0.241950063181743,0.306932611359238,0.341264245380116,0.375595879400995,0.304915782573689,0.18064823486851,0.28527176196674,0.237777207162226,0.133645816219252,0.176967515004248,0.373579050615446,0.164296730375868,0.207618429160865,0.185957579768366,0.207618429160865,0.298273529632002,0.169596624904122,0.33371263571807,0.279312669473869,0.214315797843473,0.0447191729393513,0.169596624904122,0.111797932348378,0.134157518818054,0.111797932348378,0.156517105287729,0.169596624904122,0.191956211373798,0.0894383458787026,0.111797932348378,0.0670787594090269,0.0894383458787026,0.0447191729393513,0.124877451964771,0.0447191729393513,0.0894383458787026,0.0894383458787026,0.0354391060860681,0.102517865495095,0.0447191729393513,0.0447191729393513,0.0447191729393513,0.0447191729393513,0.0447191729393513,0.0894383458787026,0.0223595864696756,0.0577986925557437,0.0447191729393513,0.111797932348378,0.0670787594090269,0.134157518818054,0,0.132075631039423,0.0670787594090269,0.0670787594090269,0.0223595864696756,0.0354391060860681,0.0670787594090269
"Cd34",0.369898330751184,0.418917578185991,0.350254310144235,0.536211889912601,0.388266664029375,0.518231760384365,0.492890191127604,0.487192642477793,0.400937448657755,0.418917578185991,0.525204996362934,0.518231760384365,0.43856159879294,0.485175813692244,0.500251630856128,0.447551663557059,0.562829146498119,0.550546565619694,0.483900126363486,0.395239900007944,0.49126156609201,0.721816531974131,0.395239900007944,0.471229341735106,0.418917578185991,0.577904963662003,0.673538425996115,0.60969236669896,0.535858952205765,0.447551663557059,0.56852669514793,0.772111466737697,0.458558557106726,0.651877576603616,0.612236597682882,0.56852669514793,0.637189963189687,0.461988813994383,0.525668847091867,0.502908534170625,0.782621930096061,0.631986165350072,0.680104064600966,0.737902757156709,0.500826646391994,0.672905885526314,0.642583070736266,0.654345751819747,0.722741349761686,0.853500142268197,0.480949674152516,0.663225092221464,0.546347272234478,0.599945785575546,0.711379395129771,0.574187472794328,0.656026913146812,0.569987293579652,0.623622210578133,0.551427159873086,0.588948153737785,0.685985405142706,0.726540802524795,0.696983036980467,0.602027673354178,0.596146332812437,0.674222724059225,0.618906645733679,0.826432365068744,0.678022176822334,0.664942657205942,0.914697561135483,0.741702209919819,0.518069941565649,0.721424511228774,0.600346512027113,0.502908534170625,0.515988053787018,0.569880008516117,0.667024544984573
"Plcl1",0.319603395987618,0.29794254659512,0.267291632438503,0.077653332805875,0.173286795139986,0.363409600601864,0.211299149025127,0.176967515004248,0.198628364396747,0.198628364396747,0.198628364396747,0.185957579768366,0.164296730375868,0.133645816219252,0.194947644532485,0.111984966826753,0.12996509635499,0.127948267569441,0.164296730375868,0.194947644532485,0.164296730375868,0.0649825481774948,0.0993141821983733,0.245630783046005,0.151625945747488,0.12996509635499,0.0649825481774948,0.147453089727972,0.211299149025127,0.0686632680417569,0.133645816219252,0.0649825481774948,0.136938332333559,0.158599181726057,0.0216608493924983,0.0866433975699931,0.108304246962491,0.0932377986418118,0.111797932348378,0.0894383458787026,0.102517865495095,0,0.0670787594090269,0.0801582790254193,0.137956971581163,0.11899611142303,0.11899611142303,0.0447191729393513,0.0223595864696756,0.0223595864696756,0.0894383458787026,0.0670787594090269,0.0577986925557437,0.0577986925557437,0,0.0801582790254193,0.0447191729393513,0.0447191729393513,0.0354391060860681,0.0223595864696756,0.0447191729393513,0.0670787594090269,0.0670787594090269,0.0447191729393513,0.0670787594090269,0.0447191729393513,0.0577986925557437,0.0223595864696756,0.0447191729393513,0.0223595864696756,0.0447191729393513,0,0.0223595864696756,0.0670787594090269,0.0670787594090269,0.134157518818054,0.0223595864696756,0.0447191729393513,0,0.0223595864696756
"Rora",0.44057842757849,0.366217610886922,0.33595490048026,0.136938332333559,0.294261826730858,0.276281697202622,0.189638299632628,0.3106133312235,0.214591665139434,0.27260097733836,0.276281697202622,0.236252514531932,0.281591042102478,0.207618429160865,0.229279278553363,0.259930192709979,0.192930815746935,0.241950063181743,0.0649825481774948,0.214591665139434,0.108304246962491,0.0866433975699931,0.173286795139986,0.14263588098337,0.12996509635499,0.14263588098337,0.0559924834133767,0.11527748294106,0.232959998417625,0.0433216987849966,0.0993141821983733,0.185957579768366,0.254620847810123,0.120975031590872,0.077653332805875,0.0866433975699931,0.164296730375868,0.145155150655815,0.11899611142303,0.0447191729393513,0.115597385111487,0.0354391060860681,0.0447191729393513,0.124877451964771,0.124877451964771,0.111797932348378,0.169596624904122,0.0223595864696756,0.0447191729393513,0.0447191729393513,0.0447191729393513,0.0670787594090269,0.0670787594090269,0.0577986925557437,0,0.0223595864696756,0.0223595864696756,0.0447191729393513,0.147237038434446,0.0670787594090269,0.0801582790254193,0.102517865495095,0.0223595864696756,0,0,0.0670787594090269,0,0,0.0223595864696756,0.0447191729393513,0,0.0223595864696756,0.0447191729393513,0.0223595864696756,0.0801582790254193,0.0447191729393513,0.0447191729393513,0.0851308816004921,0.147237038434446,0
"Mecom",1.17900261302039,1.3164254511832,1.15203241872804,1.0875420067058,0.987091335627085,1.10301317129323,1.126933980325,1.06273498332101,1.12059795339792,0.928062485074532,0.999234718057093,1.15037885993575,1.0008986091358,0.911850179030308,1.07767160203647,0.865228820457411,0.949078981741945,0.722204735724086,0.929434961134996,0.925650308865435,0.867252792916553,0.806443100758575,1.08159545275445,0.904876943051739,0.858123529704017,0.786799080151626,0.915883836601406,0.528885716227196,0.888913642309052,0.89676721819283,0.763474339680415,0.763862543430369,0.795789144915744,0.718135812109869,0.598685473149292,0.711806928856385,0.69077741406756,0.713461282908402,0.543320242831766,0.564506679489478,0.709661830145293,0.724315226025216,0.575504311327239,0.670823997747682,0.573786746342762,0.6240229370297,0.637066052988679,0.586866265959154,0.674222724059225,0.387711875510704,0.61510719297057,0.651863137589549,0.512589327475475,0.611307740207461,0.664942657205942,0.43791166254023,0.567905405801021,0.475068333610776,0.579668086884502,0.573786746342762,0.540065205241171,0.577586199105871,0.618906645733679,0.346391428882896,0.53874836670826,0.425132958426546,0.493628467317342,0.484348400464059,0.508425551918212,0.48054894770095,0.441711115303339,0.454790634919731,0.356072222187745,0.288993462778719,0.316325651823467,0.275913943162326,0.285194010015609,0.223595864696756,0.20503573099019,0.147237038434446
"Rnf220",0.702172511367182,0.669116564675061,0.766766855794722,0.460222448185439,0.648980407912858,0.60855587781862,0.727514080623943,0.615140910047234,0.702172511367182,0.904093391878236,0.629087382004372,0.73650414538806,0.808855276967673,0.983410615762823,0.588031517306461,0.687484897953253,0.96337839140592,0.671521597210566,0.626536007346856,0.907774111742497,0.908162315492452,0.866372453011344,0.903740454171399,0.931847137344094,0.93477957207797,0.923106077881512,1.04711747661156,0.868133132821763,0.944906125722428,1.05777857612798,1.01343019531577,0.97403234724875,0.820250374267296,1.1293390128605,1.04524698994802,1.14747135895857,0.931355001188839,1.0190537147394,1.08616887780584,0.958651684829114,1.1190889660043,1.17414063248455,1.2382213920336,0.983350196808039,1.02730432050167,1.34852934430232,1.07764779625214,1.19639293389069,1.27705922443121,1.13991107986786,0.994090790915183,1.22215124667191,1.08875877709958,1.28203182700629,1.20552931202303,1.17362524685477,1.2664696931597,1.16277867785264,1.19898283318442,1.15112934577883,1.08652713665386,1.40561325261364,1.34129104681589,1.28136668870942,1.45461120119015,1.21083678456646,1.29824566108893,1.21038119147375,1.16186993988597,1.2014728215293,1.32400397387014,1.40791535118241,1.46584429439829,1.36705673371178,1.27857330815767,1.42510508988347,1.1833134142743,1.19897495671887,0.998254566472445,0.815979148403497
