"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",0.93171875,0.791,0.70078125,0.67225,0.86396875,0.75753125,0.64834375,0.70759375,0.85509375,0.7655625,0.73121875,0.89465625,0.731375,0.52053125,0.71959375,0.78484375,0.6583125,0.85171875,0.73684375,0.7360625,0.714875,0.86409375,0.71425,0.72871875,0.7986875,0.81903125,0.58215625,0.79759375,0.74353125,0.72365625,0.8339375,0.747375,0.800375,0.695875,0.77165625,0.53821875,0.6623125,0.763677419354839,0.797258064516129,0.845161290322581,0.668129032258065,0.67341935483871,0.700806451612903,0.642741935483871,0.773322580645161,0.618612903225806,0.506064516129032,0.704806451612903,0.731451612903226,0.683548387096774,0.697451612903226,0.644290322580645,0.640903225806452,0.68658064516129,0.645903225806452,0.716161290322581,0.709,0.642677419354839,0.686645161290323,0.588806451612903,0.768548387096774,0.660032258064516,0.599129032258065,0.593516129032258,0.549451612903226,0.630032258064516,0.78141935483871,0.629322580645161,0.595225806451613,0.615032258064516,0.606548387096774,0.631225806451613,0.53841935483871,0.687806451612903,0.603774193548387,0.589870967741935,0.657451612903226,0.626290322580645,0.706774193548387,0.583
"Cdk6",0.75640625,0.75203125,0.933375,1.011,1.04796875,1.191875,1.06003125,0.9970625,1.1614375,1.48821875,1.22778125,0.89821875,1.23675,1.4239375,1.065625,1.12496875,1.150375,1.27453125,1.2761875,1.28725,1.272625,1.4238125,1.09025,1.2134375,1.31940625,1.671875,1.75853125,1.555125,1.26246875,1.70075,1.60896875,1.5193125,1.46903125,1.72490625,1.72678125,2.00246875,1.74521875,1.8158064516129,1.58703225806452,1.59767741935484,1.778,1.72129032258065,1.45112903225806,1.51674193548387,1.56564516129032,1.68245161290323,1.35390322580645,1.39545161290323,2.07135483870968,1.78974193548387,1.6978064516129,1.62135483870968,1.56022580645161,1.59529032258065,1.70335483870968,1.76664516129032,1.48490322580645,1.60270967741935,1.57506451612903,1.50622580645161,1.77787096774194,1.83029032258065,1.37222580645161,1.72274193548387,1.49441935483871,1.59048387096774,1.79309677419355,1.94822580645161,1.91548387096774,1.68148387096774,1.78461290322581,1.92887096774194,1.81051612903226,1.52503225806452,1.85303225806452,1.98916129032258,1.96112903225806,1.91235483870968,1.8718064516129,2.43245161290323
"Il1rapl2",0.4900625,0.40915625,0.39571875,0.45725,0.44525,0.3364375,0.3991875,0.370125,0.4791875,0.32953125,0.61509375,0.38478125,0.47140625,0.552875,0.383375,0.53003125,0.44321875,0.4781875,0.43271875,0.4131875,0.51153125,0.37584375,0.4461875,0.41521875,0.34909375,0.39365625,0.25803125,0.36971875,0.34703125,0.43340625,0.2595,0.35115625,0.3905625,0.29978125,0.37703125,0.41640625,0.347625,0.268516129032258,0.290225806451613,0.456225806451613,0.360935483870968,0.324451612903226,0.450129032258065,0.412129032258065,0.448677419354839,0.279290322580645,0.316806451612903,0.321225806451613,0.344548387096774,0.316677419354839,0.264774193548387,0.363612903225806,0.367677419354839,0.357709677419355,0.248290322580645,0.267709677419355,0.385516129032258,0.274645161290323,0.275,0.349838709677419,0.320096774193548,0.310258064516129,0.303096774193548,0.330225806451613,0.379451612903226,0.329354838709677,0.358451612903226,0.381387096774194,0.293096774193548,0.330709677419355,0.506290322580645,0.369161290322581,0.348225806451613,0.387548387096774,0.251903225806452,0.291870967741935,0.385967741935484,0.431903225806452,0.194,0.339354838709677
"Gda",0.35515625,0.39834375,0.28896875,0.53515625,0.54771875,0.3884375,0.3590625,0.60621875,0.464875,0.39,0.3644375,0.47190625,0.423125,0.2895,0.30990625,0.5970625,0.42365625,0.43896875,0.4814375,0.29034375,0.3384375,0.40278125,0.27359375,0.3255,0.46459375,0.3680625,0.29090625,0.3676875,0.46803125,0.311,0.30003125,0.2666875,0.351125,0.4088125,0.27928125,0.242,0.3950625,0.258290322580645,0.30341935483871,0.265064516129032,0.251322580645161,0.254967741935484,0.212612903225806,0.346322580645161,0.222612903225806,0.21741935483871,0.184129032258065,0.263451612903226,0.234387096774194,0.236870967741935,0.228064516129032,0.301903225806452,0.243838709677419,0.187483870967742,0.171064516129032,0.179612903225806,0.142548387096774,0.232741935483871,0.204129032258065,0.263645161290323,0.266967741935484,0.285548387096774,0.228225806451613,0.253935483870968,0.293193548387097,0.192483870967742,0.215612903225806,0.282387096774194,0.18058064516129,0.227451612903226,0.226967741935484,0.203741935483871,0.209322580645161,0.148709677419355,0.201258064516129,0.229677419354839,0.255096774193548,0.245129032258065,0.174451612903226,0.393129032258065
"Trpc6",0.48071875,0.49109375,0.57440625,0.4933125,0.497375,0.4495,0.49184375,0.5318125,0.50096875,0.43084375,0.3523125,0.81903125,0.45440625,0.41165625,0.4209375,0.42990625,0.46834375,0.3918125,0.46015625,0.4114375,0.4858125,0.35390625,0.39609375,0.5190625,0.43153125,0.4279375,0.3858125,0.35946875,0.50034375,0.35,0.29984375,0.27825,0.47384375,0.3900625,0.26628125,0.25496875,0.45090625,0.531967741935484,0.364967741935484,0.273741935483871,0.311677419354839,0.30341935483871,0.314451612903226,0.32358064516129,0.316516129032258,0.289096774193548,0.283225806451613,0.27758064516129,0.288903225806452,0.274225806451613,0.231612903225806,0.180387096774194,0.265258064516129,0.282645161290323,0.200612903225806,0.233193548387097,0.205806451612903,0.194322580645161,0.173193548387097,0.193193548387097,0.215774193548387,0.221612903225806,0.185967741935484,0.244741935483871,0.293516129032258,0.221193548387097,0.163806451612903,0.220516129032258,0.16041935483871,0.190290322580645,0.322,0.246838709677419,0.118225806451613,0.184806451612903,0.247451612903226,0.244225806451613,0.211645161290323,0.129290322580645,0.151322580645161,0.105258064516129
"Cd34",0.4938125,0.40759375,0.48725,0.38790625,0.41896875,0.4036875,0.5115625,0.26209375,0.392,0.5500625,0.49171875,0.4598125,0.5553125,0.66925,0.4979375,0.46959375,0.4721875,0.51359375,0.47659375,0.6026875,0.533375,0.466625,0.4558125,0.44659375,0.5305625,0.5545625,0.754875,0.48025,0.552875,0.591375,0.6848125,0.63703125,0.540625,0.76540625,0.5171875,0.674375,0.57465625,0.428193548387097,0.724354838709677,0.55541935483871,0.473806451612903,0.536354838709677,0.710258064516129,0.680903225806452,0.601387096774194,0.50158064516129,0.434709677419355,0.50958064516129,0.567774193548387,0.69958064516129,0.684354838709677,0.802096774193548,0.686741935483871,0.551774193548387,0.748967741935484,0.70341935483871,0.57,0.556451612903226,0.756709677419355,0.571870967741936,0.659838709677419,0.638709677419355,0.54441935483871,0.761290322580645,0.706387096774194,0.696,0.754193548387097,0.668903225806452,0.559064516129032,0.662193548387097,0.575516129032258,0.706935483870968,0.544709677419355,0.665838709677419,0.590483870967742,0.633516129032258,0.605612903225807,0.901322580645161,0.670774193548387,0.784967741935484
"Plcl1",0.78928125,0.69853125,0.779125,0.63228125,0.7625,0.93259375,0.9243125,0.82396875,0.91028125,0.7648125,0.700375,0.92403125,0.92625,0.6176875,0.68734375,0.86840625,0.60234375,0.813625,0.7685625,0.65359375,0.810125,0.64084375,0.70590625,0.75103125,0.82465625,0.5823125,0.66540625,0.71009375,0.57028125,0.6836875,0.62465625,0.62909375,0.7475625,0.74134375,0.5446875,0.5569375,0.64271875,0.543,0.728516129032258,0.545096774193548,0.609516129032258,0.550322580645161,0.604967741935484,0.692451612903226,0.594806451612903,0.644677419354839,0.580064516129032,0.450806451612903,0.489935483870968,0.550903225806452,0.476677419354839,0.592967741935484,0.595322580645161,0.37941935483871,0.412612903225806,0.575516129032258,0.628548387096774,0.560967741935484,0.49441935483871,0.511129032258064,0.519806451612903,0.596806451612903,0.532290322580645,0.647032258064516,0.605161290322581,0.543548387096774,0.468516129032258,0.408032258064516,0.473032258064516,0.667483870967742,0.598161290322581,0.518096774193548,0.445741935483871,0.553032258064516,0.555032258064516,0.486483870967742,0.437903225806452,0.605483870967742,0.541483870967742,0.64858064516129
"Rora",2.23665625,2.2716875,2.2879375,2.0866875,2.3484375,2.44846875,2.17146875,2.0486875,2.36675,2.25575,2.11465625,2.33096875,2.0658125,2.0689375,2.1346875,2.0229375,2.2565,2.367875,2.2335,2.26978125,2.3013125,2.4173125,1.94078125,2.11365625,2.11328125,2.12409375,2.35746875,1.8384375,1.95621875,2.19040625,1.90528125,2.1313125,2.0516875,1.98659375,2.09921875,1.97484375,2.01634375,1.87867741935484,2.20274193548387,1.98241935483871,2.0531935483871,1.9978064516129,1.87216129032258,1.984,2.08948387096774,2.1741935483871,1.95187096774194,1.74938709677419,2.09674193548387,2.13090322580645,1.80558064516129,2.00087096774194,2.01083870967742,1.93974193548387,1.98167741935484,1.97203225806452,1.81216129032258,1.80664516129032,1.98132258064516,1.60983870967742,1.97535483870968,1.89961290322581,1.73232258064516,1.83438709677419,1.83712903225806,1.79832258064516,1.77458064516129,1.75693548387097,1.87129032258065,1.9021935483871,1.86751612903226,1.63458064516129,1.63490322580645,1.89187096774194,1.94538709677419,1.82248387096774,1.53751612903226,1.847,1.76993548387097,2.11806451612903
"Mecom",2.40040625,2.50896875,2.83325,2.58884375,2.834625,2.85121875,2.6234375,2.22646875,2.61978125,2.52003125,2.56659375,2.71559375,2.683625,2.4055,2.4075,2.9380625,2.2780625,2.62625,2.47003125,2.2871875,2.12628125,2.134,2.31496875,2.493625,2.28221875,2.3726875,2.18559375,2.098125,2.3005625,2.2435,2.28934375,2.4811875,2.402125,2.0679375,1.9344375,2.08903125,2.354,2.25029032258064,2.1308064516129,1.87535483870968,1.99664516129032,1.9981935483871,1.85164516129032,1.86393548387097,2.29767741935484,2.11829032258065,1.9461935483871,1.90493548387097,1.812,1.92487096774194,1.97529032258065,1.85722580645161,1.93329032258065,1.628,1.83761290322581,1.789,1.85493548387097,1.46854838709677,1.88135483870968,1.83741935483871,1.67545161290323,1.771,1.54632258064516,1.42283870967742,1.582,1.67993548387097,1.75958064516129,1.62545161290323,1.69596774193548,1.38293548387097,1.41348387096774,1.50551612903226,1.38822580645161,1.62245161290323,1.4231935483871,1.46935483870968,1.50354838709677,1.42551612903226,1.11645161290323,1.29032258064516
"Rnf220",1.2586875,1.620875,1.6461875,1.5598125,2.03328125,1.5994375,1.97746875,1.4699375,1.82871875,1.45528125,1.72965625,1.59478125,1.67909375,1.72809375,1.54140625,1.7044375,1.67925,1.74453125,1.74671875,1.8689375,1.68390625,1.91590625,1.77275,1.87609375,1.5451875,1.81265625,1.96115625,1.89990625,2.05921875,1.851875,1.8059375,1.98296875,1.93315625,1.99746875,1.859625,1.81909375,1.8278125,1.83709677419355,1.84051612903226,1.95738709677419,2.13561290322581,1.94425806451613,1.91512903225806,1.86916129032258,1.92787096774194,1.87148387096774,1.93822580645161,1.84783870967742,2.24029032258065,2.03016129032258,1.95025806451613,2.068,1.85709677419355,1.85493548387097,2.06848387096774,1.97664516129032,1.85503225806452,1.95116129032258,2.22709677419355,2.06851612903226,2.0138064516129,2.08035483870968,2.03109677419355,1.98496774193548,2.25590322580645,2.00825806451613,1.99245161290323,2.30306451612903,2.10274193548387,1.92174193548387,1.96606451612903,2.19970967741935,2.26690322580645,2.18358064516129,2.32090322580645,2.22116129032258,2.06548387096774,2.20164516129032,2.28274193548387,1.71667741935484
