"","Chrm3","Cdk6","Il1rapl2","Gda","Trpc6","Cd34","Plcl1","Rora","Mecom","Rnf220","Dock10","Sult1a1","Magi2","Dlg2","H2afy","Slco3a1","Tox","Itsn1","Txnip","Plxdc2","Flt3","Slc22a3","Pbx1","Mmrn1","2610307P16Rik","Maml3","Ptpre","Eya4","Mdga1","Prkg1","Mllt3","Arhgap15","Sox4","Tespa1","Med12l","Satb1","Pitpnc1","Clnk","Exoc6b","Mpl","Fam117a","Alcam","St3gal1","Vav3","Pan3","Top2a","Sgms1","Tbxas1","Rad51b","Stmn1","Dnmt1","Ncam2","Abcg3","Prdm16","C530008M17Rik","Airn","Tgm2","Plac8","Samd12","Nbea","Vwf","Hacd4","Pdgfd","Cavin2","Mpo","Atp8b4","Grb10","Sell","Plxnc1","Lhcgr","9530026P05Rik","Myof","Kcnb2","Slc9a9","BC035044","Hdac9","Pdzk1ip1","Csgalnact1","Cacnb2","Car2","Cysltr2","Apoe","Tgfbr3","Neat1","Irf2bp2","Nfia","Parp8","Cmtm7","Plscr4","Pard3b","Dst","Adgrg3","Tmsb10","Prkn","Dennd4a","Hlf","Ifitm1","Clec2d","Ikzf2","Oxr1","Meis1","Pcdh7","Slc18a2","Dach1"
"Chrm3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119700748129676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.339152119700748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cdk6",0,0,0,0,0,0,0,-0.673316708229426,-0.970074812967581,0.917705735660848,0.917705735660848,0,0,0,0,0.748129675810474,0,0,-0.905236907730673,0,0,0,-0.935162094763092,0,0,0.820448877805486,0,0,0,0,-0.628428927680798,0,0,0.713216957605985,0,0,0,0,-0.930174563591022,0,0,-0.640897755610973,0,0,0,0,0,0,0.940149625935162,0,0,0,0,-0.940149625935162,0,0.27431421446384,0,0.912718204488778,0,0,0,0,0,0,0.57356608478803,0.945137157107232,0,0.521197007481297,0,-0.790523690773067,0,0,0,0,0,0,-0.755610972568579,0,0,-0.28428927680798,0,0,0,-0.927680798004987,0,0,0,0,0,0,0,0,0,0,0,-0.917705735660848,0,0,0,-0.314214463840399,-0.86783042394015,0,0,0
"Il1rapl2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.349127182044888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314214463840399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201995012468828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870324189526185,0,0,0,0,0,0,0,0,0
"Gda",0,0,0,0,0,0,0,0,0,-0.755610972568579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.503740648379052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391521197007481,0
"Trpc6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154613466334165,0,0,0,0,0,0,0,0.660847880299252,0,0,0,0,0,0,0,0,0,0,-0.0623441396508728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296758104738155,0,0,0,0,0,0,0,0,-0.251870324189526,0.84788029925187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633416458852868,0,0,0,0,0,0,0,0.104738154613466,0,0,0,0,0,0,-0.86783042394015,0,0,0,0,0,0,0,0,0.955112219451372,0.965087281795511,0
"Cd34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27431421446384,0,0,0,0,0,0,0,0,0,0,-0.241895261845387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571072319201995,0.0798004987531172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197007481296758,0,0
"Plcl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221945137157107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43640897755611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rora",0,0,0,0,0,0,0,0,0,0,-0.536159600997506,0,0,0,0,-0.448877805486284,0,0,0,0,-0.603491271820449,0,0.807980049875312,0,0,-0.14214463840399,-0.832917705735661,0,0,0,0,0,0,-0.339152119700748,0,-0.349127182044888,0,-0.214463840399002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41645885286783,0,0,0,0,0,0,0,0,0.790523690773067,0.389027431421446,0,0,0,0,0,0,0,0,0,0,0,0.0822942643391521,0,0,0,0,0,0,0,0,0,-0.685785536159601,0,0.793017456359102,0.354114713216958,0,0,0,0,0,0,0,0
"Mecom",0,0,0,0.251870324189526,0.668329177057357,-0.0149625935162095,0,0,0,0,0,0,0,0,0,0,0,0,0.678304239401496,0.822942643391521,-0.70573566084788,-0.057356608478803,0,0,-0.501246882793017,0,0,0,0,0.14713216957606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rnf220",0,0,0,0,0,0,0,0,0,0,0.0723192019950125,0,0,0,0,0,0,0,0,0,0.935162094763092,0,0,0,0.773067331670823,0.56857855361596,0,0,0,-0.516209476309227,0,0,0,0,0,0.493765586034913,0,0,0,-0.945137157107232,0.408977556109726,0,-0.698254364089776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.625935162094763,-0.423940149625935,-0.154613466334165,0,0,-0.897755610972569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0947630922693267,0
