"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",0.66278125,0.75221875,0.66521875,0.7104375,0.58421875,0.734375,0.734375,0.61028125,0.718875,0.87996875,0.717875,1.001125,0.617875,0.72575,0.72578125,0.7239375,0.81815625,0.7958125,0.70565625,0.625625,0.848,0.60809375,0.64234375,0.68590625,0.73496875,0.85434375,0.634125,0.79903125,0.61409375,0.6753125,0.56165625,0.66940625,0.54565625,0.71584375,0.66334375,0.58553125,0.72628125,0.733258064516129,0.693612903225806,0.700677419354839,0.561806451612903,0.788548387096774,0.679387096774194,0.627709677419355,0.842161290322581,0.709387096774194,0.550258064516129,0.675032258064516,0.74058064516129,0.624032258064516,0.525548387096774,0.699193548387097,0.746677419354839,0.522870967741935,0.695129032258065,0.693806451612903,0.658096774193548,0.642838709677419,0.655548387096774,0.807516129032258,0.549225806451613,0.777645161290323,0.849838709677419,0.721,0.63341935483871,0.71,0.624258064516129,0.825903225806452,0.609387096774194,0.558903225806452,0.775193548387097,0.737258064516129,0.855774193548387,0.625258064516129,0.644903225806452,0.764096774193548,0.810451612903226,0.777290322580645,0.817548387096774,0.749387096774194
"Cdk6",0.79925,0.93709375,1.29753125,1.1483125,1.09434375,1.20890625,1.211375,1.29284375,1.182375,1.22790625,1.23028125,1.30259375,1.53146875,1.35284375,1.4435,1.0844375,1.26328125,1.16915625,1.33471875,1.30253125,1.56821875,1.4955625,1.5980625,1.63646875,1.2069375,1.68153125,1.356875,1.28678125,1.3411875,1.3856875,1.55603125,1.42171875,1.2765,1.35815625,1.4055,1.81125,1.48909375,1.43393548387097,1.49467741935484,1.69025806451613,1.64741935483871,1.46425806451613,1.79561290322581,1.50938709677419,1.42467741935484,1.47522580645161,1.41051612903226,1.71245161290323,1.64716129032258,1.686,1.70716129032258,1.53364516129032,1.42283870967742,1.57409677419355,1.68716129032258,1.59735483870968,1.61009677419355,1.57948387096774,1.67867741935484,1.27938709677419,1.61061290322581,1.89509677419355,1.79745161290323,1.97745161290323,1.72532258064516,1.62012903225806,1.55464516129032,1.65332258064516,1.95554838709677,2.04612903225806,1.88748387096774,1.95748387096774,1.77838709677419,1.83922580645161,1.93687096774194,1.76096774193548,1.81509677419355,1.81403225806452,1.72274193548387,2.33754838709677
"Il1rapl2",0.45046875,0.45178125,0.35584375,0.35109375,0.63128125,0.24809375,0.352625,0.3148125,0.405375,0.3998125,0.35575,0.33465625,0.27196875,0.374375,0.52446875,0.43609375,0.2433125,0.4708125,0.32078125,0.273875,0.389375,0.34259375,0.419875,0.27071875,0.38075,0.35659375,0.3641875,0.38071875,0.426875,0.29925,0.2940625,0.29490625,0.28190625,0.43734375,0.35675,0.25453125,0.3475,0.393451612903226,0.290838709677419,0.356258064516129,0.449032258064516,0.332516129032258,0.320258064516129,0.38541935483871,0.345064516129032,0.398967741935484,0.388193548387097,0.328451612903226,0.341548387096774,0.429161290322581,0.346258064516129,0.328322580645161,0.378322580645161,0.459548387096774,0.315677419354839,0.351903225806452,0.386838709677419,0.515258064516129,0.385548387096774,0.338,0.391,0.29358064516129,0.449741935483871,0.341838709677419,0.344741935483871,0.45141935483871,0.283774193548387,0.317032258064516,0.384806451612903,0.363677419354839,0.470290322580645,0.419838709677419,0.449806451612903,0.330935483870968,0.328870967741935,0.40758064516129,0.325870967741935,0.618516129032258,0.408903225806452,0.387870967741936
"Gda",0.37853125,0.498125,0.3923125,0.3615625,0.4206875,0.35228125,0.39921875,0.47796875,0.4251875,0.38053125,0.3548125,0.4124375,0.2369375,0.317875,0.29115625,0.25153125,0.2924375,0.39853125,0.37784375,0.374375,0.36753125,0.3343125,0.3255625,0.37040625,0.26746875,0.2545,0.33053125,0.3005625,0.3313125,0.3091875,0.265375,0.329875,0.16103125,0.40925,0.28271875,0.25990625,0.314375,0.275645161290323,0.258774193548387,0.295806451612903,0.394774193548387,0.264258064516129,0.205290322580645,0.22258064516129,0.268516129032258,0.301709677419355,0.279935483870968,0.297967741935484,0.250322580645161,0.249838709677419,0.248193548387097,0.227838709677419,0.197677419354839,0.310903225806452,0.230967741935484,0.304903225806452,0.441903225806452,0.206032258064516,0.304258064516129,0.240645161290323,0.206225806451613,0.283225806451613,0.251129032258065,0.251225806451613,0.317322580645161,0.327354838709677,0.252516129032258,0.222870967741935,0.245645161290323,0.278290322580645,0.266870967741935,0.309709677419355,0.375354838709677,0.266258064516129,0.263096774193548,0.281096774193548,0.302967741935484,0.219225806451613,0.356193548387097,0.287935483870968
"Trpc6",0.43203125,0.418875,0.595125,0.58675,0.57121875,0.458,0.4165,0.43153125,0.458375,0.481875,0.43728125,0.46309375,0.48475,0.386,0.42025,0.32846875,0.5914375,0.41865625,0.278625,0.38675,0.31953125,0.317875,0.32659375,0.4641875,0.46196875,0.2710625,0.442,0.43840625,0.3574375,0.3230625,0.281375,0.40128125,0.1745,0.32059375,0.38303125,0.33659375,0.2356875,0.225,0.226838709677419,0.282903225806452,0.289387096774194,0.331258064516129,0.345774193548387,0.308935483870968,0.276032258064516,0.31758064516129,0.283451612903226,0.327806451612903,0.266806451612903,0.364,0.233935483870968,0.267193548387097,0.374935483870968,0.291290322580645,0.244193548387097,0.316806451612903,0.297741935483871,0.218709677419355,0.244387096774194,0.235129032258065,0.373032258064516,0.263838709677419,0.298548387096774,0.279709677419355,0.188548387096774,0.254548387096774,0.224548387096774,0.216129032258065,0.325645161290323,0.164967741935484,0.234,0.241322580645161,0.231032258064516,0.187903225806452,0.230032258064516,0.320387096774194,0.326548387096774,0.230709677419355,0.369741935483871,0.187870967741935
"Cd34",0.496875,0.38521875,0.3819375,0.5095,0.6079375,0.49140625,0.42465625,0.4824375,0.42815625,0.49790625,0.45153125,0.6560625,0.67978125,0.5144375,0.4584375,0.53240625,0.424625,0.44034375,0.4978125,0.4683125,0.4391875,0.52390625,0.58925,0.48128125,0.538625,0.59753125,0.60046875,0.44184375,0.77328125,0.59215625,0.63703125,0.64015625,0.59784375,0.7765625,0.48240625,0.53715625,0.637625,0.73541935483871,0.518290322580645,0.540838709677419,0.618387096774193,0.588064516129032,0.608322580645161,0.676483870967742,0.473967741935484,0.575,0.669516129032258,0.685967741935484,0.443806451612903,0.608096774193548,0.531096774193548,0.657096774193548,0.374903225806452,0.524064516129032,0.580741935483871,0.747161290322581,0.695806451612903,0.588,0.443,0.790258064516129,0.669322580645161,0.556935483870968,0.692032258064516,0.422032258064516,0.787,0.679645161290323,0.683032258064516,0.629322580645161,0.621129032258064,0.67,0.751451612903226,0.693322580645161,0.684645161290323,0.646,0.622870967741936,0.675645161290323,0.591677419354839,0.839838709677419,0.651870967741935,0.699516129032258
"Plcl1",0.66790625,0.64478125,0.63190625,0.70059375,0.75359375,0.6521875,0.72628125,0.5885625,0.85965625,0.77840625,0.7870625,0.67453125,0.8053125,0.7524375,0.72428125,0.7930625,0.76890625,0.9454375,0.70578125,0.8125625,0.62903125,0.8689375,0.64384375,0.65884375,0.57840625,0.6314375,0.6979375,0.70840625,0.71425,0.53321875,0.41646875,0.57278125,0.566125,0.81740625,0.45521875,0.50509375,0.57146875,0.570806451612903,0.617903225806452,0.62141935483871,0.679903225806452,0.547290322580645,0.567870967741935,0.475741935483871,0.625193548387097,0.539677419354839,0.504967741935484,0.509774193548387,0.595,0.457322580645161,0.492774193548387,0.626774193548387,0.559806451612903,0.530096774193548,0.550225806451613,0.681161290322581,0.551161290322581,0.610548387096774,0.587161290322581,0.645193548387097,0.648967741935484,0.660741935483871,0.65358064516129,0.513645161290323,0.534387096774193,0.704451612903226,0.533709677419355,0.769677419354839,0.490225806451613,0.540161290322581,0.642838709677419,0.570161290322581,0.52041935483871,0.721,0.549354838709677,0.610096774193548,0.691645161290322,0.661645161290323,0.521548387096774,0.701290322580645
"Rora",2.08371875,2.39890625,2.1470625,2.07896875,2.02025,2.27121875,2.27390625,1.94628125,2.3681875,2.10621875,2.20790625,2.2025,2.032375,2.33496875,1.99603125,2.417875,2.13071875,2.04296875,2.21875,1.96409375,1.6785,2.139375,1.9668125,2.0321875,2.1235,2.0251875,2.1119375,2.1544375,1.80453125,1.8795,1.9615625,2.0284375,2.21371875,2.18609375,1.902375,2.25465625,1.935,1.90845161290323,1.92409677419355,1.79622580645161,2.2841935483871,2.06751612903226,1.87958064516129,1.99841935483871,1.94661290322581,1.94603225806452,1.8341935483871,2.00612903225806,1.95729032258065,1.92177419354839,1.41332258064516,1.87445161290323,2.07751612903226,1.86370967741935,1.72851612903226,2.03690322580645,2.14616129032258,2.01403225806452,1.9701935483871,2.01216129032258,1.87496774193548,2.01945161290323,1.99370967741935,1.89683870967742,1.92406451612903,2.00083870967742,1.97945161290323,1.94690322580645,2.01770967741935,2.05890322580645,1.95941935483871,1.92545161290323,1.97125806451613,1.83054838709677,1.97283870967742,1.82506451612903,2.0001935483871,1.79893548387097,2.07603225806452,2.19441935483871
"Mecom",2.58528125,2.48375,2.6515,2.6528125,2.4266875,2.47121875,2.8240625,2.47359375,2.4519375,2.39559375,2.45328125,2.38009375,2.2809375,2.165875,2.432375,2.42721875,2.56284375,2.41865625,2.18703125,2.4064375,2.29834375,2.332625,2.06075,2.1125625,2.41984375,2.0633125,2.1441875,2.3485625,1.98475,2.25375,2.1269375,2.2110625,1.81925,2.35125,2.18246875,1.9378125,2.10628125,2.0188064516129,2.22487096774194,2.11958064516129,2.07706451612903,2.09416129032258,1.76364516129032,1.90264516129032,2.08045161290323,1.8918064516129,1.91922580645161,1.72374193548387,1.87322580645161,1.79638709677419,1.77212903225806,1.71977419354839,1.922,2.05025806451613,1.751,1.898,1.88329032258064,1.44290322580645,1.88209677419355,1.74525806451613,1.88109677419355,1.67490322580645,1.85187096774194,1.75832258064516,1.73422580645161,1.84441935483871,1.52929032258065,1.73232258064516,1.68490322580645,1.29025806451613,1.59587096774194,1.76938709677419,1.71858064516129,1.70222580645161,1.58567741935484,1.45983870967742,1.89538709677419,2.16932258064516,2.07116129032258,1.6201935483871
"Rnf220",1.6435625,1.779,1.847875,1.54646875,1.79959375,1.77703125,2.03246875,1.72634375,1.82671875,1.85446875,1.7788125,1.93025,1.9276875,1.7359375,1.72871875,1.77934375,1.5563125,1.549875,1.91696875,1.72478125,1.78846875,1.769875,1.7451875,1.83240625,2.00971875,1.59509375,1.70371875,1.8070625,2.126,1.767,1.97928125,2.030875,1.96896875,1.95721875,1.7950625,1.91084375,2.06846875,2.10603225806452,1.96696774193548,1.82496774193548,1.75993548387097,2.13993548387097,1.86,1.86551612903226,1.87374193548387,1.88348387096774,1.80077419354839,2.01103225806452,2.041,2.13361290322581,1.84370967741935,1.94561290322581,1.90635483870968,1.74451612903226,1.93238709677419,1.83625806451613,1.87225806451613,2.05564516129032,1.79535483870968,2.15864516129032,2.08470967741935,2.15667741935484,1.87703225806452,2.08196774193548,1.67235483870968,2.07612903225806,2.0298064516129,1.93741935483871,2.17770967741935,1.99990322580645,2.13874193548387,2.07522580645161,1.87564516129032,2.30812903225806,2.2201935483871,1.984,2.07103225806452,2.06541935483871,1.94712903225806,1.89593548387097
